epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,0.5940,0.4375,0.8420,0.9964,0.000100
2,0.4349,0.3704,0.8491,0.9991,0.000100
3,0.4100,0.3757,0.8562,0.9973,0.000099
4,0.3848,0.3937,0.8482,0.9973,0.000098
5,0.3764,0.3906,0.8455,0.9946,0.000098
6,0.3498,0.3584,0.8643,0.9964,0.000096
7,0.3381,0.3297,0.8688,0.9982,0.000095
8,0.3274,0.3689,0.8554,0.9982,0.000094
9,0.2976,0.3271,0.8732,0.9973,0.000092
10,0.3049,0.3298,0.8777,0.9973,0.000090
11,0.3016,0.3247,0.8768,0.9982,0.000089
12,0.2705,0.3255,0.8741,0.9982,0.000086
13,0.2781,0.3442,0.8741,0.9982,0.000084
14,0.2783,0.3379,0.8652,0.9991,0.000082
15,0.2573,0.3424,0.8679,0.9973,0.000079
16,0.2435,0.3518,0.8616,0.9955,0.000077
17,0.2405,0.3529,0.8652,0.9982,0.000074
18,0.2325,0.3257,0.8812,0.9982,0.000071
19,0.2283,0.3274,0.8812,0.9973,0.000068
20,0.2076,0.3571,0.8652,0.9955,0.000065
21,0.2187,0.3223,0.8884,0.9964,0.000062
22,0.2209,0.3385,0.8777,0.9964,0.000059
23,0.2053,0.3442,0.8705,0.9982,0.000056
24,0.1891,0.3446,0.8786,0.9991,0.000053
25,0.1914,0.3405,0.8723,0.9964,0.000050
26,0.1944,0.3603,0.8759,0.9982,0.000047
27,0.1807,0.3431,0.8688,0.9973,0.000044
28,0.1907,0.3335,0.8786,0.9982,0.000041
29,0.1801,0.3253,0.8812,0.9991,0.000038
30,0.1738,0.3567,0.8714,0.9973,0.000035
31,0.1759,0.3308,0.8848,0.9991,0.000032
32,0.1603,0.3401,0.8857,0.9991,0.000029
33,0.1659,0.3754,0.8777,0.9982,0.000026
34,0.1592,0.3469,0.8670,0.9973,0.000023
35,0.1565,0.3547,0.8812,0.9982,0.000021
36,0.1426,0.3401,0.8830,0.9982,0.000018
37,0.1384,0.3470,0.8804,0.9973,0.000016
38,0.1501,0.3540,0.8768,0.9991,0.000014
39,0.1419,0.3557,0.8804,0.9973,0.000011
40,0.1266,0.3546,0.8786,0.9973,0.000010
41,0.1464,0.3567,0.8795,0.9973,0.000008
