epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8989,0.7220,0.7245,0.000100,0.6293,0.8145,0.3810,0.8091,0.5811,0.9432,0.2464,0.8953
2,0.5423,0.6142,0.7664,0.000100,0.6780,0.8312,0.5778,0.8324,0.6261,0.9605,0.4313,0.8566
3,0.4621,0.5538,0.7911,0.000099,0.7069,0.8585,0.6364,0.8507,0.7387,0.9210,0.4976,0.8721
4,0.4399,0.5530,0.7783,0.000098,0.6603,0.8411,0.6433,0.8521,0.6216,0.9605,0.5213,0.8372
5,0.4123,0.5093,0.8066,0.000098,0.7059,0.8629,0.7100,0.8622,0.6757,0.9481,0.6209,0.8488
6,0.3912,0.5290,0.7911,0.000096,0.6970,0.8616,0.6782,0.8536,0.8288,0.8840,0.5592,0.8023
7,0.3686,0.5291,0.7956,0.000095,0.7059,0.8613,0.6745,0.8484,0.7568,0.9432,0.5450,0.8023
8,0.3532,0.4881,0.8148,0.000094,0.7351,0.8660,0.7029,0.8825,0.8063,0.8938,0.5829,0.8876
9,0.3557,0.4826,0.8221,0.000092,0.7490,0.8737,0.7089,0.8828,0.8198,0.9136,0.5829,0.8760
10,0.3500,0.4472,0.8294,0.000090,0.7464,0.8724,0.7629,0.8740,0.7027,0.9457,0.7014,0.8605
11,0.3396,0.4485,0.8285,0.000089,0.7562,0.8753,0.7413,0.8770,0.7613,0.9358,0.6588,0.8566
12,0.3311,0.4594,0.8166,0.000086,0.7366,0.8712,0.7154,0.8725,0.7748,0.9185,0.6256,0.8488
13,0.3268,0.4442,0.8276,0.000084,0.7532,0.8743,0.7228,0.8924,0.7838,0.9185,0.6303,0.8837
14,0.3297,0.4313,0.8394,0.000082,0.7580,0.8951,0.7487,0.8932,0.7973,0.9062,0.6919,0.8915
15,0.3292,0.4285,0.8358,0.000079,0.7675,0.8876,0.7248,0.8893,0.7883,0.9358,0.6303,0.8876
16,0.3093,0.4309,0.8412,0.000077,0.7721,0.8845,0.7391,0.8976,0.7477,0.9358,0.6445,0.9341
17,0.3184,0.4411,0.8321,0.000074,0.7575,0.8802,0.7366,0.8825,0.7387,0.9432,0.6493,0.8876
18,0.3052,0.4153,0.8467,0.000071,0.7740,0.8934,0.7696,0.8933,0.7793,0.9309,0.7204,0.8760
19,0.3043,0.4255,0.8385,0.000068,0.7613,0.8918,0.7435,0.8928,0.7973,0.9160,0.6730,0.8876
20,0.2960,0.4462,0.8339,0.000065,0.7634,0.8897,0.7187,0.8949,0.8649,0.8963,0.6114,0.8915
21,0.2993,0.4227,0.8431,0.000062,0.7722,0.8910,0.7540,0.8959,0.8243,0.9185,0.6682,0.8837
22,0.2854,0.4307,0.8440,0.000059,0.7708,0.8961,0.7459,0.8990,0.8333,0.9259,0.6540,0.8798
23,0.2938,0.4159,0.8476,0.000056,0.7885,0.8899,0.7708,0.8911,0.8063,0.9284,0.7251,0.8566
24,0.2869,0.4020,0.8504,0.000053,0.7901,0.8881,0.7704,0.9014,0.7883,0.9210,0.7156,0.9031
25,0.2798,0.4276,0.8412,0.000050,0.7851,0.8860,0.7467,0.8884,0.8063,0.9407,0.6777,0.8488
26,0.2764,0.3942,0.8522,0.000047,0.7826,0.8954,0.7739,0.9012,0.7703,0.9407,0.7299,0.8837
27,0.2872,0.4068,0.8485,0.000044,0.7821,0.8945,0.7597,0.9023,0.8243,0.9111,0.6967,0.8953
28,0.2828,0.4050,0.8558,0.000041,0.7939,0.8977,0.7775,0.9037,0.8243,0.9210,0.7204,0.8915
29,0.2755,0.4153,0.8449,0.000038,0.7771,0.8900,0.7579,0.8990,0.8243,0.9185,0.6825,0.8798
30,0.2778,0.4046,0.8531,0.000035,0.7845,0.9012,0.7673,0.9034,0.8198,0.9235,0.7109,0.8876
31,0.2713,0.4015,0.8540,0.000032,0.7863,0.8984,0.7830,0.9012,0.8288,0.9062,0.7441,0.8837
32,0.2745,0.4006,0.8558,0.000029,0.7948,0.8999,0.7712,0.9041,0.8288,0.9210,0.7109,0.8953
33,0.2696,0.4037,0.8540,0.000026,0.7940,0.8953,0.7700,0.9055,0.8333,0.9185,0.7062,0.8915
34,0.2548,0.4099,0.8485,0.000023,0.7845,0.8939,0.7661,0.8960,0.8198,0.9259,0.7062,0.8682
35,0.2696,0.4010,0.8540,0.000021,0.7957,0.8972,0.7704,0.9016,0.8333,0.9160,0.7156,0.8876
36,0.2706,0.3968,0.8604,0.000018,0.7974,0.9029,0.7920,0.9030,0.8333,0.9185,0.7488,0.8837
37,0.2581,0.4061,0.8522,0.000016,0.7907,0.8961,0.7656,0.9034,0.8423,0.9160,0.6967,0.8876
38,0.2548,0.3933,0.8568,0.000014,0.7948,0.8982,0.7775,0.9055,0.8198,0.9259,0.7204,0.8915
39,0.2688,0.4052,0.8540,0.000011,0.7880,0.9001,0.7700,0.9034,0.8288,0.9235,0.7062,0.8876
40,0.2701,0.3975,0.8558,0.000010,0.7896,0.8993,0.7763,0.9055,0.8198,0.9259,0.7156,0.8915
41,0.2629,0.4003,0.8522,0.000008,0.7862,0.8969,0.7712,0.9012,0.8198,0.9235,0.7109,0.8837
42,0.2583,0.4002,0.8549,0.000006,0.7931,0.8966,0.7817,0.9004,0.8288,0.9210,0.7299,0.8760
43,0.2665,0.3965,0.8540,0.000005,0.7896,0.8958,0.7817,0.9004,0.8198,0.9235,0.7299,0.8760
44,0.2638,0.4005,0.8549,0.000004,0.7914,0.8977,0.7817,0.9004,0.8288,0.9210,0.7299,0.8760
45,0.2574,0.3986,0.8549,0.000002,0.7905,0.8969,0.7806,0.9026,0.8243,0.9235,0.7251,0.8798
46,0.2645,0.3987,0.8540,0.000002,0.7896,0.8971,0.7775,0.9008,0.8198,0.9259,0.7204,0.8798
