epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,0.9625,0.7736,0.6866,0.9848,0.000100
2,0.6315,0.5856,0.7777,0.9955,0.000100
3,0.5257,0.4952,0.8205,0.9973,0.000099
4,0.4920,0.4757,0.8161,0.9955,0.000098
5,0.4731,0.4500,0.8268,0.9955,0.000098
6,0.4407,0.4327,0.8402,0.9955,0.000096
7,0.4227,0.4333,0.8411,0.9938,0.000095
8,0.4277,0.4413,0.8339,0.9964,0.000094
9,0.4115,0.4298,0.8366,0.9982,0.000092
10,0.4149,0.4057,0.8429,0.9973,0.000090
11,0.3938,0.3960,0.8536,0.9955,0.000089
12,0.4003,0.4661,0.8143,0.9938,0.000086
13,0.3908,0.4027,0.8429,0.9955,0.000084
14,0.3825,0.3929,0.8509,0.9955,0.000082
15,0.3849,0.3841,0.8527,0.9946,0.000079
16,0.3721,0.3856,0.8455,0.9964,0.000077
17,0.3643,0.3848,0.8455,0.9955,0.000074
18,0.3695,0.3730,0.8545,0.9964,0.000071
19,0.3672,0.3878,0.8527,0.9955,0.000068
20,0.3779,0.3945,0.8473,0.9973,0.000065
21,0.3607,0.3760,0.8554,0.9973,0.000062
22,0.3567,0.3905,0.8464,0.9964,0.000059
23,0.3674,0.3836,0.8527,0.9955,0.000056
24,0.3483,0.3665,0.8509,0.9955,0.000053
25,0.3411,0.3737,0.8455,0.9964,0.000050
26,0.3396,0.3673,0.8554,0.9955,0.000047
27,0.3364,0.3697,0.8500,0.9973,0.000044
28,0.3368,0.3708,0.8518,0.9973,0.000041
29,0.3273,0.3654,0.8536,0.9964,0.000038
30,0.3259,0.3633,0.8554,0.9973,0.000035
31,0.3221,0.3607,0.8562,0.9964,0.000032
32,0.3301,0.3620,0.8571,0.9964,0.000029
33,0.3345,0.3696,0.8554,0.9973,0.000026
34,0.3366,0.3563,0.8589,0.9973,0.000023
35,0.3214,0.3598,0.8589,0.9964,0.000021
36,0.3271,0.3603,0.8580,0.9964,0.000018
37,0.3326,0.3638,0.8625,0.9973,0.000016
38,0.3228,0.3590,0.8580,0.9973,0.000014
39,0.3227,0.3609,0.8580,0.9964,0.000011
40,0.3224,0.3606,0.8571,0.9964,0.000010
41,0.3248,0.3595,0.8545,0.9964,0.000008
42,0.3267,0.3630,0.8545,0.9964,0.000006
43,0.3199,0.3584,0.8562,0.9973,0.000005
44,0.3193,0.3555,0.8571,0.9964,0.000004
45,0.3186,0.3662,0.8536,0.9964,0.000002
46,0.3146,0.3557,0.8562,0.9964,0.000002
47,0.3297,0.3598,0.8536,0.9964,0.000001
48,0.3193,0.3609,0.8580,0.9964,0.000000
49,0.3231,0.3595,0.8571,0.9964,0.000000
50,0.3254,0.3677,0.8589,0.9946,0.000000
