epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,1.1160,0.9174,0.6357,0.9554,0.000100
2,0.7891,0.7730,0.6902,0.9696,0.000100
3,0.6727,0.7497,0.7009,0.9741,0.000099
4,0.6428,0.7117,0.7286,0.9786,0.000098
5,0.6223,0.6647,0.7411,0.9777,0.000098
6,0.6004,0.6241,0.7679,0.9821,0.000096
7,0.5919,0.6160,0.7670,0.9866,0.000095
8,0.5842,0.6755,0.7482,0.9759,0.000094
9,0.5866,0.5996,0.7759,0.9857,0.000092
10,0.5800,0.6124,0.7688,0.9830,0.000090
11,0.5729,0.6316,0.7554,0.9812,0.000089
12,0.5677,0.6421,0.7661,0.9812,0.000086
13,0.5510,0.6360,0.7625,0.9812,0.000084
14,0.5795,0.6238,0.7634,0.9830,0.000082
15,0.5685,0.6386,0.7634,0.9821,0.000079
16,0.5291,0.6199,0.7732,0.9821,0.000077
17,0.5491,0.5712,0.7902,0.9866,0.000074
18,0.5488,0.5788,0.7902,0.9893,0.000071
19,0.5624,0.5838,0.7804,0.9857,0.000068
20,0.5284,0.5798,0.7884,0.9875,0.000065
21,0.5442,0.5761,0.7839,0.9857,0.000062
22,0.5498,0.5308,0.7991,0.9902,0.000059
23,0.5375,0.5677,0.7848,0.9902,0.000056
24,0.5476,0.5553,0.7866,0.9920,0.000053
25,0.5403,0.5592,0.8027,0.9848,0.000050
26,0.5347,0.5683,0.7902,0.9920,0.000047
27,0.5355,0.5797,0.7866,0.9839,0.000044
28,0.5406,0.5839,0.7875,0.9857,0.000041
29,0.5252,0.5591,0.7982,0.9857,0.000038
30,0.5410,0.5536,0.7911,0.9893,0.000035
31,0.5326,0.5668,0.7902,0.9884,0.000032
32,0.5297,0.5871,0.7795,0.9875,0.000029
33,0.5353,0.5596,0.7893,0.9893,0.000026
34,0.5180,0.5605,0.7973,0.9875,0.000023
35,0.5168,0.5779,0.7866,0.9884,0.000021
36,0.5429,0.5589,0.8018,0.9884,0.000018
37,0.5459,0.6022,0.7705,0.9857,0.000016
38,0.5403,0.5594,0.7946,0.9857,0.000014
39,0.5066,0.5685,0.7884,0.9875,0.000011
40,0.5220,0.5616,0.7929,0.9866,0.000010
41,0.4963,0.5501,0.7973,0.9866,0.000008
42,0.5200,0.5504,0.7875,0.9893,0.000006
43,0.5150,0.5565,0.7911,0.9884,0.000005
44,0.5134,0.5875,0.7768,0.9830,0.000004
45,0.5131,0.5443,0.7973,0.9893,0.000002
