epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,1.1397,1.0116,0.6491,0.9589,0.000100
2,0.8857,0.8434,0.7125,0.9759,0.000100
3,0.7742,0.7871,0.7143,0.9705,0.000099
4,0.7582,0.7513,0.7143,0.9786,0.000098
5,0.7219,0.7761,0.7009,0.9759,0.000098
6,0.7074,0.7268,0.7161,0.9759,0.000096
7,0.6999,0.7816,0.6759,0.9732,0.000095
8,0.7112,0.7430,0.7000,0.9812,0.000094
9,0.7019,0.7158,0.7223,0.9804,0.000092
10,0.6953,0.7173,0.7295,0.9777,0.000090
11,0.6848,0.7507,0.6964,0.9750,0.000089
12,0.7040,0.6974,0.7321,0.9857,0.000086
13,0.6859,0.6889,0.7295,0.9804,0.000084
14,0.6749,0.6941,0.7321,0.9804,0.000082
15,0.6642,0.6765,0.7438,0.9830,0.000079
16,0.6677,0.6852,0.7304,0.9795,0.000077
17,0.6731,0.6992,0.7241,0.9812,0.000074
18,0.6886,0.6874,0.7330,0.9812,0.000071
19,0.6645,0.6915,0.7277,0.9795,0.000068
20,0.6443,0.6664,0.7429,0.9866,0.000065
21,0.6462,0.6712,0.7348,0.9821,0.000062
22,0.6620,0.6898,0.7286,0.9830,0.000059
23,0.6632,0.6688,0.7420,0.9857,0.000056
24,0.6759,0.6678,0.7393,0.9821,0.000053
25,0.6509,0.6735,0.7348,0.9848,0.000050
26,0.6515,0.6556,0.7384,0.9830,0.000047
27,0.6511,0.6490,0.7473,0.9857,0.000044
28,0.6608,0.6752,0.7348,0.9830,0.000041
29,0.6500,0.6831,0.7277,0.9866,0.000038
30,0.6605,0.6644,0.7375,0.9857,0.000035
31,0.6436,0.6530,0.7438,0.9821,0.000032
32,0.6595,0.6569,0.7455,0.9830,0.000029
33,0.6340,0.6525,0.7384,0.9875,0.000026
34,0.6374,0.6528,0.7482,0.9839,0.000023
35,0.6410,0.6482,0.7455,0.9821,0.000021
36,0.6515,0.6576,0.7357,0.9821,0.000018
37,0.6412,0.6500,0.7429,0.9830,0.000016
38,0.6391,0.6469,0.7438,0.9848,0.000014
39,0.6353,0.6392,0.7509,0.9866,0.000011
40,0.6261,0.6422,0.7473,0.9848,0.000010
41,0.6291,0.6503,0.7446,0.9866,0.000008
42,0.6202,0.6494,0.7446,0.9839,0.000006
43,0.6299,0.6391,0.7482,0.9848,0.000005
44,0.6186,0.6537,0.7411,0.9830,0.000004
45,0.6252,0.6601,0.7384,0.9821,0.000002
46,0.6351,0.6668,0.7366,0.9804,0.000002
47,0.6277,0.6408,0.7473,0.9866,0.000001
48,0.6180,0.6505,0.7438,0.9875,0.000000
49,0.6274,0.6401,0.7464,0.9830,0.000000
50,0.6367,0.6450,0.7393,0.9830,0.000000
