epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.5975,0.4210,0.8449,0.000180,0.7468,0.8990,0.7901,0.8916,0.7838,0.9235,0.7583,0.8450
2,0.4247,0.3582,0.8631,0.000180,0.7692,0.9123,0.8136,0.9024,0.7207,0.9506,0.8483,0.8605
3,0.3761,0.3452,0.8641,0.000179,0.7745,0.9069,0.8039,0.9107,0.7117,0.9259,0.7773,0.9690
4,0.3454,0.3792,0.8549,0.000178,0.7416,0.9091,0.8333,0.8753,0.6982,0.9753,0.8531,0.8023
5,0.3291,0.3534,0.8577,0.000176,0.7683,0.8722,0.8465,0.9313,0.8739,0.8173,0.8104,0.9457
6,0.2988,0.3319,0.8786,0.000174,0.7887,0.9115,0.8451,0.9278,0.7568,0.9160,0.8531,0.9457
7,0.2890,0.3578,0.8786,0.000172,0.8140,0.9201,0.8095,0.9189,0.8378,0.9531,0.7251,0.9225
8,0.2729,0.3694,0.8677,0.000169,0.7966,0.9087,0.8317,0.8957,0.8378,0.9333,0.7962,0.8488
9,0.2605,0.3002,0.8951,0.000166,0.8356,0.9270,0.8515,0.9280,0.8243,0.9407,0.8152,0.9496
10,0.2429,0.3153,0.8841,0.000163,0.8152,0.9253,0.8373,0.9121,0.7748,0.9333,0.8294,0.9457
11,0.2260,0.3207,0.8850,0.000160,0.8184,0.9198,0.8295,0.9263,0.8018,0.9481,0.7725,0.9496
12,0.2105,0.3029,0.8823,0.000156,0.7874,0.9236,0.8386,0.9310,0.7342,0.9407,0.8863,0.9147
13,0.2086,0.3343,0.8887,0.000152,0.8249,0.9214,0.8564,0.9156,0.8063,0.9259,0.8341,0.9457
14,0.2291,0.3121,0.8887,0.000148,0.8246,0.9276,0.8354,0.9240,0.8468,0.9333,0.7820,0.9419
15,0.1752,0.3839,0.8723,0.000143,0.8153,0.9072,0.8436,0.8839,0.7658,0.9654,0.8436,0.8411
16,0.1760,0.3431,0.8841,0.000139,0.8205,0.9244,0.8416,0.9073,0.7928,0.9506,0.8436,0.8915
17,0.1743,0.3242,0.8859,0.000134,0.8138,0.9244,0.8443,0.9202,0.7973,0.9210,0.8483,0.9380
18,0.1720,0.3342,0.8896,0.000129,0.8222,0.9333,0.8454,0.9115,0.8018,0.9506,0.8294,0.9186
19,0.1480,0.3649,0.8823,0.000124,0.7940,0.9233,0.8341,0.9211,0.7207,0.9654,0.8104,0.9496
20,0.1571,0.3447,0.8869,0.000118,0.8121,0.9280,0.8441,0.9181,0.7883,0.9383,0.8341,0.9341
21,0.1460,0.3608,0.8859,0.000113,0.7971,0.9240,0.8530,0.9213,0.7432,0.9605,0.8389,0.9302
22,0.1263,0.3680,0.8796,0.000107,0.8009,0.9162,0.8295,0.9263,0.8063,0.9309,0.7725,0.9496
23,0.1229,0.3462,0.8741,0.000102,0.8000,0.9143,0.8218,0.9167,0.8198,0.9086,0.7867,0.9380
24,0.1113,0.3588,0.8805,0.000096,0.7991,0.9173,0.8404,0.9257,0.7973,0.9037,0.8483,0.9419
25,0.1110,0.3823,0.8786,0.000090,0.7990,0.9093,0.8494,0.9122,0.7252,0.9654,0.8152,0.9264
26,0.1124,0.3259,0.8905,0.000085,0.8267,0.9312,0.8460,0.9171,0.8378,0.9358,0.8199,0.9225
27,0.0988,0.3403,0.8887,0.000079,0.8155,0.9310,0.8441,0.9198,0.8063,0.9333,0.8341,0.9341
28,0.1026,0.3725,0.8896,0.000073,0.8235,0.9286,0.8424,0.9206,0.8198,0.9630,0.8104,0.8992
29,0.0855,0.3713,0.8923,0.000068,0.8241,0.9254,0.8618,0.9225,0.8018,0.9185,0.8720,0.9457
