epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.5686,0.4068,0.8531,0.000245,0.7042,0.8958,0.8322,0.9030,0.5631,0.9654,0.9052,0.8837
2,0.4381,0.3932,0.8440,0.000244,0.7379,0.8771,0.8095,0.9209,0.7928,0.8543,0.8057,0.9031
3,0.3979,0.3814,0.8558,0.000243,0.7617,0.8962,0.8030,0.9087,0.7342,0.9383,0.7630,0.9070
4,0.3637,0.3497,0.8704,0.000241,0.7906,0.9087,0.8322,0.9080,0.7568,0.9333,0.8578,0.8798
5,0.3375,0.3405,0.8650,0.000239,0.7807,0.8981,0.8297,0.9067,0.7297,0.9136,0.8199,0.9419
6,0.3350,0.3509,0.8568,0.000237,0.7735,0.9066,0.7725,0.9135,0.8153,0.9111,0.6919,0.9419
7,0.3052,0.3725,0.8558,0.000234,0.7830,0.8824,0.8262,0.9077,0.8694,0.8519,0.7773,0.9147
8,0.3060,0.3333,0.8759,0.000230,0.8064,0.9117,0.8229,0.9153,0.7973,0.9432,0.7488,0.9419
9,0.3163,0.3676,0.8677,0.000226,0.7906,0.9106,0.7979,0.9094,0.7568,0.9679,0.7109,0.9341
10,0.2749,0.3564,0.8732,0.000222,0.7828,0.9145,0.8356,0.9091,0.6982,0.9111,0.8910,0.9496
11,0.2657,0.3480,0.8549,0.000217,0.7494,0.9044,0.8084,0.8988,0.6532,0.9111,0.9100,0.8953
12,0.2717,0.3537,0.8832,0.000212,0.7861,0.9267,0.8364,0.9264,0.7117,0.9679,0.8483,0.9264
13,0.2451,0.3408,0.8750,0.000207,0.8121,0.9242,0.7918,0.9157,0.8468,0.9333,0.7299,0.9264
14,0.2326,0.3550,0.8613,0.000201,0.7838,0.9127,0.8051,0.8974,0.7432,0.9037,0.9005,0.8643
15,0.2208,0.3482,0.8805,0.000195,0.8020,0.9163,0.8271,0.9237,0.7387,0.9728,0.7820,0.9380
16,0.2155,0.3366,0.8732,0.000188,0.7882,0.9122,0.8301,0.9176,0.7793,0.9358,0.8104,0.9070
17,0.2260,0.3849,0.8650,0.000182,0.7956,0.8938,0.8168,0.9127,0.8063,0.8938,0.7393,0.9729
18,0.2036,0.3332,0.8850,0.000175,0.8030,0.9234,0.8443,0.9179,0.7162,0.9531,0.8483,0.9535
19,0.1899,0.3410,0.8741,0.000168,0.8000,0.9093,0.8300,0.9207,0.8468,0.9037,0.7867,0.9225
20,0.1953,0.3414,0.8668,0.000161,0.7826,0.9038,0.8252,0.9170,0.8108,0.8815,0.8057,0.9419
21,0.1757,0.3587,0.8732,0.000153,0.8000,0.9139,0.8173,0.9207,0.8649,0.9037,0.7630,0.9225
22,0.1746,0.3447,0.8878,0.000146,0.8058,0.9190,0.8471,0.9359,0.7477,0.9531,0.8531,0.9341
23,0.1714,0.3236,0.8814,0.000138,0.7962,0.9199,0.8390,0.9267,0.7568,0.9358,0.8768,0.9070
24,0.1572,0.3583,0.8786,0.000130,0.7874,0.9227,0.8122,0.9283,0.7342,0.9728,0.7583,0.9535
25,0.1674,0.3243,0.8814,0.000123,0.7909,0.9178,0.8443,0.9318,0.7838,0.9235,0.8483,0.9264
26,0.1661,0.3515,0.8805,0.000115,0.7927,0.9214,0.8447,0.9222,0.7838,0.9259,0.8768,0.8953
27,0.1448,0.3230,0.8777,0.000107,0.8018,0.9205,0.8175,0.9219,0.7928,0.9432,0.7962,0.9147
28,0.1419,0.3546,0.8914,0.000100,0.8141,0.9305,0.8475,0.9269,0.7793,0.9580,0.8294,0.9341
29,0.1383,0.3517,0.8823,0.000092,0.8114,0.9151,0.8408,0.9251,0.8333,0.9185,0.8009,0.9341
30,0.1365,0.3523,0.8786,0.000085,0.8076,0.9213,0.8196,0.9208,0.8604,0.9111,0.7536,0.9457
31,0.1305,0.3551,0.8832,0.000077,0.7971,0.9200,0.8398,0.9264,0.7432,0.9654,0.8199,0.9264
32,0.1210,0.3459,0.8850,0.000070,0.8071,0.9244,0.8371,0.9272,0.8198,0.9358,0.7915,0.9380
33,0.1039,0.3704,0.8859,0.000064,0.8129,0.9225,0.8413,0.9246,0.7928,0.9407,0.8294,0.9264
34,0.1102,0.3760,0.8850,0.000057,0.8018,0.9201,0.8403,0.9336,0.7838,0.9531,0.8104,0.9264
35,0.1069,0.3661,0.8923,0.000051,0.8150,0.9335,0.8376,0.9362,0.8333,0.9531,0.7820,0.9380
36,0.1109,0.3469,0.8932,0.000044,0.8112,0.9283,0.8565,0.9349,0.7838,0.9432,0.8483,0.9457
37,0.0931,0.3598,0.8805,0.000039,0.7900,0.9202,0.8419,0.9273,0.7793,0.9259,0.8578,0.9147
38,0.0959,0.3568,0.8805,0.000033,0.7982,0.9244,0.8293,0.9225,0.8018,0.9358,0.8057,0.9225
39,0.0885,0.3770,0.8878,0.000028,0.8054,0.9317,0.8395,0.9257,0.8018,0.9432,0.8057,0.9419
40,0.0844,0.3850,0.8859,0.000023,0.8081,0.9281,0.8321,0.9264,0.8063,0.9556,0.7867,0.9264
