epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.5803,0.3776,0.8577,0.000101,0.7463,0.8892,0.8188,0.9254,0.6892,0.9012,0.8246,0.9612
2,0.4144,0.3758,0.8485,0.000101,0.7484,0.8886,0.7990,0.9163,0.7838,0.8963,0.7725,0.8915
3,0.3543,0.3786,0.8467,0.000100,0.7463,0.8894,0.7938,0.9123,0.8018,0.8938,0.7299,0.9070
4,0.3312,0.3381,0.8759,0.000100,0.7920,0.9174,0.8447,0.9087,0.8063,0.9457,0.8246,0.8682
5,0.3005,0.3381,0.8695,0.000099,0.7846,0.8986,0.8370,0.9279,0.8288,0.8864,0.8152,0.9225
6,0.2852,0.3555,0.8522,0.000098,0.7652,0.8966,0.8165,0.8925,0.7928,0.8889,0.8436,0.8527
7,0.2535,0.3886,0.8449,0.000097,0.7602,0.8745,0.7957,0.9176,0.8784,0.8346,0.7014,0.9496
8,0.2527,0.3394,0.8768,0.000095,0.8091,0.9155,0.8203,0.9149,0.8018,0.9630,0.7678,0.8953
9,0.2475,0.3246,0.8841,0.000093,0.8146,0.9180,0.8485,0.9151,0.8018,0.9531,0.7962,0.9186
10,0.2245,0.3170,0.8732,0.000092,0.7765,0.9137,0.8389,0.9159,0.7432,0.9407,0.8389,0.9070
11,0.2148,0.3128,0.8796,0.000090,0.7943,0.9223,0.8364,0.9170,0.7568,0.9235,0.8483,0.9419
12,0.2009,0.3029,0.8878,0.000088,0.8088,0.9257,0.8530,0.9261,0.8288,0.9235,0.8389,0.9225
13,0.1903,0.3655,0.8695,0.000085,0.7928,0.9218,0.7807,0.9134,0.7928,0.9457,0.6919,0.9612
14,0.1700,0.3275,0.8841,0.000083,0.8233,0.9182,0.8398,0.9213,0.8604,0.9012,0.8199,0.9302
15,0.1705,0.3281,0.8805,0.000080,0.8114,0.9148,0.8350,0.9222,0.8333,0.9284,0.7915,0.9186
16,0.1606,0.3632,0.8641,0.000078,0.7803,0.9054,0.8302,0.9098,0.8559,0.8741,0.8341,0.8798
17,0.1701,0.3322,0.8832,0.000075,0.8233,0.9253,0.8152,0.9192,0.8288,0.9481,0.7630,0.9264
18,0.1474,0.3303,0.8777,0.000072,0.7922,0.9242,0.8213,0.9145,0.7297,0.9481,0.8057,0.9535
19,0.1398,0.3482,0.8759,0.000069,0.7965,0.9130,0.8387,0.9176,0.8288,0.8938,0.8009,0.9496
20,0.1304,0.3334,0.8723,0.000066,0.7857,0.9131,0.8305,0.9154,0.7928,0.9210,0.8009,0.9225
21,0.1202,0.3718,0.8777,0.000063,0.8112,0.9177,0.8241,0.9091,0.7838,0.9358,0.7773,0.9496
22,0.1184,0.3351,0.8932,0.000060,0.8381,0.9322,0.8404,0.9249,0.8514,0.9160,0.8483,0.9302
23,0.1138,0.3564,0.8768,0.000057,0.7965,0.9206,0.8259,0.9183,0.8198,0.9309,0.7867,0.9147
24,0.1012,0.3443,0.8832,0.000054,0.8046,0.9231,0.8354,0.9228,0.7883,0.9481,0.8057,0.9264
25,0.1068,0.3344,0.8878,0.000051,0.8322,0.9227,0.8444,0.9119,0.8153,0.9580,0.8104,0.9031
26,0.1067,0.3260,0.8841,0.000047,0.8129,0.9246,0.8321,0.9201,0.7928,0.9531,0.8104,0.9147
27,0.0915,0.3283,0.8841,0.000044,0.8228,0.9181,0.8366,0.9219,0.8468,0.9136,0.8009,0.9380
28,0.0917,0.3530,0.8823,0.000041,0.8208,0.9220,0.8284,0.9108,0.7838,0.9481,0.8009,0.9302
29,0.0861,0.3346,0.8823,0.000038,0.8148,0.9207,0.8341,0.9151,0.7928,0.9457,0.8104,0.9186
30,0.0807,0.3648,0.8869,0.000035,0.8304,0.9212,0.8350,0.9211,0.8378,0.9235,0.7915,0.9496
31,0.0866,0.3537,0.8832,0.000032,0.8131,0.9221,0.8378,0.9149,0.7838,0.9358,0.8199,0.9380
32,0.0771,0.3550,0.8814,0.000029,0.8148,0.9200,0.8279,0.9157,0.7928,0.9506,0.7867,0.9264
33,0.0755,0.3405,0.8850,0.000026,0.8188,0.9225,0.8390,0.9195,0.8243,0.9259,0.8152,0.9302
34,0.0605,0.3506,0.8859,0.000024,0.8167,0.9233,0.8441,0.9178,0.7928,0.9358,0.8341,0.9302
35,0.0549,0.3450,0.8878,0.000021,0.8284,0.9266,0.8354,0.9168,0.8153,0.9506,0.8057,0.9186
36,0.0655,0.3546,0.8887,0.000018,0.8303,0.9253,0.8406,0.9180,0.8153,0.9481,0.8246,0.9109
37,0.0570,0.3579,0.8850,0.000016,0.8138,0.9261,0.8370,0.9175,0.7973,0.9432,0.8152,0.9264
38,0.0589,0.3561,0.8896,0.000014,0.8322,0.9274,0.8418,0.9175,0.8378,0.9309,0.8199,0.9264
39,0.0640,0.3540,0.8832,0.000012,0.8118,0.9225,0.8341,0.9204,0.8063,0.9407,0.8104,0.9186
40,0.0530,0.3629,0.8805,0.000010,0.8146,0.9187,0.8284,0.9159,0.8018,0.9481,0.8009,0.9070
41,0.0530,0.3621,0.8823,0.000008,0.8138,0.9229,0.8238,0.9198,0.7973,0.9457,0.7867,0.9341
42,0.0443,0.3650,0.8832,0.000006,0.8200,0.9225,0.8247,0.9195,0.8108,0.9407,0.7915,0.9302
