epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.5863,0.3883,0.8595,0.000249,0.7248,0.9089,0.8235,0.9059,0.5991,0.9605,0.8957,0.8953
2,0.4471,0.4049,0.8367,0.000249,0.7368,0.8786,0.8131,0.8802,0.7568,0.8938,0.8246,0.8256
3,0.3904,0.4696,0.8203,0.000247,0.7331,0.8681,0.6939,0.9045,0.7793,0.9259,0.5640,0.8992
4,0.3695,0.3691,0.8622,0.000246,0.7845,0.9075,0.8155,0.8961,0.7297,0.9210,0.9005,0.8527
5,0.3395,0.3250,0.8732,0.000244,0.8018,0.9067,0.8163,0.9228,0.8018,0.9235,0.7583,0.9496
6,0.3180,0.3421,0.8659,0.000241,0.7824,0.9051,0.8082,0.9196,0.8018,0.9062,0.7488,0.9535
7,0.2850,0.3808,0.8467,0.000238,0.7602,0.8717,0.8142,0.9195,0.8784,0.8222,0.7583,0.9302
8,0.2995,0.3302,0.8741,0.000234,0.7920,0.9176,0.8063,0.9251,0.8063,0.9481,0.7299,0.9341
9,0.2892,0.3677,0.8668,0.000230,0.8000,0.9128,0.7918,0.9022,0.7658,0.9309,0.7299,0.9651
10,0.2674,0.3267,0.8805,0.000226,0.7981,0.9214,0.8399,0.9140,0.7387,0.9407,0.8578,0.9264
11,0.2625,0.3505,0.8595,0.000221,0.7883,0.8920,0.8235,0.9036,0.8468,0.8568,0.7962,0.9264
12,0.2490,0.3211,0.8750,0.000216,0.7913,0.9055,0.8471,0.9264,0.8198,0.8988,0.8531,0.9031
13,0.2321,0.3643,0.8677,0.000210,0.8034,0.9174,0.7769,0.9091,0.8468,0.9185,0.6682,0.9690
14,0.2248,0.3171,0.8777,0.000204,0.8065,0.9179,0.8313,0.9098,0.7883,0.9383,0.8057,0.9186
15,0.2177,0.3375,0.8750,0.000198,0.8037,0.9108,0.8227,0.9182,0.7838,0.9580,0.7915,0.8915
16,0.1962,0.3567,0.8558,0.000192,0.7695,0.8886,0.8141,0.9222,0.8649,0.8568,0.7678,0.9186
17,0.2118,0.3289,0.8878,0.000185,0.8205,0.9276,0.8223,0.9278,0.7928,0.9654,0.7678,0.9457
