epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.5739,0.3848,0.8568,0.000156,0.7448,0.9002,0.8080,0.9108,0.6441,0.9136,0.8578,0.9496
2,0.4172,0.3700,0.8595,0.000155,0.7512,0.8964,0.8227,0.9228,0.7342,0.9185,0.8246,0.9031
3,0.3662,0.3732,0.8604,0.000155,0.7713,0.9048,0.7810,0.9225,0.7748,0.9506,0.7014,0.9225
4,0.3488,0.3282,0.8741,0.000153,0.7772,0.9146,0.8368,0.9157,0.7072,0.9654,0.8626,0.8837
5,0.3169,0.3406,0.8695,0.000152,0.7906,0.8947,0.8382,0.9266,0.8333,0.8815,0.8104,0.9302
6,0.2889,0.3501,0.8549,0.000150,0.7692,0.8911,0.8222,0.9030,0.7883,0.8790,0.8436,0.8837
7,0.2560,0.3988,0.8312,0.000148,0.7370,0.8477,0.8189,0.9123,0.8649,0.7901,0.7820,0.9070
8,0.2647,0.3412,0.8750,0.000146,0.7912,0.9156,0.8074,0.9323,0.8108,0.9506,0.7251,0.9341
9,0.2517,0.3320,0.8777,0.000144,0.8036,0.9170,0.8342,0.9115,0.8018,0.9407,0.7867,0.9186
10,0.2390,0.3282,0.8777,0.000141,0.7889,0.9139,0.8474,0.9133,0.7072,0.9432,0.8815,0.9186
11,0.2230,0.3109,0.8832,0.000138,0.8039,0.9194,0.8478,0.9163,0.7387,0.9432,0.8578,0.9341
12,0.2168,0.3323,0.8750,0.000135,0.8075,0.9089,0.8374,0.9153,0.8694,0.9111,0.8057,0.8798
13,0.1952,0.3507,0.8586,0.000131,0.7830,0.9002,0.7849,0.9124,0.8288,0.8914,0.6919,0.9690
14,0.1882,0.3236,0.8704,0.000128,0.8070,0.9093,0.8197,0.9087,0.8288,0.8914,0.8294,0.9070
15,0.1779,0.3542,0.8704,0.000124,0.7930,0.9080,0.8154,0.9209,0.8198,0.9383,0.7536,0.9031
16,0.1591,0.3598,0.8604,0.000120,0.7787,0.8939,0.8289,0.9135,0.8559,0.8741,0.8152,0.8798
17,0.1754,0.3540,0.8796,0.000116,0.8097,0.9170,0.8217,0.9234,0.8243,0.9407,0.7536,0.9341
18,0.1579,0.3105,0.8777,0.000111,0.8132,0.9190,0.8195,0.9098,0.7748,0.9383,0.7962,0.9380
19,0.1396,0.3656,0.8641,0.000107,0.7907,0.8992,0.8175,0.9104,0.8423,0.8815,0.7536,0.9457
20,0.1384,0.3384,0.8768,0.000102,0.7991,0.9179,0.8229,0.9204,0.8063,0.9383,0.7820,0.9186
21,0.1218,0.3643,0.8759,0.000097,0.8069,0.9235,0.8112,0.9122,0.8468,0.9235,0.7536,0.9264
22,0.1125,0.3435,0.8887,0.000093,0.8276,0.9261,0.8419,0.9204,0.8108,0.9284,0.8578,0.9186
23,0.1259,0.3323,0.8823,0.000088,0.8129,0.9269,0.8218,0.9154,0.7928,0.9556,0.7867,0.9225
24,0.0969,0.3460,0.8850,0.000083,0.8132,0.9266,0.8353,0.9191,0.7748,0.9506,0.8531,0.9031
25,0.1157,0.3349,0.8859,0.000078,0.8314,0.9167,0.8510,0.9105,0.8108,0.9506,0.8389,0.8876
26,0.1125,0.3467,0.8759,0.000073,0.7943,0.9162,0.8278,0.9167,0.7568,0.9580,0.8199,0.8953
27,0.0941,0.3332,0.8859,0.000068,0.8235,0.9191,0.8421,0.9225,0.8198,0.9259,0.8341,0.9225
28,0.0923,0.3763,0.8841,0.000063,0.8262,0.9240,0.8293,0.9140,0.8243,0.9309,0.8057,0.9264
29,0.0787,0.3570,0.8869,0.000059,0.8254,0.9265,0.8305,0.9225,0.8198,0.9333,0.8246,0.9225
30,0.0861,0.3773,0.8832,0.000054,0.8228,0.9235,0.8146,0.9225,0.8468,0.9383,0.7393,0.9457
31,0.0850,0.3584,0.8850,0.000049,0.8201,0.9155,0.8491,0.9178,0.7703,0.9358,0.8531,0.9302
32,0.0753,0.3611,0.8841,0.000045,0.8146,0.9201,0.8312,0.9248,0.8018,0.9383,0.7820,0.9535
33,0.0700,0.3504,0.8887,0.000040,0.8268,0.9231,0.8491,0.9186,0.8063,0.9333,0.8531,0.9186
34,0.0600,0.3704,0.8859,0.000036,0.8235,0.9264,0.8376,0.9123,0.7883,0.9481,0.8436,0.9070
35,0.0573,0.3746,0.8869,0.000032,0.8178,0.9240,0.8387,0.9210,0.7883,0.9605,0.8009,0.9264
36,0.0620,0.3549,0.8942,0.000028,0.8295,0.9287,0.8462,0.9320,0.8108,0.9481,0.8341,0.9302
37,0.0548,0.3588,0.8932,0.000025,0.8165,0.9309,0.8502,0.9323,0.8018,0.9481,0.8341,0.9341
38,0.0541,0.3566,0.8951,0.000021,0.8371,0.9341,0.8398,0.9266,0.8333,0.9457,0.8199,0.9302
39,0.0534,0.3573,0.8878,0.000018,0.8192,0.9248,0.8411,0.9234,0.8063,0.9407,0.8152,0.9341
40,0.0470,0.3737,0.8905,0.000015,0.8241,0.9297,0.8337,0.9266,0.8018,0.9630,0.7962,0.9302
41,0.0461,0.3811,0.8878,0.000012,0.8249,0.9292,0.8259,0.9216,0.8063,0.9556,0.7867,0.9341
42,0.0405,0.3784,0.8905,0.000010,0.8249,0.9292,0.8346,0.9269,0.8063,0.9556,0.8009,0.9341
43,0.0414,0.3822,0.8896,0.000007,0.8287,0.9279,0.8354,0.9213,0.8063,0.9531,0.8057,0.9302
44,0.0487,0.3844,0.8914,0.000005,0.8287,0.9292,0.8374,0.9251,0.8063,0.9556,0.8057,0.9341
45,0.0535,0.3785,0.8914,0.000004,0.8249,0.9316,0.8362,0.9264,0.8063,0.9580,0.8104,0.9264
