epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.6043,0.5465,0.8011,0.001109,0.7261,0.8620,0.6159,0.8811,0.7523,0.9481,0.4787,0.8760
2,0.4196,0.4661,0.8239,0.001105,0.7654,0.8590,0.7413,0.8692,0.6982,0.9704,0.6588,0.8372
3,0.3864,0.5013,0.8111,0.001100,0.7692,0.8700,0.6095,0.8656,0.7658,0.9580,0.4550,0.9109
4,0.3449,0.4463,0.8412,0.001092,0.7634,0.8701,0.7647,0.9046,0.6757,0.9679,0.6777,0.9186
5,0.3447,0.4091,0.8495,0.001083,0.7668,0.8874,0.7772,0.8985,0.6667,0.9728,0.7109,0.9264
6,0.3045,0.3783,0.8650,0.001071,0.8164,0.8970,0.8122,0.8980,0.8514,0.9136,0.7583,0.8876
7,0.3045,0.3790,0.8513,0.001057,0.7845,0.9040,0.7700,0.8828,0.7297,0.9531,0.7536,0.8760
8,0.2883,0.3802,0.8558,0.001041,0.7930,0.8964,0.8067,0.8875,0.8108,0.9185,0.8009,0.8411
9,0.2917,0.4096,0.8467,0.001023,0.7762,0.8841,0.7792,0.9094,0.8829,0.8667,0.7109,0.8953
10,0.2730,0.3559,0.8604,0.001004,0.7894,0.9029,0.8020,0.9017,0.8018,0.8840,0.7773,0.9419
11,0.2585,0.4032,0.8531,0.000982,0.7716,0.8939,0.7980,0.8885,0.6847,0.9778,0.7583,0.8798
12,0.2402,0.3751,0.8659,0.000959,0.8069,0.9150,0.7749,0.9066,0.8378,0.9432,0.7014,0.9031
13,0.2398,0.3437,0.8723,0.000935,0.8160,0.9139,0.8203,0.8956,0.7793,0.9432,0.8436,0.8643
14,0.2126,0.3877,0.8595,0.000909,0.8101,0.9041,0.7650,0.8994,0.8649,0.9432,0.6635,0.8837
15,0.2129,0.3843,0.8577,0.000881,0.7962,0.8930,0.7951,0.8990,0.7568,0.9481,0.7630,0.8798
16,0.2229,0.3581,0.8549,0.000852,0.7983,0.8880,0.8000,0.8981,0.8559,0.8617,0.7583,0.9225
17,0.1963,0.4255,0.8358,0.000822,0.7561,0.8537,0.8354,0.8946,0.9144,0.7852,0.8057,0.8721
18,0.2009,0.3496,0.8631,0.000791,0.7928,0.9031,0.7990,0.9098,0.7928,0.9432,0.7630,0.8798
19,0.1917,0.3506,0.8805,0.000759,0.8279,0.9195,0.8352,0.9018,0.8018,0.9309,0.8768,0.8721
20,0.1636,0.3450,0.8723,0.000726,0.8119,0.9086,0.8205,0.9091,0.7973,0.9210,0.8341,0.8915
21,0.1761,0.3559,0.8796,0.000693,0.8241,0.9223,0.8260,0.9024,0.8018,0.9531,0.8436,0.8605
22,0.1617,0.3481,0.8741,0.000659,0.8157,0.9164,0.8254,0.8984,0.7973,0.9333,0.8626,0.8566
23,0.1626,0.3697,0.8631,0.000624,0.7892,0.9016,0.8167,0.9063,0.7928,0.8938,0.8341,0.8992
24,0.1631,0.3916,0.8504,0.000590,0.7807,0.8897,0.8160,0.8880,0.8739,0.8568,0.8199,0.8450
25,0.1543,0.3439,0.8704,0.000555,0.8161,0.9120,0.8203,0.8933,0.8694,0.9210,0.7678,0.8760
26,0.1526,0.3253,0.8695,0.000520,0.8043,0.9113,0.8215,0.9002,0.8333,0.9136,0.7962,0.8915
27,0.1506,0.3491,0.8668,0.000485,0.8017,0.9046,0.8189,0.9044,0.8468,0.9136,0.7820,0.8798
28,0.1212,0.3567,0.8732,0.000451,0.8163,0.9076,0.8186,0.9098,0.8108,0.9333,0.7915,0.8992
29,0.1323,0.3540,0.8686,0.000417,0.7974,0.9183,0.8140,0.9020,0.8333,0.9160,0.8294,0.8566
30,0.1349,0.3492,0.8732,0.000383,0.8205,0.9062,0.8218,0.9098,0.8649,0.9062,0.7867,0.8992
31,0.1306,0.3513,0.8777,0.000351,0.8212,0.9167,0.8364,0.9010,0.8378,0.9235,0.8483,0.8643
32,0.1323,0.3304,0.8823,0.000319,0.8262,0.9175,0.8322,0.9163,0.8243,0.9333,0.8341,0.8915
33,0.1202,0.3335,0.8741,0.000288,0.8214,0.9150,0.8157,0.9006,0.8288,0.9309,0.7867,0.8953
34,0.1180,0.3256,0.8914,0.000258,0.8407,0.9240,0.8460,0.9204,0.8559,0.9309,0.8199,0.9186
35,0.1097,0.3451,0.8832,0.000229,0.8432,0.9153,0.8290,0.9094,0.8964,0.9333,0.7583,0.8953
36,0.1140,0.3308,0.8814,0.000201,0.8270,0.9170,0.8333,0.9094,0.8288,0.9407,0.8057,0.8953
37,0.1022,0.3252,0.8805,0.000175,0.8249,0.9206,0.8254,0.9116,0.8063,0.9309,0.8626,0.8798
38,0.1121,0.3254,0.8805,0.000150,0.8217,0.9186,0.8281,0.9123,0.8198,0.9333,0.8104,0.9070
39,0.1009,0.3301,0.8832,0.000127,0.8355,0.9214,0.8291,0.9069,0.8694,0.9407,0.7820,0.8876
40,0.1072,0.3266,0.8869,0.000106,0.8360,0.9212,0.8421,0.9127,0.8378,0.9383,0.8341,0.8915
41,0.1066,0.3273,0.8841,0.000086,0.8307,0.9236,0.8349,0.9080,0.8288,0.9407,0.8389,0.8798
42,0.0970,0.3273,0.8814,0.000069,0.8251,0.9242,0.8297,0.9036,0.8288,0.9481,0.8199,0.8721
43,0.1001,0.3310,0.8841,0.000053,0.8308,0.9225,0.8418,0.9040,0.8514,0.9407,0.8199,0.8760
44,0.0827,0.3266,0.8878,0.000039,0.8333,0.9238,0.8449,0.9124,0.8333,0.9432,0.8389,0.8876
45,0.0956,0.3248,0.8878,0.000027,0.8352,0.9248,0.8381,0.9149,0.8333,0.9407,0.8341,0.8953
46,0.0914,0.3271,0.8896,0.000017,0.8363,0.9233,0.8439,0.9194,0.8514,0.9358,0.8199,0.9070
47,0.0942,0.3272,0.8878,0.000010,0.8319,0.9206,0.8489,0.9167,0.8468,0.9309,0.8389,0.8953
48,0.1000,0.3272,0.8887,0.000004,0.8300,0.9233,0.8475,0.9188,0.8468,0.9358,0.8294,0.8992
