epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.6046,0.5060,0.8047,0.001150,0.7185,0.8606,0.6705,0.8723,0.7072,0.9531,0.5545,0.8605
2,0.4261,0.4226,0.8376,0.001146,0.7669,0.8743,0.7726,0.8822,0.6892,0.9531,0.7488,0.8566
3,0.3846,0.5414,0.8120,0.001141,0.7717,0.8720,0.5928,0.8688,0.7613,0.9506,0.4313,0.9496
4,0.3609,0.4588,0.8394,0.001133,0.7684,0.8707,0.7486,0.9015,0.6802,0.9728,0.6493,0.9225
5,0.3451,0.4038,0.8495,0.001123,0.7513,0.8932,0.7820,0.8972,0.6396,0.9704,0.7393,0.9302
6,0.3135,0.3724,0.8622,0.001111,0.7948,0.8987,0.8203,0.8971,0.8288,0.9086,0.7678,0.8953
7,0.3002,0.3812,0.8458,0.001096,0.7734,0.9001,0.7739,0.8735,0.7072,0.9457,0.7867,0.8566
8,0.2874,0.3676,0.8595,0.001080,0.7943,0.9045,0.8114,0.8848,0.7568,0.9235,0.8768,0.8333
9,0.2956,0.4088,0.8467,0.001061,0.7615,0.8844,0.7907,0.9133,0.8559,0.8593,0.7251,0.9186
10,0.2725,0.3547,0.8522,0.001041,0.7630,0.8903,0.8065,0.9073,0.7613,0.8815,0.8199,0.9109
11,0.2463,0.3985,0.8622,0.001019,0.7861,0.8998,0.8108,0.8990,0.7117,0.9753,0.7820,0.8798
12,0.2360,0.3815,0.8595,0.000995,0.7956,0.9054,0.7639,0.9105,0.8153,0.9333,0.6825,0.9264
13,0.2347,0.3632,0.8631,0.000969,0.7991,0.8988,0.8076,0.9066,0.7883,0.9210,0.8057,0.8837
14,0.2289,0.3742,0.8650,0.000942,0.8168,0.9004,0.7831,0.9094,0.8333,0.9481,0.7014,0.8953
15,0.2102,0.3664,0.8650,0.000914,0.8098,0.8937,0.8101,0.9084,0.8153,0.9235,0.7583,0.9031
16,0.2168,0.3643,0.8613,0.000884,0.7845,0.8918,0.8314,0.9077,0.8198,0.8543,0.8294,0.9341
17,0.1985,0.4132,0.8321,0.000853,0.7384,0.8617,0.8195,0.8996,0.8964,0.7926,0.7962,0.8682
18,0.1975,0.3482,0.8714,0.000821,0.7879,0.9141,0.8219,0.9127,0.7613,0.9457,0.8199,0.8915
19,0.1840,0.3522,0.8695,0.000787,0.7963,0.9113,0.8251,0.9054,0.7838,0.9136,0.8720,0.8721
20,0.1731,0.3424,0.8668,0.000753,0.7895,0.9046,0.8274,0.9091,0.8108,0.9012,0.8294,0.8915
21,0.1732,0.3379,0.8796,0.000719,0.8087,0.9203,0.8314,0.9109,0.7523,0.9556,0.8531,0.8915
22,0.1573,0.3579,0.8704,0.000683,0.8000,0.9130,0.8194,0.9054,0.7838,0.9333,0.8389,0.8721
23,0.1623,0.3600,0.8677,0.000648,0.7900,0.9125,0.8097,0.9163,0.7793,0.9012,0.8673,0.8915
24,0.1626,0.3600,0.8659,0.000612,0.7899,0.9024,0.8381,0.9034,0.8468,0.8790,0.8341,0.8876
25,0.1486,0.3518,0.8613,0.000575,0.7830,0.9059,0.8216,0.8978,0.8288,0.8914,0.8294,0.8682
26,0.1562,0.3368,0.8695,0.000539,0.8026,0.9130,0.8186,0.9045,0.8243,0.8938,0.8341,0.8992
27,0.1436,0.3515,0.8677,0.000503,0.8035,0.9135,0.8030,0.9014,0.8288,0.9259,0.7536,0.9031
28,0.1309,0.3381,0.8741,0.000468,0.8136,0.9144,0.8060,0.9125,0.8063,0.9358,0.7583,0.9302
29,0.1355,0.3599,0.8714,0.000432,0.7908,0.9098,0.8370,0.9149,0.8514,0.8963,0.8152,0.8953
30,0.1289,0.3533,0.8714,0.000398,0.8110,0.9084,0.8104,0.9130,0.8604,0.9185,0.7393,0.9147
31,0.1198,0.3519,0.8759,0.000364,0.8079,0.9166,0.8381,0.9024,0.8243,0.9358,0.8341,0.8605
32,0.1256,0.3422,0.8850,0.000330,0.8243,0.9197,0.8401,0.9191,0.8243,0.9333,0.8341,0.9031
33,0.1177,0.3388,0.8759,0.000298,0.8182,0.9161,0.8150,0.9073,0.8108,0.9432,0.7725,0.9109
34,0.1217,0.3395,0.8805,0.000267,0.8190,0.9192,0.8229,0.9154,0.8153,0.9407,0.7820,0.9225
35,0.1238,0.3473,0.8823,0.000237,0.8162,0.9210,0.8291,0.9225,0.8604,0.9358,0.7820,0.8992
36,0.1219,0.3438,0.8759,0.000209,0.8053,0.9173,0.8269,0.9124,0.8198,0.9309,0.8152,0.8876
37,0.1047,0.3377,0.8777,0.000182,0.8143,0.9227,0.8318,0.9004,0.8198,0.9284,0.8436,0.8760
38,0.1081,0.3340,0.8768,0.000156,0.8081,0.9173,0.8281,0.9105,0.8063,0.9309,0.8104,0.9070
39,0.0973,0.3444,0.8777,0.000132,0.8113,0.9188,0.8212,0.9155,0.8423,0.9358,0.7725,0.9031
40,0.1063,0.3339,0.8814,0.000110,0.8196,0.9184,0.8293,0.9180,0.8288,0.9309,0.8057,0.9109
41,0.1055,0.3374,0.8805,0.000090,0.8150,0.9249,0.8224,0.9142,0.8333,0.9432,0.8009,0.8876
42,0.0985,0.3363,0.8832,0.000071,0.8233,0.9238,0.8244,0.9173,0.8288,0.9432,0.8009,0.9031
43,0.0936,0.3375,0.8796,0.000055,0.8122,0.9221,0.8276,0.9130,0.8378,0.9358,0.7962,0.8953
44,0.0933,0.3353,0.8805,0.000040,0.8142,0.9235,0.8247,0.9141,0.8288,0.9383,0.7915,0.9070
45,0.0997,0.3324,0.8823,0.000028,0.8170,0.9246,0.8305,0.9126,0.8243,0.9383,0.8009,0.9109
46,0.0936,0.3336,0.8823,0.000018,0.8168,0.9218,0.8325,0.9165,0.8333,0.9309,0.8009,0.9147
47,0.0946,0.3341,0.8823,0.000010,0.8176,0.9229,0.8325,0.9144,0.8378,0.9309,0.8009,0.9109
48,0.1040,0.3339,0.8823,0.000005,0.8168,0.9218,0.8325,0.9165,0.8333,0.9309,0.8009,0.9147
49,0.0971,0.3341,0.8814,0.000001,0.8150,0.9218,0.8325,0.9144,0.8333,0.9309,0.8009,0.9109
50,0.0882,0.3342,0.8814,0.000000,0.8150,0.9218,0.8325,0.9144,0.8333,0.9309,0.8009,0.9109
