epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.6026,0.5213,0.8057,0.001322,0.7175,0.8616,0.6667,0.8792,0.7207,0.9531,0.5450,0.8605
2,0.4215,0.4343,0.8358,0.001319,0.7722,0.8743,0.7617,0.8775,0.7252,0.9531,0.6967,0.8605
3,0.3848,0.5190,0.8057,0.001312,0.7570,0.8590,0.6115,0.8670,0.7297,0.9556,0.4550,0.9225
4,0.3485,0.4560,0.8312,0.001303,0.7358,0.8634,0.7459,0.9060,0.6396,0.9753,0.6540,0.9147
5,0.3481,0.3876,0.8476,0.001291,0.7766,0.8871,0.7739,0.8910,0.6892,0.9605,0.7299,0.9031
6,0.3053,0.3772,0.8650,0.001277,0.8121,0.8953,0.8210,0.9016,0.8468,0.8864,0.8152,0.8876
7,0.2966,0.3745,0.8522,0.001261,0.7904,0.9052,0.7718,0.8819,0.7387,0.9432,0.7773,0.8682
8,0.2888,0.3652,0.8613,0.001242,0.7891,0.9056,0.8129,0.8943,0.7838,0.9235,0.8341,0.8527
9,0.2886,0.3820,0.8613,0.001221,0.7983,0.8971,0.8092,0.9041,0.8649,0.8938,0.7536,0.8953
10,0.2712,0.3484,0.8631,0.001197,0.7876,0.9040,0.8096,0.9081,0.8018,0.8840,0.7962,0.9380
11,0.2508,0.4151,0.8522,0.001172,0.7750,0.8954,0.7760,0.8940,0.6982,0.9827,0.7062,0.8992
12,0.2307,0.3734,0.8622,0.001144,0.7991,0.9036,0.7863,0.9087,0.8423,0.9259,0.7062,0.9070
13,0.2282,0.3544,0.8659,0.001115,0.8028,0.9015,0.8180,0.9010,0.7793,0.9383,0.8199,0.8643
14,0.2168,0.3699,0.8631,0.001084,0.8051,0.9000,0.7893,0.9098,0.8468,0.9333,0.7014,0.8992
15,0.2040,0.3765,0.8686,0.001051,0.8083,0.9030,0.8238,0.9008,0.7883,0.9309,0.8199,0.8798
16,0.2191,0.3817,0.8513,0.001017,0.7806,0.8863,0.8059,0.8976,0.8333,0.8469,0.7773,0.9341
17,0.1901,0.4316,0.8412,0.000981,0.7561,0.8734,0.8111,0.9055,0.9009,0.8173,0.7630,0.8915
18,0.1952,0.3618,0.8595,0.000944,0.7746,0.8985,0.8069,0.9069,0.7432,0.9506,0.7725,0.8876
19,0.1812,0.3703,0.8704,0.000906,0.8165,0.9142,0.8117,0.8988,0.8018,0.9210,0.8578,0.8605
20,0.1669,0.3715,0.8695,0.000866,0.8100,0.9120,0.8091,0.9066,0.8063,0.9086,0.8436,0.8837
21,0.1751,0.3626,0.8832,0.000827,0.8303,0.9253,0.8244,0.9098,0.8153,0.9481,0.8341,0.8798
22,0.1595,0.3704,0.8686,0.000786,0.8118,0.9095,0.8141,0.8974,0.8063,0.9309,0.8199,0.8643
23,0.1527,0.3720,0.8704,0.000745,0.7982,0.9127,0.8233,0.9055,0.7928,0.9160,0.8389,0.8915
24,0.1544,0.3729,0.8604,0.000703,0.7975,0.8981,0.8199,0.8942,0.8514,0.8815,0.8199,0.8682
