epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.6180,0.4944,0.8203,0.000577,0.7265,0.8651,0.7595,0.8814,0.7658,0.8790,0.7109,0.8643
2,0.4295,0.4435,0.8330,0.000575,0.7368,0.8796,0.7617,0.8851,0.6622,0.9383,0.7346,0.8953
3,0.3893,0.4513,0.8239,0.000573,0.7419,0.8628,0.7575,0.8806,0.7703,0.9086,0.6588,0.8721
4,0.3794,0.4041,0.8495,0.000569,0.7846,0.8894,0.7815,0.8906,0.7793,0.9333,0.7204,0.8837
5,0.3397,0.4745,0.8221,0.000564,0.7564,0.8747,0.7380,0.8559,0.7973,0.9481,0.6540,0.7829
6,0.3282,0.3998,0.8431,0.000557,0.7644,0.8865,0.7809,0.8898,0.7748,0.9259,0.7346,0.8605
7,0.3021,0.3813,0.8613,0.000550,0.7896,0.8993,0.8079,0.8998,0.7523,0.9481,0.7773,0.8876
8,0.2934,0.4827,0.8276,0.000542,0.7608,0.8765,0.7342,0.8671,0.7523,0.9728,0.6351,0.8217
9,0.2748,0.3755,0.8577,0.000533,0.7898,0.9012,0.8049,0.8933,0.8378,0.9012,0.7725,0.8760
10,0.2761,0.3841,0.8540,0.000523,0.7684,0.8984,0.7935,0.8964,0.6802,0.9284,0.8104,0.9225
11,0.2702,0.3752,0.8631,0.000511,0.8019,0.8941,0.8157,0.8994,0.7568,0.9481,0.7867,0.8837
12,0.2557,0.3703,0.8568,0.000499,0.7819,0.9039,0.7980,0.8963,0.8153,0.9062,0.7678,0.8876
13,0.2606,0.3298,0.8723,0.000487,0.8180,0.9162,0.8083,0.9006,0.7793,0.9309,0.8294,0.8953
14,0.2419,0.3691,0.8558,0.000473,0.7677,0.9010,0.7935,0.9012,0.6847,0.9556,0.8104,0.8837
15,0.2253,0.3398,0.8695,0.000459,0.8238,0.9046,0.8078,0.9037,0.8423,0.9136,0.7867,0.8915
16,0.2191,0.3936,0.8613,0.000444,0.8053,0.9108,0.7569,0.9011,0.8198,0.9580,0.6493,0.9186
17,0.2320,0.3544,0.8668,0.000428,0.8180,0.9110,0.7871,0.8966,0.7793,0.9481,0.7536,0.9070
18,0.2150,0.3538,0.8613,0.000412,0.7940,0.9033,0.8088,0.8982,0.8333,0.9111,0.7820,0.8721
19,0.2079,0.3562,0.8686,0.000395,0.8091,0.9066,0.8142,0.9066,0.8784,0.8988,0.7583,0.9031
20,0.1977,0.3599,0.8704,0.000378,0.8211,0.9098,0.7917,0.9122,0.8784,0.9086,0.7204,0.9264
21,0.2082,0.3513,0.8704,0.000361,0.8209,0.9074,0.8173,0.8929,0.8153,0.9556,0.7630,0.8721
22,0.1815,0.3474,0.8695,0.000343,0.8188,0.9042,0.8215,0.9000,0.8649,0.9086,0.7962,0.8721
23,0.1958,0.3623,0.8668,0.000325,0.8033,0.8945,0.8458,0.9028,0.8739,0.8691,0.8578,0.8643
24,0.1649,0.3386,0.8786,0.000307,0.8268,0.9124,0.8238,0.9101,0.8063,0.9383,0.7867,0.9225
25,0.1605,0.3445,0.8732,0.000289,0.8184,0.9076,0.8274,0.9016,0.8423,0.9333,0.7725,0.8876
26,0.1641,0.3386,0.8796,0.000271,0.8333,0.9141,0.8180,0.9098,0.8108,0.9457,0.7773,0.9186
27,0.1540,0.3512,0.8750,0.000253,0.8088,0.9154,0.8392,0.9008,0.8288,0.9086,0.8531,0.8798
28,0.1587,0.3468,0.8777,0.000235,0.8257,0.9148,0.8168,0.9094,0.8108,0.9284,0.7820,0.9341
