epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.6085,0.5309,0.8057,0.001062,0.7200,0.8639,0.6529,0.8811,0.7297,0.9481,0.5261,0.8760
2,0.4221,0.4323,0.8412,0.001059,0.7631,0.8778,0.7841,0.8849,0.6892,0.9580,0.7488,0.8643
3,0.3829,0.5110,0.8066,0.001053,0.7636,0.8652,0.6070,0.8597,0.7568,0.9506,0.4502,0.9147
4,0.3508,0.4652,0.8312,0.001046,0.7421,0.8590,0.7560,0.9014,0.6351,0.9778,0.6682,0.9031
5,0.3471,0.4061,0.8485,0.001037,0.7661,0.8866,0.7837,0.8939,0.6712,0.9654,0.7299,0.9147
6,0.3113,0.3798,0.8531,0.001025,0.7863,0.8878,0.8059,0.8972,0.8288,0.8889,0.7773,0.8798
7,0.2983,0.3814,0.8586,0.001012,0.8038,0.9050,0.7905,0.8822,0.7568,0.9531,0.7867,0.8566
8,0.2975,0.3843,0.8604,0.000997,0.7982,0.9064,0.8135,0.8820,0.7928,0.9210,0.8578,0.8256
9,0.2882,0.4012,0.8568,0.000980,0.7903,0.8957,0.7980,0.9056,0.8829,0.8691,0.7393,0.9109
10,0.2732,0.3512,0.8613,0.000961,0.7982,0.8996,0.7949,0.9054,0.8108,0.8963,0.7441,0.9457
11,0.2540,0.3877,0.8504,0.000941,0.7588,0.8932,0.7980,0.8880,0.6802,0.9704,0.7488,0.8915
12,0.2360,0.3877,0.8568,0.000919,0.7922,0.9049,0.7586,0.9080,0.8243,0.9284,0.6777,0.9186
13,0.2357,0.3645,0.8604,0.000895,0.7955,0.8988,0.8104,0.8960,0.7883,0.9210,0.8104,0.8682
14,0.2227,0.3922,0.8549,0.000870,0.8009,0.8994,0.7609,0.8955,0.8153,0.9605,0.6635,0.8798
15,0.2121,0.3825,0.8677,0.000844,0.8109,0.9011,0.8128,0.9055,0.8018,0.9333,0.7820,0.8915
16,0.2136,0.3642,0.8568,0.000816,0.7880,0.8897,0.8099,0.9042,0.8288,0.8765,0.7773,0.9147
17,0.1980,0.4090,0.8422,0.000787,0.7599,0.8696,0.8305,0.8974,0.9054,0.8148,0.8009,0.8643
18,0.1994,0.3645,0.8604,0.000758,0.7793,0.9030,0.8087,0.9040,0.7793,0.9309,0.7915,0.8760
19,0.1906,0.3654,0.8650,0.000727,0.7982,0.9098,0.8045,0.9044,0.7838,0.9086,0.8483,0.8798
20,0.1703,0.3656,0.8650,0.000696,0.8053,0.9010,0.8157,0.9036,0.8198,0.8988,0.8389,0.8721
21,0.1742,0.3567,0.8786,0.000664,0.8329,0.9192,0.8186,0.9010,0.7973,0.9556,0.8341,0.8643
22,0.1596,0.3550,0.8741,0.000631,0.8121,0.9238,0.8155,0.8970,0.7883,0.9432,0.8483,0.8605
23,0.1607,0.3591,0.8686,0.000598,0.7928,0.9170,0.8146,0.9048,0.7928,0.9136,0.8436,0.8837
24,0.1604,0.3811,0.8613,0.000565,0.7959,0.8920,0.8341,0.9004,0.8784,0.8568,0.8341,0.8760
25,0.1550,0.3564,0.8650,0.000531,0.7966,0.9039,0.8269,0.8996,0.8559,0.8938,0.8152,0.8682
26,0.1598,0.3305,0.8704,0.000498,0.8107,0.9127,0.8113,0.9051,0.8198,0.9160,0.8152,0.8876
27,0.1419,0.3610,0.8704,0.000465,0.8217,0.9080,0.8168,0.8964,0.8514,0.9259,0.7820,0.8721
28,0.1237,0.3519,0.8777,0.000432,0.8227,0.9130,0.8184,0.9159,0.8153,0.9333,0.8009,0.9070
29,0.1307,0.3619,0.8677,0.000399,0.8000,0.9125,0.8216,0.8992,0.8468,0.9012,0.8294,0.8643
30,0.1380,0.3556,0.8777,0.000367,0.8326,0.9135,0.8189,0.9066,0.8514,0.9259,0.7820,0.9031
31,0.1237,0.3576,0.8759,0.000336,0.8225,0.9130,0.8258,0.9040,0.8243,0.9333,0.8199,0.8760
32,0.1304,0.3476,0.8823,0.000305,0.8352,0.9201,0.8286,0.9066,0.8333,0.9383,0.8246,0.8837
33,0.1162,0.3512,0.8704,0.000275,0.8161,0.9119,0.8070,0.8996,0.8198,0.9333,0.7630,0.9031
34,0.1214,0.3497,0.8805,0.000247,0.8288,0.9157,0.8232,0.9119,0.8288,0.9383,0.7725,0.9225
35,0.1145,0.3573,0.8796,0.000219,0.8215,0.9179,0.8300,0.9098,0.8604,0.9383,0.7867,0.8798
36,0.1188,0.3410,0.8796,0.000193,0.8117,0.9181,0.8378,0.9105,0.8153,0.9407,0.8199,0.8876
37,0.1046,0.3345,0.8777,0.000168,0.8128,0.9193,0.8322,0.9062,0.8018,0.9284,0.8578,0.8798
38,0.1107,0.3369,0.8823,0.000144,0.8188,0.9201,0.8362,0.9137,0.8243,0.9383,0.8104,0.9031
39,0.1022,0.3404,0.8841,0.000122,0.8271,0.9184,0.8452,0.9112,0.8514,0.9309,0.8152,0.8953
40,0.1060,0.3341,0.8896,0.000101,0.8352,0.9223,0.8469,0.9191,0.8333,0.9383,0.8389,0.9031
41,0.1041,0.3389,0.8841,0.000083,0.8274,0.9221,0.8413,0.9084,0.8423,0.9358,0.8294,0.8837
42,0.0971,0.3337,0.8805,0.000066,0.8206,0.9186,0.8361,0.9084,0.8243,0.9333,0.8341,0.8837
43,0.0938,0.3372,0.8850,0.000051,0.8241,0.9223,0.8434,0.9127,0.8333,0.9383,0.8294,0.8915
44,0.0921,0.3369,0.8841,0.000037,0.8243,0.9238,0.8373,0.9105,0.8243,0.9432,0.8294,0.8876
45,0.0924,0.3355,0.8869,0.000026,0.8304,0.9210,0.8434,0.9170,0.8378,0.9358,0.8294,0.8992
46,0.0934,0.3378,0.8850,0.000017,0.8248,0.9223,0.8447,0.9109,0.8378,0.9383,0.8246,0.8915
47,0.0972,0.3384,0.8878,0.000009,0.8319,0.9235,0.8467,0.9130,0.8468,0.9383,0.8246,0.8953
48,0.1009,0.3386,0.8878,0.000004,0.8319,0.9235,0.8467,0.9130,0.8468,0.9383,0.8246,0.8953
49,0.1012,0.3384,0.8878,0.000001,0.8319,0.9235,0.8467,0.9130,0.8468,0.9383,0.8246,0.8953
50,0.0932,0.3385,0.8878,0.000000,0.8319,0.9235,0.8467,0.9130,0.8468,0.9383,0.8246,0.8953
