epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7973,0.5179,0.7838,0.000321,0.6503,0.8606,0.6570,0.8536,0.6577,0.8840,0.5355,0.9380
2,0.5017,0.5523,0.7965,0.000320,0.5449,0.8737,0.7510,0.8665,0.3829,0.9481,0.9147,0.8178
3,0.4975,0.4616,0.8203,0.000318,0.7195,0.8724,0.7621,0.8876,0.8378,0.8272,0.7062,0.8876
4,0.4544,0.5191,0.7956,0.000316,0.6821,0.8503,0.7432,0.8330,0.6622,0.9679,0.6445,0.7636
5,0.4203,0.4206,0.8312,0.000313,0.7399,0.8866,0.7427,0.8832,0.7432,0.9457,0.6635,0.8643
6,0.4315,0.3911,0.8412,0.000310,0.7397,0.8983,0.7646,0.8928,0.7297,0.9383,0.7156,0.8876
7,0.3911,0.3858,0.8431,0.000306,0.7600,0.8982,0.7520,0.8934,0.7703,0.9037,0.6825,0.9419
8,0.3798,0.4394,0.8358,0.000301,0.7596,0.8856,0.7473,0.8821,0.7613,0.9654,0.6588,0.8411
9,0.4210,0.4074,0.8476,0.000296,0.7553,0.8973,0.7895,0.9040,0.8063,0.8519,0.7820,0.9302
10,0.3915,0.4107,0.8285,0.000291,0.7410,0.8872,0.7453,0.8902,0.8829,0.8444,0.6588,0.8953
11,0.3613,0.4129,0.8285,0.000284,0.7530,0.8900,0.7538,0.8631,0.8514,0.8988,0.6967,0.8062
12,0.3853,0.3798,0.8440,0.000278,0.7702,0.8993,0.7901,0.8703,0.7928,0.9037,0.8294,0.8062
13,0.3753,0.3682,0.8467,0.000271,0.7601,0.9080,0.7513,0.8869,0.7207,0.9383,0.6872,0.9419
14,0.3368,0.3931,0.8303,0.000263,0.7348,0.8876,0.7292,0.8805,0.6802,0.9654,0.6445,0.8992
15,0.3476,0.3615,0.8504,0.000255,0.7637,0.9005,0.7783,0.8946,0.7207,0.9605,0.7488,0.8721
16,0.3509,0.3946,0.8449,0.000247,0.7591,0.8916,0.7864,0.8820,0.7027,0.9753,0.7678,0.8256
17,0.3247,0.3472,0.8613,0.000238,0.7917,0.9159,0.7812,0.8986,0.7703,0.9407,0.7867,0.8760
18,0.3211,0.3864,0.8385,0.000229,0.7681,0.8932,0.7346,0.8762,0.7162,0.9704,0.6493,0.8915
19,0.3185,0.3712,0.8531,0.000220,0.7785,0.9091,0.7647,0.8983,0.8468,0.9136,0.6777,0.9070
20,0.3287,0.3538,0.8540,0.000210,0.7718,0.9078,0.7731,0.8931,0.7162,0.9481,0.7346,0.9225
21,0.3280,0.3481,0.8631,0.000201,0.7822,0.9100,0.8029,0.8989,0.7117,0.9358,0.8009,0.9302
22,0.3367,0.3534,0.8513,0.000191,0.7711,0.8999,0.7862,0.8862,0.7207,0.9654,0.7583,0.8605
23,0.3209,0.3518,0.8641,0.000181,0.8000,0.9181,0.7735,0.8989,0.7838,0.9407,0.7204,0.9302
24,0.3013,0.3511,0.8568,0.000171,0.7696,0.9148,0.7945,0.8916,0.7523,0.9284,0.8246,0.8605
25,0.3000,0.3641,0.8549,0.000161,0.7605,0.9091,0.7961,0.9063,0.8153,0.8889,0.7773,0.8992
26,0.3054,0.3463,0.8622,0.000151,0.7963,0.9123,0.7781,0.8959,0.7658,0.9506,0.7062,0.9341
27,0.2783,0.3649,0.8613,0.000140,0.7840,0.9093,0.8030,0.8920,0.7523,0.9654,0.7725,0.8643
28,0.2735,0.3698,0.8577,0.000131,0.7949,0.9104,0.7819,0.8840,0.8378,0.9531,0.6967,0.8566
29,0.2794,0.3641,0.8531,0.000121,0.7856,0.9072,0.7962,0.8690,0.7838,0.9531,0.7867,0.8101
30,0.2794,0.3327,0.8631,0.000111,0.7897,0.9147,0.7914,0.8986,0.7613,0.9531,0.7820,0.8760
31,0.2892,0.3788,0.8422,0.000101,0.7656,0.8840,0.7932,0.8964,0.8829,0.8370,0.7725,0.8721
32,0.2673,0.3463,0.8668,0.000092,0.8050,0.9145,0.7853,0.9098,0.8739,0.9111,0.7109,0.9186
33,0.2650,0.3458,0.8650,0.000083,0.7991,0.9207,0.7772,0.8992,0.8243,0.9457,0.7109,0.8992
34,0.2466,0.3289,0.8677,0.000075,0.7982,0.9192,0.7901,0.9042,0.7838,0.9407,0.7583,0.9147
35,0.2518,0.3418,0.8668,0.000066,0.7991,0.9153,0.8029,0.8956,0.7793,0.9605,0.7820,0.8643
36,0.2610,0.3619,0.8595,0.000058,0.7991,0.9117,0.7737,0.8933,0.8423,0.9432,0.6967,0.8760
37,0.2557,0.3543,0.8650,0.000051,0.8044,0.9106,0.7990,0.8970,0.8243,0.9432,0.7630,0.8605
38,0.2609,0.3205,0.8695,0.000044,0.8074,0.9188,0.8019,0.8966,0.7838,0.9358,0.7867,0.9070
39,0.2541,0.3478,0.8631,0.000037,0.8000,0.9182,0.7822,0.8936,0.8559,0.9284,0.7062,0.8953
40,0.2511,0.3335,0.8732,0.000031,0.8107,0.9207,0.8078,0.9040,0.8198,0.9457,0.7867,0.8760
41,0.2400,0.3380,0.8695,0.000025,0.8124,0.9169,0.7844,0.9063,0.8288,0.9531,0.7156,0.8992
42,0.2498,0.3404,0.8741,0.000020,0.8105,0.9220,0.8051,0.9069,0.8378,0.9481,0.7536,0.8876
43,0.2331,0.3282,0.8686,0.000015,0.8044,0.9206,0.7913,0.9041,0.8153,0.9309,0.7725,0.8953
44,0.2338,0.3283,0.8714,0.000011,0.8054,0.9236,0.7962,0.9055,0.8018,0.9407,0.7867,0.8915
45,0.2410,0.3297,0.8723,0.000008,0.8126,0.9214,0.7971,0.9045,0.8108,0.9407,0.7725,0.8992
46,0.2206,0.3417,0.8641,0.000005,0.7939,0.9175,0.7981,0.8952,0.8243,0.9333,0.7773,0.8605
47,0.2221,0.3318,0.8777,0.000003,0.8178,0.9266,0.8060,0.9077,0.8288,0.9506,0.7678,0.8953
48,0.2127,0.3371,0.8714,0.000001,0.8188,0.9190,0.7960,0.8976,0.8243,0.9531,0.7488,0.8837
49,0.2283,0.3228,0.8732,0.000000,0.8143,0.9248,0.7990,0.9006,0.8198,0.9407,0.7725,0.8953
50,0.2212,0.3307,0.8686,0.000000,0.8000,0.9192,0.7971,0.9058,0.8018,0.9407,0.7915,0.8760
