epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8075,0.5368,0.7710,0.000334,0.6311,0.8568,0.6350,0.8294,0.6126,0.8864,0.5071,0.9419
2,0.5128,0.5455,0.7984,0.000333,0.4901,0.8736,0.7595,0.8830,0.3333,0.9556,0.8531,0.9070
3,0.5102,0.4949,0.8066,0.000332,0.6993,0.8624,0.7405,0.8872,0.8694,0.8049,0.6493,0.8837
4,0.4626,0.5324,0.7847,0.000329,0.6635,0.8465,0.7238,0.8170,0.6306,0.9802,0.6209,0.7442
5,0.4390,0.4159,0.8358,0.000326,0.7347,0.8933,0.7452,0.8893,0.7297,0.9407,0.6445,0.9186
6,0.4288,0.4097,0.8403,0.000323,0.7150,0.8869,0.7931,0.8915,0.6216,0.9679,0.7630,0.8915
7,0.4050,0.4014,0.8513,0.000319,0.7768,0.9035,0.7822,0.8911,0.8153,0.9012,0.7488,0.8876
8,0.3744,0.4270,0.8385,0.000314,0.7512,0.8864,0.7664,0.8831,0.7207,0.9728,0.6919,0.8488
9,0.4222,0.4461,0.8285,0.000308,0.7406,0.8705,0.7669,0.8968,0.7523,0.8049,0.8341,0.9264
10,0.4045,0.3862,0.8431,0.000303,0.7551,0.8886,0.7815,0.9027,0.8333,0.8765,0.7204,0.8992
11,0.3715,0.4145,0.8412,0.000296,0.7609,0.8953,0.8017,0.8662,0.7883,0.8864,0.8720,0.7907
12,0.3808,0.3844,0.8476,0.000289,0.7655,0.9026,0.7933,0.8755,0.7793,0.9383,0.7820,0.8178
13,0.3950,0.3746,0.8485,0.000282,0.7650,0.9027,0.7520,0.8959,0.7477,0.9506,0.6540,0.9341
14,0.3556,0.3818,0.8376,0.000274,0.7386,0.8943,0.7487,0.8851,0.6937,0.9605,0.6635,0.9109
15,0.3611,0.3800,0.8458,0.000266,0.7500,0.8962,0.7784,0.8885,0.7027,0.9704,0.7156,0.8798
16,0.3510,0.3852,0.8467,0.000257,0.7524,0.8934,0.8010,0.8807,0.6982,0.9728,0.7820,0.8295
17,0.3369,0.3500,0.8595,0.000248,0.7876,0.9122,0.7830,0.8958,0.7432,0.9358,0.7867,0.8992
18,0.3273,0.3991,0.8422,0.000238,0.7666,0.8919,0.7486,0.8814,0.7027,0.9778,0.6493,0.9070
19,0.3202,0.3676,0.8568,0.000229,0.7940,0.9144,0.7614,0.8893,0.8333,0.9358,0.6730,0.9031
20,0.3317,0.3540,0.8540,0.000219,0.7704,0.9078,0.7811,0.8873,0.7027,0.9358,0.7441,0.9457
21,0.3336,0.3420,0.8677,0.000209,0.7871,0.9169,0.8000,0.9040,0.7162,0.9531,0.7867,0.9302
22,0.3436,0.3566,0.8531,0.000199,0.7644,0.9032,0.8010,0.8831,0.7162,0.9679,0.7820,0.8488
23,0.3300,0.3513,0.8650,0.000188,0.7935,0.9176,0.7959,0.8910,0.7703,0.9481,0.7393,0.9186
24,0.3029,0.3571,0.8577,0.000178,0.7657,0.9144,0.7900,0.9030,0.7432,0.9235,0.8199,0.8837
25,0.3111,0.3488,0.8622,0.000167,0.7870,0.9135,0.8009,0.8964,0.7658,0.9259,0.8294,0.8721
26,0.3231,0.3549,0.8558,0.000157,0.7891,0.9155,0.7473,0.8897,0.7838,0.9630,0.6445,0.9225
27,0.2881,0.3543,0.8604,0.000146,0.7721,0.9099,0.8050,0.8952,0.7477,0.9728,0.7630,0.8605
28,0.2858,0.3386,0.8622,0.000136,0.7859,0.9183,0.7871,0.8986,0.8018,0.9432,0.7536,0.8760
29,0.2848,0.3519,0.8622,0.000126,0.7868,0.9165,0.8058,0.8871,0.8063,0.9481,0.7867,0.8372
30,0.2833,0.3409,0.8695,0.000116,0.7916,0.9193,0.8134,0.8984,0.7613,0.9704,0.8057,0.8566
31,0.2876,0.3743,0.8403,0.000106,0.7533,0.8912,0.7859,0.8960,0.8874,0.8494,0.7393,0.8682
32,0.2722,0.3396,0.8659,0.000096,0.7934,0.9202,0.7980,0.9020,0.8649,0.9111,0.7488,0.8915
33,0.2701,0.3532,0.8558,0.000087,0.7736,0.9078,0.7853,0.8959,0.7928,0.9481,0.7109,0.8837
34,0.2618,0.3259,0.8777,0.000078,0.8118,0.9269,0.8155,0.9048,0.8063,0.9556,0.7962,0.8837
35,0.2550,0.3386,0.8641,0.000069,0.7826,0.9202,0.7950,0.8946,0.7703,0.9679,0.7536,0.8721
36,0.2644,0.3665,0.8549,0.000061,0.7792,0.9150,0.7676,0.8893,0.8108,0.9704,0.6967,0.8411
37,0.2679,0.3577,0.8613,0.000053,0.7956,0.9112,0.7804,0.8988,0.8153,0.9630,0.7156,0.8605
38,0.2598,0.3227,0.8759,0.000045,0.7981,0.9212,0.8238,0.9094,0.7658,0.9531,0.8199,0.8953
39,0.2695,0.3582,0.8695,0.000038,0.8008,0.9206,0.8122,0.8974,0.8694,0.9309,0.7583,0.8643
40,0.2629,0.3299,0.8668,0.000032,0.7875,0.9183,0.8086,0.9010,0.7928,0.9432,0.8009,0.8643
41,0.2539,0.3333,0.8668,0.000026,0.7919,0.9176,0.7929,0.9048,0.7883,0.9630,0.7441,0.8837
42,0.2580,0.3444,0.8641,0.000021,0.7940,0.9198,0.7960,0.8907,0.8333,0.9481,0.7488,0.8527
43,0.2360,0.3290,0.8677,0.000016,0.7955,0.9231,0.7924,0.9037,0.7973,0.9333,0.7867,0.8915
44,0.2420,0.3337,0.8668,0.000012,0.7894,0.9231,0.7990,0.8992,0.8018,0.9481,0.7820,0.8643
45,0.2506,0.3349,0.8695,0.000008,0.8009,0.9246,0.8010,0.8956,0.8153,0.9531,0.7725,0.8643
46,0.2282,0.3421,0.8723,0.000005,0.8061,0.9295,0.8010,0.8947,0.8333,0.9605,0.7630,0.8566
47,0.2334,0.3359,0.8723,0.000003,0.8087,0.9246,0.8040,0.8978,0.8378,0.9531,0.7583,0.8682
48,0.2203,0.3390,0.8723,0.000001,0.8044,0.9260,0.7950,0.9058,0.8243,0.9580,0.7536,0.8760
49,0.2348,0.3280,0.8714,0.000000,0.8036,0.9242,0.8048,0.8986,0.8018,0.9481,0.7915,0.8760
50,0.2331,0.3346,0.8741,0.000000,0.8027,0.9295,0.8078,0.9006,0.8153,0.9605,0.7867,0.8605
