epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8101,0.6165,0.7509,0.001900,0.6789,0.8280,0.6306,0.7583,0.5856,0.8321,0.4976,0.9729
2,0.5414,0.5436,0.7901,0.001894,0.6514,0.8441,0.7559,0.8224,0.5135,0.8420,0.7630,0.9690
3,0.4746,0.4265,0.8349,0.001885,0.7247,0.8921,0.7883,0.8755,0.6937,0.9086,0.8294,0.8450
4,0.4747,0.4942,0.8193,0.001872,0.5813,0.8901,0.7863,0.8750,0.4189,0.9802,0.8720,0.8682
5,0.4488,0.4664,0.8084,0.001855,0.7241,0.8696,0.7457,0.8482,0.6622,0.8395,0.9242,0.7907
6,0.4035,0.3821,0.8513,0.001835,0.7434,0.9052,0.8010,0.8914,0.6982,0.9309,0.7915,0.9070
7,0.4034,0.4364,0.8266,0.001811,0.7208,0.8915,0.7540,0.8513,0.6396,0.9235,0.6682,0.9651
8,0.4008,0.3911,0.8422,0.001784,0.7647,0.9013,0.7603,0.8693,0.7613,0.9136,0.6540,0.9535
9,0.3910,0.4683,0.8212,0.001754,0.7423,0.8731,0.7216,0.8628,0.7072,0.9852,0.6019,0.8411
10,0.4012,0.3740,0.8440,0.001720,0.7506,0.9001,0.7606,0.8923,0.7523,0.9457,0.6777,0.8992
11,0.3665,0.3897,0.8412,0.001683,0.7351,0.8929,0.7879,0.8816,0.6937,0.9778,0.7393,0.8372
12,0.3745,0.3857,0.8568,0.001644,0.7764,0.9141,0.7907,0.8884,0.8288,0.9457,0.7251,0.8488
13,0.3610,0.4585,0.8203,0.001602,0.7235,0.8754,0.7303,0.8687,0.7072,0.9802,0.6161,0.8333
14,0.3748,0.4619,0.8175,0.001557,0.7234,0.8773,0.7538,0.8397,0.6892,0.9802,0.6967,0.7713
15,0.3967,0.3842,0.8485,0.001510,0.7659,0.9008,0.7680,0.8946,0.7883,0.9531,0.6825,0.8721
16,0.3556,0.3946,0.8330,0.001460,0.6950,0.8782,0.7885,0.8864,0.5901,0.9704,0.7156,0.9225
17,0.3344,0.3632,0.8504,0.001409,0.7402,0.9093,0.7972,0.8840,0.6802,0.9654,0.8009,0.8566
18,0.3283,0.3554,0.8586,0.001356,0.7753,0.9056,0.8177,0.8893,0.7928,0.9235,0.7867,0.8721
19,0.3397,0.3570,0.8540,0.001301,0.7512,0.9037,0.7824,0.9094,0.7207,0.9728,0.7156,0.8953
20,0.3506,0.3533,0.8495,0.001245,0.7518,0.8992,0.7928,0.8872,0.7027,0.9580,0.7346,0.8992
21,0.3225,0.3874,0.8458,0.001187,0.7735,0.9051,0.7800,0.8755,0.8694,0.9062,0.7393,0.8178
22,0.3186,0.3985,0.8440,0.001129,0.7674,0.9067,0.7824,0.8661,0.8694,0.9235,0.7156,0.8023
23,0.3376,0.3585,0.8668,0.001070,0.7982,0.9265,0.7891,0.8916,0.8198,0.9654,0.7536,0.8450
24,0.2991,0.3418,0.8714,0.001010,0.7981,0.9256,0.8047,0.9019,0.7658,0.9210,0.8199,0.9264
25,0.2944,0.3536,0.8577,0.000951,0.7642,0.9108,0.7980,0.8929,0.7297,0.9704,0.7583,0.8721
26,0.2973,0.3607,0.8458,0.000891,0.7678,0.8991,0.7569,0.8806,0.7297,0.9679,0.6493,0.9147
27,0.2835,0.3533,0.8568,0.000832,0.7947,0.9082,0.7535,0.8977,0.8108,0.9531,0.6445,0.9186
28,0.2918,0.3328,0.8686,0.000773,0.8074,0.9192,0.7980,0.8909,0.7838,0.9407,0.7393,0.9341
29,0.2688,0.3583,0.8613,0.000714,0.7837,0.9179,0.7975,0.8966,0.7342,0.9111,0.9052,0.8566
30,0.2808,0.3304,0.8704,0.000657,0.8078,0.9214,0.8010,0.8996,0.8423,0.9259,0.7536,0.9031
31,0.2662,0.3331,0.8604,0.000601,0.7714,0.9108,0.8069,0.8915,0.7297,0.9580,0.7725,0.8915
32,0.2628,0.3325,0.8650,0.000546,0.7919,0.9152,0.8031,0.8936,0.7973,0.9457,0.7441,0.8953
33,0.2604,0.3359,0.8586,0.000493,0.7828,0.9141,0.7909,0.8859,0.7793,0.9333,0.7441,0.9031
34,0.2644,0.3301,0.8768,0.000441,0.8103,0.9231,0.8224,0.9030,0.7793,0.9481,0.8341,0.8837
35,0.2473,0.3328,0.8714,0.000392,0.8069,0.9250,0.8058,0.8982,0.8378,0.9284,0.7962,0.8721
36,0.2659,0.3395,0.8668,0.000345,0.8017,0.9201,0.7949,0.8955,0.8378,0.9383,0.7441,0.8798
