epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8041,0.5156,0.7984,0.000559,0.6560,0.8618,0.7253,0.8434,0.5541,0.9160,0.6445,0.9496
2,0.4970,0.5282,0.7911,0.000557,0.5810,0.8571,0.7436,0.8639,0.4279,0.8963,0.9005,0.8488
3,0.5216,0.4810,0.8139,0.000555,0.7093,0.8734,0.7446,0.8863,0.8739,0.8173,0.6493,0.8915
4,0.4767,0.4764,0.8139,0.000551,0.6918,0.8717,0.7500,0.8606,0.6622,0.9728,0.6540,0.8256
5,0.4262,0.4388,0.8339,0.000546,0.7290,0.8834,0.7444,0.8983,0.7027,0.9630,0.6351,0.9070
6,0.4463,0.4019,0.8467,0.000540,0.7482,0.8994,0.7970,0.8795,0.7162,0.9605,0.7630,0.8488
7,0.3990,0.3926,0.8604,0.000533,0.7797,0.9120,0.8068,0.8933,0.7973,0.9210,0.7915,0.8760
8,0.3728,0.4015,0.8467,0.000525,0.7534,0.8994,0.7606,0.9030,0.7568,0.9605,0.6777,0.8837
9,0.4255,0.4285,0.8385,0.000516,0.7662,0.8816,0.7780,0.8857,0.7973,0.8272,0.7725,0.9457
10,0.4026,0.3847,0.8485,0.000506,0.7573,0.9019,0.7921,0.8950,0.8153,0.8963,0.7583,0.8760
11,0.3612,0.3890,0.8422,0.000495,0.7521,0.9073,0.7724,0.8745,0.8063,0.9309,0.7156,0.8372
12,0.3700,0.3889,0.8540,0.000484,0.7696,0.9106,0.8049,0.8778,0.7973,0.9432,0.7820,0.8217
13,0.3856,0.3951,0.8476,0.000471,0.7650,0.9003,0.7443,0.8968,0.7477,0.9704,0.6209,0.9264
14,0.3491,0.4005,0.8303,0.000458,0.7028,0.8797,0.7586,0.8906,0.6126,0.9753,0.6777,0.9147
15,0.3608,0.3512,0.8595,0.000444,0.7561,0.9121,0.8039,0.8992,0.6982,0.9605,0.7867,0.8992
16,0.3445,0.3826,0.8458,0.000430,0.7569,0.8879,0.7980,0.8808,0.6802,0.9778,0.7678,0.8450
17,0.3363,0.3485,0.8586,0.000415,0.7581,0.9154,0.7946,0.9008,0.6847,0.9481,0.8436,0.8798
18,0.3273,0.4046,0.8376,0.000399,0.7573,0.8911,0.7283,0.8835,0.7027,0.9802,0.6161,0.9109
19,0.3208,0.3715,0.8431,0.000383,0.7651,0.9076,0.7534,0.8762,0.8288,0.9333,0.6588,0.8643
20,0.3258,0.3571,0.8513,0.000366,0.7513,0.9085,0.7792,0.8857,0.6532,0.9556,0.7441,0.9457
21,0.3257,0.3431,0.8613,0.000349,0.7805,0.9127,0.7900,0.8951,0.7207,0.9556,0.7488,0.9264
22,0.3406,0.3840,0.8485,0.000332,0.7631,0.8914,0.7910,0.8871,0.6892,0.9827,0.7536,0.8527
23,0.3284,0.3459,0.8686,0.000315,0.8018,0.9238,0.7917,0.8963,0.8198,0.9284,0.7204,0.9380
24,0.2987,0.3521,0.8622,0.000297,0.7681,0.9200,0.7982,0.8976,0.6937,0.9506,0.8436,0.8837
25,0.3122,0.3446,0.8714,0.000280,0.7981,0.9178,0.8101,0.9105,0.7658,0.9235,0.8389,0.9070
26,0.3242,0.3445,0.8668,0.000262,0.8053,0.9211,0.7751,0.8966,0.8198,0.9654,0.6777,0.9070
27,0.2790,0.3256,0.8723,0.000245,0.7927,0.9254,0.8088,0.9040,0.7838,0.9654,0.7820,0.8760
28,0.2827,0.3314,0.8650,0.000227,0.7841,0.9234,0.7846,0.9023,0.8018,0.9531,0.7251,0.8953
29,0.2823,0.3252,0.8695,0.000210,0.8009,0.9258,0.8009,0.8943,0.7973,0.9556,0.8009,0.8527
30,0.2780,0.3334,0.8668,0.000193,0.7834,0.9172,0.8127,0.8980,0.7658,0.9704,0.7915,0.8527
31,0.2850,0.3666,0.8522,0.000177,0.7597,0.9060,0.8040,0.9032,0.8829,0.8691,0.7678,0.8682
32,0.2660,0.3432,0.8631,0.000161,0.7863,0.9167,0.7949,0.9077,0.8784,0.8963,0.7441,0.8953
33,0.2644,0.3297,0.8686,0.000145,0.7885,0.9209,0.8040,0.9051,0.8063,0.9481,0.7583,0.8876
34,0.2556,0.3185,0.8796,0.000130,0.8089,0.9288,0.8166,0.9127,0.8198,0.9506,0.7915,0.8915
35,0.2530,0.3323,0.8732,0.000115,0.7945,0.9202,0.8041,0.9144,0.7748,0.9679,0.7488,0.9109
36,0.2650,0.3450,0.8668,0.000101,0.7957,0.9200,0.7970,0.8992,0.8333,0.9506,0.7441,0.8643
37,0.2683,0.3350,0.8668,0.000088,0.7911,0.9194,0.7930,0.9054,0.8018,0.9580,0.7536,0.8721
38,0.2567,0.3153,0.8786,0.000076,0.8065,0.9255,0.8155,0.9144,0.7883,0.9506,0.7962,0.9109
39,0.2488,0.3414,0.8604,0.000064,0.7942,0.9227,0.7732,0.8898,0.8604,0.9284,0.7109,0.8760
40,0.2462,0.3244,0.8759,0.000053,0.8088,0.9261,0.8088,0.9087,0.8288,0.9432,0.7820,0.8876
41,0.2544,0.3253,0.8714,0.000044,0.8009,0.9275,0.7900,0.9058,0.8153,0.9630,0.7488,0.8760
42,0.2463,0.3288,0.8732,0.000035,0.8009,0.9251,0.7980,0.9105,0.8243,0.9605,0.7393,0.8876
43,0.2232,0.3207,0.8714,0.000027,0.8000,0.9235,0.7931,0.9123,0.8108,0.9383,0.7630,0.9070
44,0.2377,0.3203,0.8750,0.000020,0.8071,0.9274,0.8039,0.9084,0.8198,0.9457,0.7867,0.8837
45,0.2391,0.3270,0.8668,0.000014,0.7930,0.9234,0.7960,0.8960,0.8108,0.9531,0.7583,0.8682
46,0.2275,0.3357,0.8732,0.000009,0.8077,0.9305,0.8000,0.8970,0.8514,0.9580,0.7488,0.8605
47,0.2299,0.3290,0.8704,0.000005,0.8017,0.9198,0.7959,0.9091,0.8288,0.9481,0.7393,0.8915
48,0.2113,0.3302,0.8704,0.000002,0.8018,0.9276,0.7899,0.9000,0.8198,0.9654,0.7393,0.8721
49,0.2277,0.3224,0.8704,0.000001,0.8018,0.9212,0.7971,0.9051,0.7928,0.9531,0.7725,0.8876
50,0.2305,0.3226,0.8723,0.000000,0.7964,0.9247,0.8068,0.9058,0.8018,0.9556,0.7820,0.8760
