epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8156,0.4878,0.8057,0.000858,0.6493,0.8688,0.7519,0.8706,0.6171,0.9235,0.7109,0.8605
2,0.5182,0.5237,0.7965,0.000855,0.5652,0.8754,0.7500,0.8513,0.4099,0.9630,0.8673,0.8101
3,0.5198,0.4498,0.8203,0.000851,0.7167,0.8784,0.7507,0.8762,0.7748,0.8741,0.6777,0.8915
4,0.4817,0.5168,0.8029,0.000845,0.6948,0.8495,0.7534,0.8406,0.6306,0.9827,0.6588,0.7868
5,0.4302,0.4252,0.8339,0.000837,0.7426,0.8899,0.7318,0.8872,0.7342,0.9481,0.6209,0.9147
6,0.4485,0.4055,0.8349,0.000828,0.6828,0.8904,0.7856,0.8940,0.5721,0.9432,0.8246,0.8992
7,0.4041,0.3891,0.8485,0.000818,0.7579,0.8988,0.7752,0.8901,0.6982,0.9432,0.7109,0.9419
8,0.3979,0.4612,0.8276,0.000805,0.7468,0.8863,0.7236,0.8750,0.7973,0.9531,0.6019,0.8411
9,0.4308,0.4089,0.8531,0.000792,0.7917,0.8978,0.7912,0.8820,0.7703,0.8889,0.7630,0.9419
10,0.4103,0.3946,0.8303,0.000777,0.7571,0.8929,0.7123,0.8800,0.8423,0.9062,0.5924,0.8953
11,0.3645,0.4015,0.8412,0.000760,0.7542,0.9040,0.7886,0.8655,0.8018,0.9185,0.7867,0.7984
12,0.3794,0.3757,0.8476,0.000742,0.7648,0.9062,0.8009,0.8708,0.7838,0.9062,0.8483,0.8101
13,0.3896,0.3929,0.8458,0.000723,0.7714,0.8990,0.7401,0.8897,0.7523,0.9556,0.6209,0.9380
14,0.3453,0.3945,0.8339,0.000703,0.7198,0.8859,0.7602,0.8859,0.6306,0.9679,0.7062,0.9031
15,0.3647,0.3568,0.8558,0.000682,0.7570,0.9049,0.8058,0.8876,0.6667,0.9753,0.7867,0.8876
16,0.3618,0.4016,0.8449,0.000659,0.7550,0.8884,0.7941,0.8811,0.6802,0.9827,0.7678,0.8333
17,0.3407,0.3478,0.8586,0.000636,0.7673,0.9135,0.7885,0.9044,0.6982,0.9383,0.8483,0.8798
18,0.3325,0.3809,0.8485,0.000612,0.7783,0.8980,0.7553,0.8864,0.7117,0.9778,0.6730,0.9070
19,0.3329,0.3792,0.8467,0.000587,0.7657,0.9012,0.7745,0.8876,0.8243,0.9235,0.6919,0.8721
20,0.3358,0.3651,0.8522,0.000562,0.7665,0.9058,0.7822,0.8829,0.6802,0.9383,0.7488,0.9496
21,0.3360,0.3449,0.8677,0.000536,0.8039,0.9152,0.7980,0.8955,0.7477,0.9457,0.7678,0.9302
22,0.3557,0.3715,0.8412,0.000510,0.7568,0.8894,0.7696,0.8810,0.6937,0.9728,0.7204,0.8605
23,0.3397,0.3439,0.8677,0.000483,0.7991,0.9218,0.7870,0.8980,0.7613,0.9457,0.7441,0.9380
24,0.3067,0.3639,0.8604,0.000456,0.7748,0.9135,0.7920,0.9051,0.7207,0.9259,0.8483,0.8876
25,0.3191,0.3428,0.8659,0.000429,0.7973,0.9115,0.8019,0.9049,0.7883,0.9160,0.8057,0.9031
26,0.3292,0.3444,0.8677,0.000402,0.8101,0.9129,0.7805,0.9030,0.7973,0.9580,0.6825,0.9380
27,0.2829,0.3500,0.8568,0.000375,0.7696,0.9116,0.7889,0.8920,0.7523,0.9679,0.7441,0.8643
28,0.2868,0.3455,0.8568,0.000349,0.7821,0.9084,0.7737,0.9027,0.8243,0.9309,0.6967,0.8992
29,0.2898,0.3414,0.8568,0.000322,0.7727,0.9129,0.7981,0.8839,0.7658,0.9580,0.7773,0.8411
30,0.2844,0.3377,0.8650,0.000297,0.7840,0.9152,0.8029,0.8988,0.7523,0.9728,0.7820,0.8605
31,0.2964,0.3763,0.8495,0.000271,0.7734,0.8956,0.7980,0.8976,0.8919,0.8469,0.7678,0.8837
32,0.2687,0.3450,0.8686,0.000246,0.8090,0.9172,0.7897,0.9091,0.8874,0.9160,0.7299,0.8915
33,0.2719,0.3498,0.8586,0.000222,0.7811,0.9097,0.7745,0.9073,0.8198,0.9333,0.6919,0.9109
34,0.2609,0.3289,0.8768,0.000199,0.8095,0.9268,0.8060,0.9123,0.8423,0.9383,0.7583,0.9070
35,0.2545,0.3385,0.8622,0.000177,0.7848,0.9108,0.7969,0.8990,0.7883,0.9580,0.7346,0.8798
36,0.2607,0.3682,0.8586,0.000156,0.7991,0.9127,0.7766,0.8840,0.8423,0.9556,0.6919,0.8566
37,0.2761,0.3630,0.8704,0.000135,0.8174,0.9196,0.7884,0.8976,0.8468,0.9605,0.7062,0.8837
38,0.2614,0.3228,0.8805,0.000116,0.8148,0.9236,0.8269,0.9091,0.7928,0.9556,0.8152,0.8915
39,0.2586,0.3508,0.8686,0.000099,0.8075,0.9206,0.7927,0.8998,0.8694,0.9309,0.7251,0.8876
40,0.2560,0.3319,0.8732,0.000082,0.8009,0.9229,0.8069,0.9102,0.8243,0.9457,0.7725,0.8837
41,0.2571,0.3299,0.8759,0.000067,0.8140,0.9200,0.8041,0.9137,0.8378,0.9506,0.7393,0.9031
42,0.2474,0.3449,0.8714,0.000053,0.8094,0.9211,0.7979,0.9016,0.8514,0.9506,0.7204,0.8876
43,0.2365,0.3295,0.8677,0.000041,0.8053,0.9240,0.7820,0.9000,0.8288,0.9309,0.7393,0.9070
44,0.2437,0.3219,0.8759,0.000030,0.8186,0.9235,0.8058,0.9069,0.8333,0.9383,0.7867,0.8876
45,0.2354,0.3339,0.8750,0.000021,0.8070,0.9253,0.8100,0.9051,0.8288,0.9481,0.7678,0.8876
46,0.2223,0.3410,0.8723,0.000013,0.8137,0.9238,0.8020,0.8978,0.8559,0.9432,0.7583,0.8682
47,0.2364,0.3372,0.8714,0.000008,0.8105,0.9223,0.7959,0.8998,0.8378,0.9531,0.7299,0.8876
48,0.2056,0.3360,0.8750,0.000003,0.8225,0.9222,0.8010,0.8994,0.8243,0.9654,0.7441,0.8837
49,0.2231,0.3280,0.8777,0.000001,0.8161,0.9244,0.8148,0.9055,0.8198,0.9506,0.7820,0.8915
50,0.2433,0.3305,0.8714,0.000000,0.8124,0.9194,0.8059,0.8982,0.8288,0.9432,0.7773,0.8721
