epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.9048,0.6025,0.7655,0.000417,0.7098,0.8010,0.6954,0.8039,0.6667,0.7556,0.6493,0.9612
2,0.6103,0.5086,0.8120,0.000416,0.7553,0.8575,0.7463,0.8417,0.6396,0.8691,0.8436,0.8450
3,0.5725,0.5104,0.8029,0.000414,0.7520,0.8497,0.7030,0.8308,0.6486,0.8864,0.6114,0.9612
4,0.5519,0.4465,0.8294,0.000411,0.7482,0.8623,0.7807,0.8820,0.7162,0.8889,0.7678,0.8837
5,0.5233,0.4677,0.8193,0.000407,0.6947,0.8649,0.7679,0.8757,0.5586,0.9086,0.8389,0.8876
6,0.4976,0.4276,0.8230,0.000403,0.7463,0.8622,0.7696,0.8638,0.6757,0.8963,0.7915,0.8605
7,0.5111,0.4279,0.8476,0.000398,0.7960,0.8826,0.7899,0.8725,0.7117,0.9185,0.7393,0.9419
8,0.4837,0.4237,0.8458,0.000392,0.7848,0.8796,0.7839,0.8822,0.6982,0.9383,0.7393,0.9147
9,0.4832,0.4214,0.8422,0.000385,0.7604,0.8821,0.7806,0.8880,0.6577,0.9235,0.8009,0.9070
10,0.4683,0.4053,0.8476,0.000378,0.7868,0.8804,0.7813,0.8901,0.6982,0.9086,0.7536,0.9574
11,0.4590,0.4107,0.8440,0.000370,0.7789,0.8729,0.7945,0.8844,0.6667,0.8988,0.8152,0.9341
12,0.4697,0.3981,0.8476,0.000361,0.7804,0.8821,0.7840,0.8927,0.6802,0.9333,0.7915,0.9031
13,0.4365,0.3865,0.8495,0.000352,0.7859,0.8836,0.7895,0.8897,0.7027,0.9185,0.7820,0.9225
14,0.4563,0.3900,0.8513,0.000342,0.7728,0.8830,0.8047,0.8945,0.6667,0.9506,0.8104,0.8876
15,0.4407,0.3935,0.8549,0.000331,0.7970,0.8961,0.7871,0.8841,0.7162,0.9259,0.7536,0.9457
