epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7925,0.5650,0.7911,0.000929,0.6981,0.8448,0.6720,0.8438,0.5676,0.9407,0.5924,0.9109
2,0.5834,0.4727,0.8184,0.000926,0.7435,0.8685,0.7429,0.8513,0.6396,0.9136,0.7393,0.8876
3,0.5659,0.4566,0.8339,0.000921,0.7654,0.8740,0.7666,0.8738,0.6982,0.9160,0.7393,0.8992
4,0.5419,0.4535,0.8367,0.000915,0.7653,0.8738,0.7759,0.8771,0.6757,0.9235,0.7630,0.8992
5,0.5307,0.4622,0.8257,0.000907,0.7174,0.8630,0.7728,0.8829,0.5946,0.9333,0.7820,0.8915
6,0.5012,0.4627,0.8175,0.000897,0.7208,0.8618,0.7588,0.8720,0.6396,0.8543,0.8199,0.9109
7,0.5119,0.4266,0.8294,0.000885,0.7670,0.8699,0.7500,0.8710,0.7117,0.9160,0.6967,0.9031
8,0.4783,0.4198,0.8394,0.000872,0.7641,0.8787,0.7721,0.8872,0.6712,0.9210,0.7867,0.8992
9,0.4943,0.4165,0.8458,0.000857,0.7801,0.8834,0.7778,0.8850,0.6712,0.9630,0.7630,0.8798
10,0.4777,0.4120,0.8440,0.000841,0.7799,0.8736,0.7852,0.8922,0.7342,0.8963,0.7536,0.9302
11,0.4594,0.4141,0.8403,0.000823,0.7636,0.8756,0.7714,0.8959,0.6622,0.9037,0.7915,0.9341
12,0.4574,0.4083,0.8431,0.000803,0.7596,0.8907,0.7638,0.8927,0.6261,0.9259,0.8199,0.9186
13,0.4491,0.4108,0.8431,0.000783,0.7647,0.8865,0.7930,0.8730,0.6441,0.9358,0.8626,0.8527
14,0.4359,0.3874,0.8558,0.000761,0.7883,0.8900,0.7961,0.9006,0.7297,0.9185,0.7773,0.9302
15,0.4270,0.3882,0.8613,0.000738,0.7970,0.8913,0.8065,0.9057,0.7072,0.9111,0.8199,0.9496
16,0.4249,0.4002,0.8513,0.000714,0.7668,0.8933,0.7952,0.8857,0.6441,0.9407,0.7820,0.9457
17,0.4176,0.3912,0.8504,0.000689,0.7728,0.8923,0.7886,0.8877,0.6667,0.9309,0.7867,0.9341
18,0.4299,0.3832,0.8659,0.000663,0.8159,0.8954,0.8170,0.8926,0.7387,0.9407,0.7725,0.9341
19,0.4271,0.3732,0.8668,0.000636,0.8100,0.8983,0.8039,0.9071,0.7297,0.9383,0.7773,0.9457
20,0.4126,0.3838,0.8604,0.000608,0.7865,0.8929,0.7951,0.9105,0.6802,0.9679,0.7630,0.9264
21,0.4111,0.3772,0.8577,0.000580,0.7708,0.9000,0.7954,0.9043,0.6667,0.9333,0.8199,0.9341
22,0.3995,0.3718,0.8704,0.000552,0.8111,0.9078,0.8049,0.9052,0.7252,0.9728,0.7820,0.9070
23,0.3959,0.3731,0.8659,0.000523,0.8200,0.9019,0.7960,0.8942,0.7387,0.9531,0.7488,0.9341
24,0.3924,0.3759,0.8540,0.000494,0.7897,0.8939,0.7832,0.8952,0.6937,0.9358,0.7962,0.9109
25,0.4110,0.3732,0.8586,0.000465,0.7970,0.8961,0.7962,0.8934,0.7072,0.9259,0.7867,0.9419
26,0.4067,0.3821,0.8522,0.000436,0.7939,0.8881,0.7916,0.8872,0.7027,0.9210,0.8009,0.9147
