epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8728,0.5654,0.7892,0.000484,0.7150,0.8164,0.7366,0.8421,0.6667,0.7852,0.7156,0.9612
2,0.5978,0.5157,0.7965,0.000483,0.7162,0.8462,0.7325,0.8372,0.6081,0.8494,0.8436,0.8372
3,0.5481,0.4911,0.8212,0.000481,0.7862,0.8565,0.7391,0.8469,0.7207,0.8765,0.6445,0.9651
4,0.5426,0.4427,0.8303,0.000477,0.7724,0.8565,0.7778,0.8767,0.7568,0.8988,0.7299,0.8682
5,0.5165,0.4478,0.8221,0.000473,0.7351,0.8701,0.7660,0.8577,0.6126,0.9012,0.8531,0.8527
6,0.4844,0.4248,0.8312,0.000468,0.7621,0.8744,0.7751,0.8618,0.6712,0.9284,0.8246,0.8217
7,0.4986,0.4039,0.8586,0.000462,0.8088,0.8889,0.7980,0.8946,0.7432,0.9185,0.7678,0.9380
8,0.4831,0.4049,0.8449,0.000455,0.7892,0.8798,0.7792,0.8816,0.7252,0.9037,0.7441,0.9380
9,0.4726,0.4190,0.8412,0.000447,0.7228,0.8858,0.7836,0.8994,0.5991,0.9383,0.8152,0.9186
10,0.4735,0.3987,0.8467,0.000439,0.7772,0.8852,0.7778,0.8885,0.6757,0.9136,0.7630,0.9574
11,0.4420,0.4048,0.8403,0.000429,0.7708,0.8789,0.7739,0.8825,0.6667,0.8963,0.7867,0.9457
12,0.4796,0.3767,0.8558,0.000419,0.7846,0.8824,0.8000,0.9119,0.6892,0.9259,0.8152,0.9225
13,0.4341,0.3748,0.8595,0.000408,0.8038,0.8931,0.8010,0.8952,0.7658,0.9284,0.7630,0.9109
14,0.4501,0.3795,0.8522,0.000397,0.7970,0.8871,0.7991,0.8840,0.7072,0.9309,0.8483,0.8566
15,0.4293,0.3815,0.8495,0.000385,0.7908,0.8875,0.7797,0.8857,0.6982,0.9062,0.7630,0.9612
16,0.4159,0.3762,0.8631,0.000372,0.7938,0.8977,0.8072,0.9070,0.6937,0.9210,0.8531,0.9264
17,0.4234,0.3875,0.8668,0.000359,0.8117,0.9008,0.8029,0.9047,0.7477,0.9309,0.7820,0.9380
18,0.4274,0.3699,0.8677,0.000346,0.7960,0.8969,0.8205,0.9135,0.7117,0.9235,0.8341,0.9419
19,0.4076,0.3635,0.8677,0.000332,0.8041,0.8998,0.8160,0.9050,0.7117,0.9309,0.8199,0.9419
20,0.3872,0.3739,0.8595,0.000317,0.8108,0.8908,0.7943,0.8995,0.7432,0.8963,0.7962,0.9535
21,0.4024,0.3663,0.8577,0.000303,0.8049,0.8894,0.7942,0.8976,0.7432,0.9136,0.7773,0.9341
22,0.3900,0.3666,0.8595,0.000288,0.7899,0.8940,0.8000,0.9027,0.7027,0.9580,0.7867,0.8992
23,0.4029,0.3650,0.8668,0.000273,0.8276,0.8970,0.8000,0.9004,0.8108,0.9358,0.7393,0.9109
24,0.3904,0.3573,0.8650,0.000258,0.8258,0.8959,0.8039,0.8942,0.7793,0.9136,0.7773,0.9341
25,0.3751,0.3625,0.8595,0.000242,0.8128,0.8942,0.7905,0.8952,0.7432,0.9284,0.7867,0.9109
26,0.3815,0.3668,0.8641,0.000227,0.8060,0.8982,0.8049,0.8990,0.7297,0.9481,0.7820,0.9147
27,0.3835,0.3672,0.8622,0.000212,0.7928,0.9046,0.8009,0.8943,0.6982,0.9481,0.8009,0.9186
28,0.3700,0.3549,0.8686,0.000197,0.8168,0.9052,0.8106,0.8956,0.7432,0.9432,0.8009,0.9147
29,0.3759,0.3581,0.8704,0.000182,0.8189,0.9046,0.8108,0.9006,0.7432,0.9481,0.7820,0.9302
30,0.3498,0.3494,0.8714,0.000168,0.8266,0.9023,0.8068,0.9081,0.7838,0.9235,0.7820,0.9380
31,0.3635,0.3514,0.8714,0.000153,0.8146,0.9053,0.8088,0.9094,0.7523,0.9556,0.7820,0.9147
32,0.3668,0.3522,0.8604,0.000139,0.8107,0.8910,0.8000,0.8980,0.7523,0.9086,0.7867,0.9380
33,0.3507,0.3486,0.8750,0.000126,0.8215,0.9048,0.8230,0.9105,0.7568,0.9383,0.8152,0.9264
