epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.9384,0.5782,0.7874,0.000327,0.7084,0.8254,0.7169,0.8481,0.6622,0.7877,0.7441,0.9302
2,0.6355,0.5224,0.7947,0.000326,0.7363,0.8456,0.7224,0.8270,0.6351,0.8519,0.8389,0.8062
3,0.5644,0.4786,0.8212,0.000325,0.7651,0.8457,0.7558,0.8725,0.7117,0.8864,0.6967,0.9147
4,0.5458,0.4532,0.8239,0.000322,0.7650,0.8475,0.7883,0.8638,0.7477,0.8716,0.7678,0.8605
5,0.5407,0.4437,0.8358,0.000320,0.7399,0.8723,0.7815,0.8923,0.6216,0.9111,0.8389,0.8992
6,0.5183,0.4484,0.8239,0.000316,0.7593,0.8621,0.7840,0.8471,0.6892,0.9111,0.8341,0.7946
7,0.5097,0.4164,0.8376,0.000312,0.7766,0.8721,0.7933,0.8627,0.6892,0.9259,0.7915,0.8643
8,0.5126,0.4283,0.8558,0.000307,0.8116,0.8799,0.8155,0.8838,0.7568,0.9136,0.7962,0.8992
9,0.4877,0.4269,0.8349,0.000302,0.7747,0.8667,0.7892,0.8687,0.6892,0.8914,0.8341,0.8721
10,0.4851,0.4086,0.8467,0.000296,0.7826,0.8771,0.7905,0.8897,0.6892,0.9160,0.7867,0.9225
11,0.4613,0.4110,0.8495,0.000290,0.7656,0.8823,0.8062,0.8958,0.6622,0.9160,0.8578,0.8992
12,0.4666,0.3969,0.8458,0.000283,0.7813,0.8757,0.7872,0.8941,0.6757,0.9309,0.8152,0.8837
13,0.4706,0.3973,0.8540,0.000276,0.8068,0.8813,0.8000,0.8927,0.7432,0.8889,0.8246,0.9186
14,0.4772,0.4043,0.8467,0.000268,0.7647,0.8828,0.8044,0.8835,0.6441,0.9481,0.8578,0.8527
15,0.4469,0.3826,0.8549,0.000260,0.7781,0.8884,0.8148,0.8936,0.7027,0.9235,0.8341,0.8953
16,0.4628,0.3884,0.8513,0.000252,0.7704,0.8873,0.8071,0.8932,0.6802,0.9136,0.8626,0.8915
17,0.4321,0.3910,0.8650,0.000243,0.7952,0.8932,0.8314,0.9051,0.7523,0.9185,0.8531,0.8876
18,0.4528,0.3783,0.8695,0.000234,0.8029,0.8931,0.8274,0.9186,0.7432,0.9284,0.8294,0.9186
19,0.4350,0.3777,0.8604,0.000224,0.8040,0.8892,0.8076,0.8998,0.7297,0.9210,0.8057,0.9225
20,0.4161,0.3777,0.8595,0.000214,0.7990,0.8846,0.8197,0.8998,0.7432,0.8988,0.8294,0.9225
21,0.4259,0.3698,0.8641,0.000205,0.8048,0.8902,0.8127,0.9094,0.7523,0.9309,0.7915,0.9147
22,0.4230,0.3689,0.8659,0.000194,0.7889,0.8985,0.8178,0.9116,0.7072,0.9506,0.8294,0.8992
23,0.4254,0.3685,0.8759,0.000184,0.8294,0.8949,0.8293,0.9201,0.7883,0.9358,0.8057,0.9147
24,0.3941,0.3685,0.8604,0.000174,0.7910,0.8873,0.8188,0.9073,0.7162,0.9037,0.8673,0.9109
25,0.4085,0.3748,0.8604,0.000164,0.8020,0.8934,0.8109,0.8941,0.7207,0.9309,0.8436,0.8837
26,0.3921,0.3689,0.8613,0.000154,0.7990,0.8998,0.8056,0.8929,0.7162,0.9531,0.8246,0.8721
27,0.3939,0.3714,0.8586,0.000143,0.7835,0.8944,0.8081,0.8996,0.6847,0.9309,0.8483,0.9031
28,0.4101,0.3620,0.8641,0.000133,0.7931,0.8966,0.8230,0.9017,0.7252,0.9210,0.8483,0.9070
29,0.3831,0.3618,0.8631,0.000123,0.7980,0.8978,0.8157,0.8982,0.7297,0.9432,0.8389,0.8721
30,0.3724,0.3580,0.8622,0.000113,0.8073,0.8910,0.8221,0.8949,0.7928,0.9086,0.8104,0.8915
31,0.3976,0.3590,0.8622,0.000104,0.7940,0.8959,0.8112,0.9030,0.7207,0.9457,0.8246,0.8837
32,0.3979,0.3600,0.8613,0.000094,0.8029,0.8913,0.8131,0.8998,0.7523,0.9012,0.8246,0.9225
33,0.3806,0.3585,0.8622,0.000085,0.7971,0.8955,0.8093,0.9041,0.7342,0.9309,0.8246,0.8953
34,0.3927,0.3581,0.8641,0.000076,0.8000,0.8984,0.8157,0.8992,0.7297,0.9284,0.8389,0.8992
35,0.3912,0.3570,0.8686,0.000068,0.8020,0.9039,0.8194,0.9055,0.7387,0.9407,0.8389,0.8915
36,0.3854,0.3571,0.8613,0.000059,0.7960,0.8910,0.8167,0.9008,0.7207,0.9185,0.8341,0.9147
37,0.3789,0.3573,0.8659,0.000052,0.8030,0.8947,0.8178,0.9080,0.7342,0.9235,0.8294,0.9186
38,0.3742,0.3542,0.8659,0.000044,0.8060,0.8999,0.8122,0.9000,0.7207,0.9432,0.8199,0.9070
39,0.3693,0.3691,0.8540,0.000038,0.7952,0.8949,0.7909,0.8902,0.7432,0.9037,0.8246,0.8953
40,0.3837,0.3578,0.8686,0.000031,0.8143,0.8953,0.8244,0.9040,0.7703,0.9185,0.8009,0.9302
41,0.3726,0.3543,0.8704,0.000025,0.8117,0.8996,0.8238,0.9070,0.7477,0.9407,0.8199,0.9070
42,0.3774,0.3506,0.8723,0.000020,0.8098,0.9031,0.8219,0.9126,0.7477,0.9432,0.8199,0.9109
43,0.3697,0.3579,0.8677,0.000016,0.8100,0.9061,0.8138,0.8953,0.7297,0.9407,0.8389,0.8953
