epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.9245,0.5798,0.7664,0.000354,0.6683,0.8190,0.6786,0.8202,0.6081,0.8099,0.6303,0.9457
2,0.6112,0.5256,0.7901,0.000353,0.7117,0.8474,0.7258,0.8191,0.6171,0.8568,0.8341,0.7984
3,0.5695,0.5109,0.8038,0.000351,0.7411,0.8451,0.7219,0.8393,0.6577,0.8691,0.6398,0.9612
4,0.5483,0.4549,0.8230,0.000349,0.7630,0.8592,0.7487,0.8674,0.7252,0.9037,0.6919,0.8876
5,0.5334,0.4741,0.8184,0.000346,0.6952,0.8677,0.7655,0.8653,0.5495,0.9235,0.8199,0.8837
6,0.5138,0.4452,0.8349,0.000342,0.7532,0.8756,0.7699,0.8840,0.6532,0.9383,0.8009,0.8566
7,0.4959,0.4153,0.8449,0.000337,0.7841,0.8796,0.7861,0.8796,0.7117,0.9111,0.7488,0.9341
8,0.5087,0.4425,0.8367,0.000332,0.7664,0.8714,0.7760,0.8723,0.6577,0.9457,0.7062,0.9264
9,0.4887,0.4287,0.8358,0.000327,0.7500,0.8767,0.7703,0.8838,0.6351,0.9309,0.7867,0.8992
10,0.4842,0.4057,0.8476,0.000320,0.7744,0.8806,0.7893,0.8935,0.6802,0.9383,0.7725,0.9109
11,0.4649,0.4191,0.8339,0.000314,0.7541,0.8725,0.7908,0.8623,0.6216,0.9037,0.8152,0.9225
12,0.4745,0.4081,0.8485,0.000306,0.7713,0.8830,0.7934,0.8919,0.6532,0.9506,0.8009,0.8953
13,0.4631,0.3857,0.8449,0.000298,0.7761,0.8836,0.7786,0.8864,0.7027,0.9185,0.7583,0.9225
14,0.4603,0.3956,0.8513,0.000290,0.7601,0.8917,0.7954,0.8958,0.6351,0.9556,0.8199,0.8992
15,0.4534,0.3863,0.8568,0.000281,0.7660,0.8959,0.8028,0.9009,0.6486,0.9457,0.8104,0.9341
16,0.4442,0.3880,0.8558,0.000272,0.7725,0.8910,0.8074,0.8981,0.6577,0.9383,0.8246,0.9225
17,0.4415,0.3810,0.8650,0.000262,0.8060,0.8970,0.8010,0.9084,0.7297,0.9457,0.7820,0.9225
