epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.1451,0.9094,0.7016,0.000101,0.5835,0.7846,0.5598,0.7652,0.6216,0.8543,0.4550,0.7326
2,0.8876,0.7488,0.7263,0.000101,0.6242,0.7986,0.5851,0.7946,0.6847,0.8370,0.4645,0.8023
3,0.7732,0.6911,0.7299,0.000100,0.6010,0.8103,0.5511,0.7938,0.5360,0.8963,0.4218,0.8876
4,0.7451,0.6597,0.7482,0.000099,0.6321,0.8187,0.6113,0.8015,0.5766,0.9309,0.4882,0.8217
5,0.7381,0.6597,0.7445,0.000098,0.6357,0.8167,0.6785,0.7585,0.5541,0.9185,0.7251,0.6512
6,0.7273,0.6235,0.7564,0.000097,0.6508,0.8234,0.6343,0.8214,0.6757,0.8519,0.5261,0.8643
7,0.7093,0.6840,0.7235,0.000096,0.6667,0.7826,0.5696,0.7714,0.7117,0.7333,0.4265,0.9612
8,0.7284,0.6129,0.7546,0.000095,0.6512,0.8159,0.6497,0.8202,0.6937,0.8370,0.5450,0.8488
9,0.7031,0.5993,0.7646,0.000093,0.6575,0.8228,0.6823,0.8204,0.6486,0.8543,0.6209,0.8411
10,0.7035,0.6063,0.7619,0.000091,0.5989,0.8242,0.7028,0.8138,0.4775,0.9086,0.7062,0.8217
11,0.6898,0.6218,0.7482,0.000089,0.6811,0.7866,0.6733,0.8141,0.7793,0.7235,0.6398,0.8488
12,0.7127,0.5846,0.7673,0.000087,0.6286,0.8279,0.7139,0.8094,0.5450,0.9086,0.6919,0.7984
13,0.6695,0.5929,0.7619,0.000085,0.6489,0.8270,0.6818,0.8052,0.6036,0.8617,0.6398,0.8411
14,0.6871,0.5892,0.7673,0.000083,0.6682,0.8244,0.6944,0.8210,0.6757,0.8346,0.6730,0.8178
15,0.6859,0.5997,0.7619,0.000080,0.6146,0.8295,0.6963,0.8000,0.5135,0.9432,0.6682,0.7674
16,0.6835,0.5841,0.7692,0.000077,0.6637,0.8196,0.7103,0.8270,0.6802,0.8469,0.6682,0.8062
17,0.6803,0.5985,0.7682,0.000075,0.6708,0.8131,0.7075,0.8449,0.7342,0.7951,0.7109,0.8023
18,0.6793,0.5793,0.7737,0.000072,0.6681,0.8242,0.6908,0.8415,0.6937,0.8568,0.5877,0.8643
19,0.6588,0.5843,0.7664,0.000069,0.6577,0.8138,0.7074,0.8281,0.6622,0.8148,0.6588,0.8682
20,0.6721,0.5799,0.7774,0.000066,0.6757,0.8362,0.7103,0.8195,0.6712,0.8889,0.6682,0.7829
21,0.6582,0.5698,0.7710,0.000063,0.6442,0.8357,0.6950,0.8244,0.6036,0.8790,0.6588,0.8372
22,0.6613,0.5796,0.7619,0.000060,0.6506,0.8256,0.6984,0.8025,0.6081,0.8765,0.7299,0.7403
23,0.6768,0.5785,0.7737,0.000057,0.6506,0.8339,0.7146,0.8247,0.6081,0.8864,0.7299,0.7752
24,0.6709,0.5661,0.7755,0.000054,0.6537,0.8370,0.6880,0.8303,0.6036,0.8938,0.6114,0.8721
25,0.6584,0.5697,0.7792,0.000050,0.6682,0.8285,0.7192,0.8427,0.6667,0.8469,0.6919,0.8411
26,0.6624,0.5760,0.7746,0.000047,0.6390,0.8330,0.6959,0.8271,0.5541,0.9358,0.6019,0.8527
27,0.6544,0.5592,0.7819,0.000044,0.6729,0.8427,0.7089,0.8279,0.6486,0.8864,0.6635,0.8295
28,0.6663,0.5798,0.7692,0.000041,0.6530,0.8305,0.6966,0.8197,0.6441,0.8469,0.6256,0.8721
