epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.0450,0.7583,0.7290,0.000240,0.6237,0.7976,0.5917,0.7978,0.6532,0.8370,0.4739,0.8333
2,0.8357,0.6655,0.7546,0.000240,0.6565,0.8111,0.6560,0.8213,0.6802,0.8321,0.5829,0.8372
3,0.7616,0.6730,0.7263,0.000239,0.6229,0.8083,0.5263,0.7789,0.5766,0.8691,0.3791,0.9147
4,0.7418,0.6394,0.7427,0.000237,0.6227,0.8078,0.5846,0.8078,0.5315,0.9235,0.4502,0.8798
5,0.7421,0.6096,0.7719,0.000235,0.6278,0.8390,0.7067,0.8160,0.5090,0.9136,0.7536,0.7907
6,0.7268,0.6366,0.7509,0.000232,0.6626,0.8052,0.6382,0.8211,0.7297,0.7605,0.5308,0.9341
7,0.7113,0.6924,0.7172,0.000229,0.6721,0.7471,0.6378,0.7654,0.7432,0.6420,0.5592,0.9419
8,0.7435,0.6107,0.7582,0.000226,0.6620,0.8254,0.6291,0.8075,0.6441,0.8519,0.5024,0.9186
9,0.6979,0.5986,0.7628,0.000222,0.6667,0.8222,0.6802,0.8219,0.7162,0.8222,0.6351,0.8140
10,0.7045,0.6251,0.7509,0.000218,0.5538,0.8229,0.6958,0.7984,0.4054,0.9235,0.7536,0.7752
11,0.6965,0.6048,0.7646,0.000213,0.6948,0.8052,0.6842,0.8270,0.7793,0.7605,0.6161,0.8798
12,0.7122,0.5781,0.7719,0.000208,0.6301,0.8343,0.7217,0.8062,0.5180,0.9136,0.7251,0.8062
13,0.6712,0.5800,0.7637,0.000203,0.6327,0.8288,0.6891,0.8061,0.5586,0.9086,0.6303,0.8217
14,0.6824,0.5801,0.7692,0.000197,0.6681,0.8268,0.6961,0.8204,0.6892,0.8370,0.6351,0.8411
15,0.6788,0.6002,0.7673,0.000191,0.6175,0.8337,0.7130,0.8042,0.5090,0.9407,0.7299,0.7481
16,0.6842,0.5739,0.7783,0.000185,0.6585,0.8409,0.7065,0.8201,0.6081,0.9136,0.6445,0.8217
17,0.6700,0.5945,0.7637,0.000178,0.6738,0.8193,0.7133,0.8051,0.7117,0.8173,0.7488,0.7364
18,0.6651,0.5755,0.7692,0.000172,0.6738,0.8162,0.7047,0.8297,0.7117,0.8444,0.6445,0.8023
19,0.6447,0.5722,0.7673,0.000165,0.6494,0.8253,0.6933,0.8265,0.6216,0.8222,0.6588,0.8953
20,0.6643,0.5807,0.7719,0.000158,0.6862,0.8277,0.7042,0.8084,0.6847,0.8840,0.6825,0.7442
21,0.6478,0.5636,0.7719,0.000150,0.6537,0.8366,0.6790,0.8226,0.6036,0.9037,0.6066,0.8450
22,0.6429,0.5698,0.7655,0.000143,0.6400,0.8339,0.7033,0.8067,0.5766,0.8864,0.7583,0.7442
23,0.6614,0.5758,0.7701,0.000135,0.6398,0.8362,0.7111,0.8140,0.5721,0.8889,0.7583,0.7636
24,0.6609,0.5637,0.7774,0.000128,0.6532,0.8401,0.6798,0.8282,0.5811,0.9210,0.5735,0.8876
25,0.6427,0.5628,0.7828,0.000120,0.6773,0.8412,0.7174,0.8308,0.6712,0.8568,0.6919,0.8372
26,0.6470,0.5802,0.7755,0.000113,0.6378,0.8377,0.6835,0.8244,0.5315,0.9556,0.5782,0.8643
27,0.6411,0.5505,0.7828,0.000105,0.6838,0.8386,0.7165,0.8217,0.6577,0.8914,0.6588,0.8217
28,0.6449,0.5735,0.7765,0.000098,0.6728,0.8476,0.6648,0.8214,0.6622,0.8790,0.5592,0.8915
29,0.6385,0.5615,0.7765,0.000090,0.6366,0.8400,0.7185,0.8209,0.5405,0.9136,0.7441,0.7907
30,0.6326,0.5566,0.7810,0.000083,0.6861,0.8376,0.7177,0.8144,0.6351,0.8914,0.7109,0.7907
31,0.6216,0.5523,0.7783,0.000076,0.6856,0.8356,0.6816,0.8222,0.6532,0.9160,0.5782,0.8333
32,0.6118,0.5455,0.7783,0.000069,0.6477,0.8399,0.7160,0.8189,0.5631,0.9259,0.6872,0.8062
33,0.6195,0.5444,0.7792,0.000062,0.6684,0.8348,0.7194,0.8111,0.5856,0.9358,0.6682,0.7907
34,0.6180,0.5431,0.7883,0.000056,0.6921,0.8372,0.7277,0.8307,0.6532,0.9012,0.6777,0.8178
35,0.6183,0.5465,0.7883,0.000050,0.6835,0.8458,0.7071,0.8284,0.6081,0.9210,0.6351,0.8605
36,0.6232,0.5556,0.7828,0.000044,0.6967,0.8432,0.6833,0.8204,0.6622,0.8765,0.5829,0.9031
37,0.6102,0.5458,0.7874,0.000038,0.6792,0.8458,0.7050,0.8393,0.6486,0.8938,0.6398,0.8605
38,0.6098,0.5386,0.7883,0.000033,0.6564,0.8490,0.7304,0.8304,0.5766,0.9235,0.7062,0.8256
39,0.6120,0.5401,0.7883,0.000028,0.6684,0.8421,0.7263,0.8343,0.5946,0.9284,0.6730,0.8295
40,0.6227,0.5483,0.7965,0.000023,0.6923,0.8449,0.7392,0.8433,0.6486,0.9012,0.6919,0.8450
41,0.6073,0.5406,0.7865,0.000019,0.6633,0.8528,0.7082,0.8284,0.5856,0.9086,0.6730,0.8605
42,0.6018,0.5368,0.7874,0.000015,0.6798,0.8467,0.7129,0.8315,0.6216,0.8864,0.6825,0.8605
43,0.6007,0.5410,0.7828,0.000011,0.6794,0.8437,0.7059,0.8233,0.6396,0.8864,0.6540,0.8488
44,0.5976,0.5431,0.7883,0.000008,0.6885,0.8400,0.7268,0.8311,0.6622,0.8815,0.6682,0.8488
45,0.5965,0.5402,0.7856,0.000006,0.6782,0.8405,0.7215,0.8295,0.6171,0.8914,0.7062,0.8295
46,0.5948,0.5443,0.7783,0.000004,0.6807,0.8396,0.6911,0.8225,0.6577,0.8593,0.6256,0.8798
47,0.5971,0.5370,0.7892,0.000002,0.6829,0.8454,0.7341,0.8270,0.6306,0.8914,0.7393,0.8062
48,0.6039,0.5443,0.7929,0.000001,0.6944,0.8449,0.7347,0.8333,0.6757,0.9012,0.6825,0.8140
49,0.6095,0.5334,0.7865,0.000000,0.6751,0.8426,0.7241,0.8231,0.5991,0.9185,0.6777,0.8295
50,0.6249,0.5369,0.7938,0.000000,0.6815,0.8428,0.7395,0.8419,0.6216,0.8938,0.7062,0.8566
