epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.0578,0.8426,0.6533,0.000381,0.2910,0.7733,0.5420,0.7147,0.1757,0.8296,0.5355,0.8837
2,0.8475,0.7620,0.6971,0.000380,0.4548,0.7729,0.5766,0.7624,0.3063,0.9704,0.4550,0.8023
3,0.7772,0.6834,0.7391,0.000378,0.6006,0.8202,0.6069,0.7745,0.4775,0.9235,0.4976,0.8721
4,0.7562,0.6912,0.7299,0.000376,0.5325,0.8104,0.6519,0.7840,0.3874,0.8444,0.6967,0.8721
5,0.7277,0.6481,0.7418,0.000372,0.6196,0.8128,0.6788,0.7708,0.5541,0.8790,0.7062,0.7171
6,0.7226,0.6584,0.7436,0.000368,0.6045,0.8119,0.6474,0.7927,0.5405,0.9062,0.5308,0.8372
7,0.6984,0.6664,0.7372,0.000364,0.5421,0.8181,0.6397,0.8093,0.3919,0.8494,0.7109,0.8798
8,0.7124,0.6906,0.7272,0.000358,0.6441,0.7819,0.6541,0.7912,0.5991,0.7259,0.8199,0.7636
9,0.7023,0.6363,0.7500,0.000352,0.6578,0.8067,0.6904,0.7969,0.6667,0.7778,0.7346,0.7907
10,0.6810,0.6737,0.7290,0.000345,0.6327,0.8010,0.6679,0.7500,0.5586,0.8296,0.8246,0.6395
11,0.6997,0.6376,0.7482,0.000338,0.6433,0.8041,0.6795,0.8090,0.6622,0.7802,0.6682,0.8372
12,0.6819,0.6495,0.7354,0.000330,0.6011,0.8048,0.6667,0.7616,0.4820,0.8247,0.6019,0.9225
13,0.6874,0.6394,0.7482,0.000321,0.6485,0.8179,0.6172,0.7993,0.6441,0.8593,0.4929,0.8721
14,0.6823,0.6328,0.7473,0.000312,0.6457,0.8215,0.5828,0.8195,0.6937,0.8691,0.4502,0.8450
15,0.6555,0.6643,0.7327,0.000303,0.6243,0.8247,0.6680,0.7172,0.5315,0.8889,0.8009,0.6047
16,0.6541,0.6232,0.7591,0.000293,0.6270,0.8227,0.6835,0.8000,0.5225,0.9111,0.6398,0.8217
