epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.0982,0.8507,0.6788,0.000137,0.5628,0.7817,0.3663,0.7745,0.6261,0.8444,0.2370,0.8256
2,0.8554,0.7245,0.7217,0.000137,0.6309,0.7995,0.5563,0.7792,0.6892,0.8370,0.4218,0.8140
3,0.7579,0.6987,0.7208,0.000136,0.6078,0.8103,0.5099,0.7713,0.5586,0.8963,0.3649,0.8760
4,0.7293,0.6716,0.7363,0.000135,0.5967,0.8128,0.5783,0.7921,0.4865,0.9432,0.4550,0.8566
5,0.7436,0.6669,0.7500,0.000134,0.6580,0.8271,0.6833,0.7477,0.5676,0.9037,0.7773,0.6434
6,0.7216,0.6272,0.7527,0.000132,0.6468,0.8157,0.6507,0.8218,0.6847,0.8198,0.5782,0.8488
7,0.7066,0.7144,0.7053,0.000131,0.6652,0.7412,0.6089,0.7477,0.7027,0.6469,0.5166,0.9535
8,0.7388,0.6423,0.7509,0.000129,0.6597,0.8157,0.6382,0.8063,0.7072,0.7975,0.5308,0.8953
9,0.6907,0.6124,0.7619,0.000127,0.6697,0.8241,0.6817,0.8024,0.6712,0.8617,0.6445,0.7791
10,0.7021,0.6346,0.7509,0.000124,0.5816,0.8247,0.6915,0.7874,0.4414,0.9062,0.7488,0.7752
11,0.6857,0.6410,0.7409,0.000121,0.6519,0.7845,0.6750,0.8102,0.7297,0.7235,0.6398,0.8605
12,0.7098,0.6044,0.7692,0.000119,0.6378,0.8392,0.6961,0.8054,0.5315,0.9086,0.7109,0.8023
13,0.6745,0.6032,0.7701,0.000116,0.6547,0.8364,0.6783,0.8158,0.5766,0.8963,0.6445,0.8411
14,0.6736,0.6061,0.7619,0.000112,0.6795,0.8229,0.6650,0.8170,0.7162,0.8148,0.6351,0.8217
15,0.6814,0.6163,0.7600,0.000109,0.6128,0.8332,0.6749,0.7984,0.4955,0.9556,0.6445,0.7752
16,0.6790,0.5929,0.7682,0.000105,0.6636,0.8271,0.6875,0.8185,0.6486,0.8741,0.6256,0.8217
17,0.6782,0.6085,0.7619,0.000102,0.6695,0.8165,0.6957,0.8150,0.7072,0.8074,0.6825,0.8023
18,0.6759,0.5934,0.7710,0.000098,0.6609,0.8292,0.6865,0.8352,0.6892,0.8568,0.6019,0.8450
19,0.6552,0.5990,0.7646,0.000094,0.6557,0.8139,0.6892,0.8346,0.6306,0.8099,0.6777,0.8798
20,0.6692,0.6031,0.7719,0.000090,0.6874,0.8379,0.6874,0.8092,0.6982,0.8741,0.6825,0.7481
21,0.6594,0.5848,0.7637,0.000086,0.6544,0.8252,0.6702,0.8197,0.6396,0.8741,0.5924,0.8372
22,0.6432,0.5847,0.7637,0.000081,0.6364,0.8304,0.6943,0.8097,0.5676,0.8889,0.7156,0.7752
23,0.6706,0.5975,0.7609,0.000077,0.6485,0.8310,0.6945,0.7942,0.5901,0.8741,0.7488,0.7403
24,0.6653,0.5790,0.7755,0.000073,0.6699,0.8331,0.6722,0.8339,0.6306,0.8938,0.5782,0.8760
25,0.6497,0.5874,0.7728,0.000069,0.6775,0.8321,0.6837,0.8330,0.6577,0.8321,0.6967,0.8411
26,0.6486,0.5832,0.7664,0.000064,0.6387,0.8262,0.6792,0.8168,0.5495,0.9333,0.5972,0.8295
27,0.6469,0.5704,0.7728,0.000060,0.6714,0.8363,0.6919,0.8138,0.6441,0.8765,0.6493,0.8217
