epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.0821,0.7882,0.7071,0.001794,0.5592,0.8121,0.6036,0.7368,0.5000,0.8593,0.6351,0.7054
2,0.8537,0.8070,0.6797,0.001788,0.5734,0.7742,0.5739,0.6539,0.5631,0.9481,0.4692,0.5310
3,0.8508,0.7140,0.7327,0.001780,0.6250,0.8159,0.6490,0.7643,0.5631,0.8370,0.7536,0.6977
4,0.7933,0.6979,0.7172,0.001767,0.6035,0.7792,0.6285,0.7891,0.5450,0.7407,0.7014,0.8411
5,0.7720,0.7143,0.7336,0.001752,0.6072,0.7979,0.6523,0.8015,0.4910,0.7654,0.7915,0.8450
6,0.7556,0.6844,0.7363,0.001733,0.6299,0.8192,0.5964,0.7900,0.6937,0.8617,0.4692,0.7946
7,0.7498,0.6535,0.7536,0.001710,0.6270,0.8145,0.6632,0.8275,0.6171,0.8346,0.6066,0.8643
8,0.7429,0.6616,0.7381,0.001684,0.6158,0.8050,0.6345,0.8085,0.5450,0.7951,0.6540,0.8837
9,0.7565,0.6581,0.7454,0.001656,0.6240,0.8135,0.6667,0.7992,0.5495,0.8346,0.7299,0.7868
10,0.7587,0.6520,0.7318,0.001624,0.6462,0.7939,0.6162,0.7846,0.6171,0.7704,0.5592,0.9109
11,0.7469,0.6423,0.7609,0.001590,0.6709,0.8210,0.6897,0.8048,0.7072,0.8321,0.6635,0.7752
12,0.7226,0.6639,0.7245,0.001552,0.6158,0.7970,0.6390,0.7553,0.5270,0.7802,0.6209,0.8915
13,0.7312,0.6427,0.7454,0.001512,0.6240,0.8143,0.6402,0.7856,0.5495,0.9259,0.5355,0.8023
14,0.7264,0.6341,0.7509,0.001470,0.6017,0.8307,0.6838,0.7808,0.4865,0.9086,0.7583,0.7248
15,0.6995,0.6441,0.7418,0.001425,0.6469,0.8125,0.6650,0.7782,0.6892,0.8346,0.6445,0.7209
16,0.7010,0.6125,0.7609,0.001379,0.6445,0.8217,0.6462,0.8200,0.5676,0.9160,0.5498,0.8566
17,0.7035,0.6211,0.7564,0.001330,0.6319,0.8197,0.6254,0.8180,0.5450,0.9259,0.5024,0.8798
18,0.7157,0.6282,0.7609,0.001280,0.6709,0.8237,0.6954,0.8008,0.7207,0.8247,0.6872,0.7558
19,0.6958,0.5961,0.7664,0.001228,0.6350,0.8266,0.6979,0.8260,0.5721,0.8593,0.7062,0.8372
20,0.6915,0.6376,0.7473,0.001175,0.6437,0.7989,0.7008,0.8074,0.6306,0.7506,0.8436,0.7636
21,0.7030,0.6233,0.7719,0.001121,0.6789,0.8254,0.6900,0.8269,0.6667,0.8519,0.6540,0.8333
22,0.6802,0.6005,0.7619,0.001066,0.6558,0.8217,0.6813,0.8177,0.6351,0.8420,0.6635,0.8256
23,0.6787,0.6335,0.7546,0.001010,0.6542,0.8206,0.6870,0.7746,0.6306,0.9259,0.6398,0.6860
24,0.7030,0.6181,0.7646,0.000954,0.6542,0.8201,0.6792,0.8233,0.6306,0.9062,0.5972,0.7946
25,0.6700,0.5967,0.7600,0.000898,0.6298,0.8150,0.6859,0.8158,0.5135,0.8864,0.6777,0.8411
26,0.6630,0.5858,0.7765,0.000841,0.6277,0.8296,0.7150,0.8365,0.5315,0.9259,0.6540,0.8527
27,0.6846,0.6169,0.7573,0.000785,0.6375,0.8229,0.6356,0.8094,0.5586,0.9235,0.5166,0.8643
28,0.6552,0.6003,0.7710,0.000730,0.6521,0.8280,0.6936,0.8356,0.6036,0.8617,0.6919,0.8372
29,0.6667,0.6009,0.7737,0.000675,0.6761,0.8325,0.6701,0.8330,0.6441,0.8716,0.6161,0.8605
30,0.6720,0.5977,0.7555,0.000620,0.6452,0.8066,0.6917,0.8231,0.6757,0.7877,0.6540,0.8566
31,0.6684,0.5822,0.7710,0.000567,0.6633,0.8305,0.6667,0.8233,0.5946,0.9012,0.5782,0.8760
32,0.6584,0.6004,0.7673,0.000516,0.6361,0.8221,0.6829,0.8305,0.5631,0.9185,0.5972,0.8450
33,0.6297,0.5881,0.7710,0.000465,0.6795,0.8161,0.6993,0.8352,0.6351,0.8000,0.7441,0.8643
34,0.6543,0.5801,0.7692,0.000417,0.6532,0.8290,0.6814,0.8137,0.5811,0.9037,0.5829,0.8721
35,0.6373,0.5907,0.7673,0.000370,0.6584,0.8266,0.6770,0.8193,0.5991,0.8593,0.6209,0.8876
36,0.6466,0.5828,0.7746,0.000326,0.6500,0.8275,0.7098,0.8356,0.5856,0.8765,0.7014,0.8372
37,0.6607,0.5902,0.7692,0.000283,0.6601,0.8284,0.6667,0.8233,0.6036,0.8938,0.5735,0.8760
38,0.6296,0.5684,0.7838,0.000243,0.6532,0.8343,0.7241,0.8447,0.5811,0.8889,0.6967,0.8643
39,0.6489,0.5821,0.7765,0.000206,0.6462,0.8337,0.7050,0.8362,0.5676,0.8790,0.6967,0.8605
40,0.6471,0.5841,0.7692,0.000171,0.6537,0.8229,0.6810,0.8315,0.6036,0.8889,0.6019,0.8605
41,0.6479,0.5834,0.7719,0.000140,0.6565,0.8264,0.6880,0.8333,0.5811,0.8815,0.6635,0.8527
42,0.6345,0.5797,0.7774,0.000111,0.6667,0.8286,0.7073,0.8385,0.6081,0.8593,0.7156,0.8450
43,0.6178,0.5715,0.7774,0.000085,0.6566,0.8298,0.7076,0.8371,0.5901,0.8790,0.6825,0.8566
44,0.6547,0.5763,0.7737,0.000063,0.6580,0.8230,0.7053,0.8314,0.5721,0.8840,0.6919,0.8411
45,0.6268,0.5770,0.7828,0.000044,0.6563,0.8335,0.7235,0.8435,0.5721,0.8716,0.7441,0.8566
46,0.6493,0.5741,0.7746,0.000028,0.6545,0.8364,0.6847,0.8293,0.5676,0.8963,0.6588,0.8566
47,0.6276,0.5709,0.7810,0.000016,0.6633,0.8328,0.7132,0.8355,0.5901,0.8914,0.6777,0.8566
48,0.6317,0.5787,0.7737,0.000007,0.6699,0.8337,0.6860,0.8273,0.6171,0.8667,0.6730,0.8450
49,0.6223,0.5708,0.7892,0.000002,0.6683,0.8401,0.7282,0.8467,0.6036,0.8889,0.7109,0.8566
50,0.6134,0.5737,0.7755,0.000000,0.6549,0.8289,0.7098,0.8324,0.5856,0.8790,0.7014,0.8372
