epoch,train_loss,val_loss,val_acc_top1,lr
1,0.9325,0.7436,0.7304,0.000103
2,0.6273,0.7127,0.7223,0.000103
3,0.5777,0.6452,0.7259,0.000103
4,0.5250,0.6165,0.7482,0.000103
5,0.4840,0.5417,0.7848,0.000102
6,0.4793,0.4968,0.8009,0.000102
7,0.4832,0.5223,0.7937,0.000102
8,0.4511,0.5226,0.7955,0.000101
9,0.4607,0.5698,0.7607,0.000101
10,0.4481,0.5562,0.7598,0.000101
11,0.4439,0.4704,0.8107,0.000100
12,0.4472,0.4659,0.8054,0.000099
13,0.4165,0.4603,0.8170,0.000099
14,0.4165,0.4521,0.8232,0.000098
15,0.4208,0.4488,0.8187,0.000097
16,0.4300,0.4622,0.8107,0.000097
17,0.4193,0.4960,0.7893,0.000096
18,0.4159,0.4380,0.8179,0.000095
19,0.4060,0.4411,0.8179,0.000094
20,0.4187,0.4463,0.8098,0.000093
21,0.3966,0.4275,0.8187,0.000092
22,0.4140,0.5060,0.8000,0.000091
23,0.3760,0.3578,0.8616,0.000090
24,0.3210,0.3145,0.8759,0.000089
25,0.2925,0.2915,0.8866,0.000088
26,0.2710,0.2770,0.8839,0.000087
27,0.2685,0.2853,0.8804,0.000086
28,0.2455,0.2474,0.9000,0.000084
29,0.2439,0.2447,0.9036,0.000083
30,0.2334,0.2614,0.8920,0.000082
31,0.2106,0.2500,0.9036,0.000081
32,0.2016,0.2432,0.9036,0.000079
33,0.2013,0.2385,0.9036,0.000078
34,0.1987,0.2237,0.9116,0.000076
35,0.2018,0.2318,0.9143,0.000075
36,0.1831,0.2271,0.9143,0.000074
37,0.1727,0.2182,0.9152,0.000072
38,0.1665,0.2333,0.9107,0.000071
39,0.1773,0.2247,0.9161,0.000069
40,0.1492,0.2503,0.9027,0.000067
41,0.1552,0.2161,0.9187,0.000066
42,0.1504,0.2302,0.9125,0.000064
43,0.1514,0.2403,0.9036,0.000063
44,0.1362,0.2459,0.9045,0.000061
45,0.1270,0.3148,0.8866,0.000060
46,0.1116,0.2600,0.9036,0.000058
47,0.1281,0.2479,0.9152,0.000056
48,0.1280,0.2891,0.8857,0.000055
49,0.1203,0.2817,0.8964,0.000053
50,0.1213,0.2925,0.8991,0.000052
51,0.1065,0.2370,0.9161,0.000050
52,0.1151,0.2498,0.9152,0.000048
53,0.1102,0.2517,0.9152,0.000047
54,0.1015,0.2820,0.9027,0.000045
55,0.0960,0.2541,0.9071,0.000043
56,0.0946,0.2936,0.9009,0.000042
57,0.0899,0.2637,0.9098,0.000040
58,0.0925,0.2745,0.9161,0.000039
59,0.0848,0.2454,0.9152,0.000037
60,0.0884,0.3063,0.9018,0.000036
61,0.0808,0.2697,0.9134,0.000034
