epoch,train_loss,val_loss,val_acc_top1,lr
1,0.9189,0.7146,0.7393,0.000113
2,0.6371,0.7052,0.7214,0.000112
3,0.5694,0.6087,0.7482,0.000112
4,0.5238,0.5973,0.7607,0.000112
5,0.4863,0.5243,0.7848,0.000112
6,0.4798,0.4873,0.8018,0.000112
7,0.4804,0.5105,0.7795,0.000111
8,0.4193,0.3775,0.8455,0.000111
9,0.3481,0.3310,0.8652,0.000110
10,0.3303,0.3359,0.8705,0.000110
11,0.2833,0.2932,0.8929,0.000109
12,0.2757,0.2632,0.8964,0.000109
13,0.2460,0.2689,0.8982,0.000108
14,0.2417,0.2629,0.8973,0.000107
15,0.2344,0.2960,0.8812,0.000106
16,0.2293,0.2939,0.8893,0.000106
17,0.2229,0.2783,0.8857,0.000105
18,0.2236,0.2302,0.9062,0.000104
19,0.1981,0.2612,0.8902,0.000103
20,0.1971,0.2439,0.8955,0.000102
21,0.1945,0.2345,0.9080,0.000101
22,0.1907,0.3545,0.8670,0.000100
23,0.1809,0.2358,0.9080,0.000098
24,0.1663,0.2250,0.9080,0.000097
25,0.1502,0.2437,0.9045,0.000096
26,0.1641,0.2417,0.9036,0.000095
27,0.1609,0.3118,0.8777,0.000093
28,0.1535,0.2449,0.9071,0.000092
29,0.1486,0.2819,0.8839,0.000091
30,0.1537,0.2724,0.9045,0.000089
31,0.1271,0.2844,0.8964,0.000088
32,0.1266,0.2562,0.9036,0.000086
33,0.1365,0.2957,0.8830,0.000085
34,0.1385,0.2400,0.9107,0.000083
35,0.1375,0.2594,0.9054,0.000082
36,0.1179,0.2384,0.9134,0.000080
37,0.1083,0.2460,0.9125,0.000079
38,0.1121,0.2505,0.9098,0.000077
39,0.1119,0.2490,0.9125,0.000075
40,0.0967,0.2889,0.8991,0.000074
41,0.1060,0.2546,0.9062,0.000072
42,0.1033,0.2806,0.9018,0.000070
43,0.0978,0.2844,0.9045,0.000069
44,0.0906,0.2796,0.9027,0.000067
45,0.0884,0.3053,0.8946,0.000065
46,0.0710,0.2916,0.9027,0.000063
47,0.0798,0.2830,0.9089,0.000062
48,0.0859,0.2924,0.9062,0.000060
49,0.0824,0.2945,0.9089,0.000058
50,0.0780,0.3196,0.8946,0.000056
51,0.0806,0.2875,0.9080,0.000055
52,0.0807,0.2854,0.9107,0.000053
53,0.0732,0.2879,0.9071,0.000051
54,0.0665,0.2981,0.9000,0.000049
55,0.0674,0.2956,0.9027,0.000047
56,0.0729,0.3195,0.8973,0.000046
