epoch,train_loss,val_loss,val_acc_top1,lr
1,0.8793,0.6502,0.7509,0.000537
2,0.6109,0.7122,0.7161,0.000537
3,0.6090,0.5583,0.7804,0.000536
4,0.5373,0.5472,0.7768,0.000535
5,0.4998,0.5230,0.7866,0.000534
6,0.4990,0.5038,0.7866,0.000533
7,0.5246,0.5274,0.7812,0.000531
8,0.4838,0.5113,0.7929,0.000529
9,0.4838,0.4783,0.8089,0.000527
10,0.4558,0.5348,0.7777,0.000524
11,0.3978,0.3176,0.8839,0.000522
12,0.3166,0.2744,0.8964,0.000519
13,0.2641,0.2920,0.8955,0.000515
14,0.2644,0.3199,0.8786,0.000512
15,0.2420,0.3263,0.8777,0.000508
16,0.2349,0.3199,0.8911,0.000504
17,0.2223,0.5212,0.8402,0.000500
18,0.2291,0.3107,0.8973,0.000496
19,0.2073,0.3382,0.8714,0.000491
20,0.1979,0.3613,0.8723,0.000486
21,0.1876,0.3170,0.8902,0.000481
22,0.1891,0.4844,0.8286,0.000476
23,0.1703,0.4749,0.8330,0.000470
24,0.1670,0.2352,0.9250,0.000465
25,0.1445,0.4839,0.8545,0.000459
26,0.1595,0.3518,0.8795,0.000453
27,0.1398,0.4525,0.8661,0.000446
28,0.1304,0.2794,0.9080,0.000440
29,0.1317,0.3007,0.8964,0.000433
30,0.1189,0.4547,0.8670,0.000427
31,0.1115,0.4126,0.8857,0.000420
32,0.1173,0.2665,0.9152,0.000413
33,0.0873,0.3655,0.8964,0.000406
34,0.1153,0.3335,0.8848,0.000398
35,0.1184,0.2716,0.9125,0.000391
36,0.0964,0.3024,0.9107,0.000383
37,0.0822,0.3392,0.9062,0.000375
38,0.0893,0.3656,0.8848,0.000368
39,0.0898,0.3287,0.9009,0.000360
40,0.0703,0.3859,0.8973,0.000352
41,0.0695,0.4472,0.8955,0.000344
42,0.0733,0.4517,0.8830,0.000336
43,0.0781,0.3130,0.8991,0.000327
44,0.0612,0.3547,0.8964,0.000319
