epoch,train_loss,val_loss,val_acc_top1,lr
1,0.9364,0.6467,0.7509,0.000938
2,0.6273,0.7248,0.7286,0.000937
3,0.6221,0.5483,0.7848,0.000936
4,0.5542,0.5733,0.7741,0.000934
5,0.5341,0.5335,0.7812,0.000932
6,0.5235,0.5197,0.7920,0.000930
7,0.5425,0.5247,0.7795,0.000927
8,0.5060,0.5027,0.7946,0.000923
9,0.4909,0.4706,0.8071,0.000919
10,0.4872,0.5296,0.7786,0.000915
11,0.4911,0.4884,0.8018,0.000910
12,0.4415,0.3003,0.8795,0.000905
13,0.3251,0.3724,0.8714,0.000899
14,0.3177,0.2484,0.8982,0.000893
15,0.2880,0.3182,0.8750,0.000887
16,0.2644,0.3101,0.8839,0.000880
17,0.2610,0.5330,0.8250,0.000873
18,0.2521,0.2929,0.8920,0.000865
19,0.2396,0.2741,0.8929,0.000857
20,0.2339,0.2769,0.9000,0.000848
21,0.2242,0.2588,0.9134,0.000840
22,0.2180,0.5504,0.7991,0.000830
23,0.2097,0.4430,0.8536,0.000821
24,0.1918,0.2746,0.9054,0.000811
25,0.1990,0.2838,0.8955,0.000801
26,0.1898,0.3522,0.8580,0.000790
27,0.1700,0.4287,0.8545,0.000779
28,0.1693,0.2444,0.9125,0.000768
29,0.1811,0.2869,0.8911,0.000756
30,0.1621,0.3032,0.9036,0.000745
31,0.1533,0.3439,0.8982,0.000733
32,0.1511,0.2374,0.9107,0.000720
33,0.1495,0.2829,0.9116,0.000708
34,0.1545,0.3059,0.9000,0.000695
35,0.1400,0.2621,0.9045,0.000682
36,0.1320,0.2426,0.9170,0.000669
37,0.1179,0.3582,0.8946,0.000655
38,0.1194,0.2991,0.9054,0.000642
39,0.1155,0.2777,0.9098,0.000628
40,0.0931,0.3619,0.8902,0.000614
41,0.1081,0.4119,0.8991,0.000600
42,0.1086,0.2950,0.9098,0.000586
43,0.1025,0.2732,0.9071,0.000571
44,0.0894,0.3292,0.8982,0.000557
45,0.0878,0.4104,0.8750,0.000542
46,0.0633,0.5162,0.8759,0.000528
47,0.0887,0.3427,0.9036,0.000513
48,0.0754,0.3398,0.9045,0.000498
49,0.0774,0.3588,0.9045,0.000484
50,0.0728,0.4328,0.8938,0.000469
51,0.0652,0.3142,0.9143,0.000454
52,0.0612,0.2874,0.9170,0.000440
53,0.0509,0.4099,0.8911,0.000425
54,0.0460,0.4043,0.8839,0.000410
55,0.0511,0.4247,0.8920,0.000396
56,0.0559,0.3030,0.9125,0.000381
