epoch,train_loss,val_loss,val_acc_top1,lr
1,0.8565,0.6441,0.7473,0.000421
2,0.6019,0.6776,0.7286,0.000421
3,0.5716,0.5272,0.7884,0.000420
4,0.5240,0.5587,0.7750,0.000419
5,0.3929,0.3231,0.8821,0.000419
6,0.3179,0.2774,0.8982,0.000417
7,0.2744,0.3195,0.8723,0.000416
8,0.2620,0.3015,0.8732,0.000415
9,0.2392,0.2556,0.9036,0.000413
10,0.2492,0.3229,0.8696,0.000411
11,0.2049,0.3414,0.8777,0.000409
12,0.2243,0.2780,0.9018,0.000406
13,0.1811,0.2854,0.8920,0.000404
14,0.1906,0.2600,0.9045,0.000401
15,0.1757,0.4524,0.8375,0.000398
16,0.1706,0.2434,0.9009,0.000395
17,0.1684,0.2829,0.8982,0.000392
18,0.1704,0.2356,0.9080,0.000388
19,0.1431,0.3833,0.8625,0.000385
20,0.1538,0.2643,0.9089,0.000381
21,0.1391,0.2734,0.9071,0.000377
22,0.1375,0.3926,0.8661,0.000373
23,0.1247,0.4366,0.8661,0.000369
24,0.1383,0.2602,0.9143,0.000364
25,0.1205,0.3626,0.8821,0.000359
26,0.1248,0.2930,0.8955,0.000355
27,0.1052,0.6491,0.8170,0.000350
28,0.1099,0.3072,0.9018,0.000345
29,0.1103,0.3784,0.8830,0.000340
30,0.1076,0.3150,0.9036,0.000334
31,0.0770,0.4270,0.8759,0.000329
32,0.0873,0.2911,0.9107,0.000323
33,0.0725,0.3277,0.8973,0.000318
34,0.0877,0.3599,0.8946,0.000312
35,0.0846,0.3139,0.9018,0.000306
36,0.0728,0.3352,0.8973,0.000300
37,0.0737,0.3212,0.9080,0.000294
38,0.0747,0.3269,0.8982,0.000288
39,0.0702,0.3275,0.8964,0.000282
40,0.0524,0.3395,0.9089,0.000276
41,0.0526,0.3325,0.9054,0.000269
42,0.0554,0.3638,0.8929,0.000263
43,0.0563,0.3503,0.9018,0.000256
44,0.0585,0.3564,0.9143,0.000250
