epoch,train_loss,val_loss,val_acc_top1,lr
1,1.0815,0.8239,0.7616,0.000028
2,0.7581,0.6636,0.7607,0.000028
3,0.6218,0.5607,0.7937,0.000028
4,0.5626,0.5087,0.8000,0.000028
5,0.5109,0.4719,0.8223,0.000028
6,0.4857,0.4463,0.8348,0.000028
7,0.4793,0.4426,0.8321,0.000028
8,0.4566,0.4205,0.8411,0.000028
9,0.4452,0.4075,0.8429,0.000028
10,0.4044,0.3715,0.8625,0.000028
11,0.3397,0.3106,0.8812,0.000027
12,0.3221,0.2844,0.8893,0.000027
13,0.2771,0.2773,0.8884,0.000027
14,0.2642,0.2686,0.8955,0.000027
15,0.2493,0.3062,0.8777,0.000027
16,0.2328,0.2578,0.9018,0.000026
17,0.2314,0.2650,0.8955,0.000026
18,0.2214,0.2557,0.8938,0.000026
19,0.2032,0.2454,0.9036,0.000026
20,0.2032,0.2312,0.9071,0.000025
21,0.1942,0.2369,0.9098,0.000025
22,0.1843,0.2598,0.9009,0.000025
23,0.1780,0.2674,0.8938,0.000025
24,0.1693,0.2356,0.9134,0.000024
25,0.1555,0.2590,0.9018,0.000024
26,0.1595,0.2519,0.9045,0.000024
27,0.1494,0.2382,0.9116,0.000023
28,0.1396,0.2475,0.9071,0.000023
29,0.1450,0.2422,0.9071,0.000023
30,0.1422,0.2313,0.9062,0.000022
31,0.1221,0.2481,0.9089,0.000022
32,0.1128,0.2428,0.9134,0.000022
33,0.1316,0.2557,0.9062,0.000021
34,0.1267,0.2346,0.9170,0.000021
35,0.1232,0.2383,0.9116,0.000020
36,0.1092,0.2302,0.9152,0.000020
37,0.1045,0.2389,0.9143,0.000020
38,0.0903,0.2359,0.9098,0.000019
39,0.0980,0.2388,0.9143,0.000019
40,0.0859,0.2396,0.9170,0.000018
41,0.0947,0.2511,0.9116,0.000018
42,0.0926,0.2592,0.9045,0.000018
43,0.0856,0.2534,0.9062,0.000017
44,0.0777,0.2582,0.9036,0.000017
45,0.0799,0.2707,0.8973,0.000016
46,0.0677,0.2598,0.9062,0.000016
47,0.0707,0.2577,0.9071,0.000015
48,0.0757,0.2600,0.9089,0.000015
49,0.0735,0.2663,0.9018,0.000015
50,0.0737,0.2670,0.9027,0.000014
51,0.0602,0.2534,0.9116,0.000014
52,0.0658,0.2627,0.9071,0.000013
53,0.0655,0.2726,0.9054,0.000013
54,0.0612,0.2724,0.9054,0.000012
