epoch,train_loss,val_loss,val_acc_top1,lr
1,0.9027,0.6468,0.7527,0.000631
2,0.6350,0.6884,0.7205,0.000631
3,0.5914,0.5652,0.7777,0.000630
4,0.5498,0.5564,0.7786,0.000629
5,0.5232,0.5375,0.7946,0.000628
6,0.5298,0.4986,0.7991,0.000626
7,0.5285,0.5201,0.7893,0.000624
8,0.4863,0.4914,0.8009,0.000622
9,0.4951,0.5207,0.7857,0.000619
10,0.4158,0.3661,0.8500,0.000616
11,0.3052,0.3445,0.8589,0.000613
12,0.3040,0.2684,0.8946,0.000609
13,0.2522,0.3216,0.8848,0.000606
14,0.2631,0.2563,0.8991,0.000601
15,0.2522,0.3524,0.8571,0.000597
16,0.2263,0.3096,0.8902,0.000592
17,0.2229,0.4113,0.8464,0.000588
18,0.2183,0.2862,0.9062,0.000582
19,0.2048,0.2936,0.8786,0.000577
20,0.1953,0.3153,0.8920,0.000571
21,0.1915,0.2741,0.9062,0.000565
22,0.1816,0.3430,0.8741,0.000559
23,0.1675,0.3699,0.8723,0.000553
24,0.1693,0.2347,0.9098,0.000546
25,0.1509,0.2790,0.9098,0.000539
26,0.1601,0.2930,0.8902,0.000532
27,0.1494,0.4884,0.8554,0.000525
28,0.1336,0.2892,0.9018,0.000517
29,0.1427,0.2739,0.8991,0.000509
30,0.1380,0.3720,0.8812,0.000501
31,0.1254,0.4059,0.8741,0.000493
32,0.1287,0.3236,0.8973,0.000485
33,0.1048,0.3120,0.8973,0.000477
34,0.1117,0.4063,0.8696,0.000468
35,0.1029,0.2979,0.9009,0.000459
36,0.0966,0.2800,0.9080,0.000450
37,0.0793,0.3474,0.8991,0.000441
38,0.1049,0.3506,0.8839,0.000432
39,0.1005,0.3368,0.8929,0.000423
40,0.0707,0.4392,0.8848,0.000413
41,0.0755,0.4517,0.9027,0.000404
42,0.0754,0.3780,0.9054,0.000394
43,0.0805,0.3550,0.8884,0.000385
44,0.0628,0.3052,0.9071,0.000375
