epoch,train_loss,val_loss,val_acc_top1,lr
1,0.8606,0.6276,0.7580,0.000606
2,0.6157,0.7155,0.7214,0.000606
3,0.5993,0.5566,0.7821,0.000605
4,0.5447,0.5200,0.7937,0.000604
5,0.5166,0.5129,0.7955,0.000603
6,0.5124,0.4973,0.8036,0.000601
7,0.5237,0.5222,0.7875,0.000599
8,0.4824,0.4630,0.8116,0.000597
9,0.4882,0.4664,0.8116,0.000594
10,0.4642,0.4862,0.8018,0.000591
11,0.4616,0.4505,0.8250,0.000588
12,0.4170,0.2637,0.8893,0.000585
13,0.2917,0.2777,0.8929,0.000581
14,0.2813,0.2409,0.9027,0.000577
15,0.2508,0.2740,0.8857,0.000573
16,0.2359,0.4532,0.8491,0.000569
17,0.2273,0.3135,0.8848,0.000564
18,0.2270,0.2648,0.9009,0.000559
19,0.2043,0.2683,0.8964,0.000554
20,0.1934,0.2709,0.8991,0.000548
21,0.1774,0.2823,0.8991,0.000543
22,0.1904,0.3334,0.8804,0.000537
23,0.1610,0.3339,0.8768,0.000531
24,0.1671,0.2450,0.9187,0.000524
25,0.1452,0.3469,0.8884,0.000517
26,0.1514,0.3104,0.8911,0.000511
27,0.1361,0.3269,0.8866,0.000504
28,0.1359,0.2302,0.9161,0.000496
29,0.1204,0.3599,0.8679,0.000489
30,0.1323,0.3246,0.8982,0.000481
31,0.1016,0.3832,0.8893,0.000474
32,0.1086,0.2429,0.9187,0.000466
33,0.0970,0.3710,0.9009,0.000457
34,0.1123,0.3374,0.8866,0.000449
35,0.1084,0.3327,0.8982,0.000441
36,0.0914,0.4025,0.8929,0.000432
37,0.0784,0.2869,0.9152,0.000424
38,0.0843,0.2881,0.9027,0.000415
39,0.0858,0.2919,0.9179,0.000406
40,0.0608,0.3850,0.8893,0.000397
41,0.0695,0.3980,0.8982,0.000388
42,0.0689,0.3415,0.8929,0.000379
43,0.0714,0.3102,0.9036,0.000369
44,0.0587,0.3143,0.9000,0.000360
