epoch,train_loss,val_loss,val_acc_top1,lr
1,0.8673,0.6535,0.7491,0.000293
2,0.6209,0.7070,0.7179,0.000293
3,0.5897,0.5916,0.7661,0.000293
4,0.5384,0.5342,0.7893,0.000292
5,0.4993,0.5056,0.7955,0.000292
6,0.5026,0.4896,0.8027,0.000291
7,0.5141,0.4902,0.7991,0.000290
8,0.4125,0.2932,0.8812,0.000289
9,0.3069,0.2487,0.9018,0.000288
10,0.2866,0.3036,0.8705,0.000286
11,0.2423,0.2863,0.8821,0.000285
12,0.2485,0.2395,0.9062,0.000283
13,0.2094,0.2615,0.8982,0.000281
14,0.2079,0.2676,0.8875,0.000279
15,0.1966,0.3150,0.8705,0.000277
16,0.1846,0.2918,0.8964,0.000275
17,0.1810,0.3130,0.8839,0.000273
18,0.1813,0.2419,0.9107,0.000271
19,0.1542,0.3057,0.8938,0.000268
20,0.1594,0.2527,0.9054,0.000265
21,0.1402,0.2584,0.9152,0.000263
22,0.1412,0.3346,0.8893,0.000260
23,0.1300,0.3305,0.8839,0.000257
24,0.1318,0.2643,0.9170,0.000254
25,0.1151,0.3837,0.8777,0.000250
26,0.1201,0.3626,0.8812,0.000247
27,0.1104,0.3688,0.8750,0.000244
28,0.1050,0.2556,0.9107,0.000240
29,0.1040,0.3099,0.8884,0.000237
30,0.1039,0.2777,0.9170,0.000233
31,0.0830,0.3151,0.8991,0.000229
32,0.0861,0.2577,0.9134,0.000225
33,0.0753,0.3337,0.8955,0.000221
34,0.0854,0.3351,0.8795,0.000217
35,0.0778,0.2872,0.8946,0.000213
36,0.0745,0.3114,0.9036,0.000209
37,0.0670,0.4057,0.8866,0.000205
38,0.0700,0.3199,0.8929,0.000201
39,0.0653,0.3570,0.8982,0.000196
40,0.0596,0.3966,0.8902,0.000192
41,0.0612,0.3271,0.9045,0.000188
42,0.0503,0.3510,0.9000,0.000183
43,0.0502,0.4060,0.8857,0.000179
44,0.0446,0.4111,0.8920,0.000174
