epoch,train_loss,val_loss,val_acc_top1,lr
1,0.8629,0.6510,0.7589,0.000360
2,0.6059,0.7276,0.7143,0.000360
3,0.5934,0.5495,0.7830,0.000359
4,0.5372,0.5409,0.7884,0.000359
5,0.4981,0.5200,0.7866,0.000358
6,0.5049,0.4895,0.8054,0.000357
7,0.5190,0.4809,0.8009,0.000356
8,0.4788,0.4827,0.8018,0.000354
9,0.3890,0.2854,0.8955,0.000353
10,0.3113,0.3421,0.8598,0.000351
11,0.2588,0.3086,0.8821,0.000349
12,0.2560,0.2335,0.9036,0.000347
13,0.2185,0.3165,0.8893,0.000345
14,0.2175,0.2442,0.8946,0.000343
15,0.2012,0.3298,0.8696,0.000340
16,0.1950,0.2810,0.8955,0.000338
17,0.1830,0.2680,0.9036,0.000335
18,0.1912,0.2347,0.8991,0.000332
19,0.1692,0.2683,0.8964,0.000329
20,0.1542,0.2787,0.9062,0.000326
21,0.1470,0.3096,0.9009,0.000322
22,0.1553,0.3910,0.8714,0.000319
23,0.1399,0.3364,0.8804,0.000315
24,0.1377,0.2270,0.9170,0.000311
25,0.1198,0.4955,0.8652,0.000307
26,0.1193,0.3642,0.8920,0.000303
27,0.1096,0.3907,0.8705,0.000299
28,0.1166,0.2937,0.9000,0.000295
29,0.0946,0.4078,0.8661,0.000290
30,0.1029,0.2842,0.9036,0.000286
31,0.0888,0.3532,0.8875,0.000281
32,0.0820,0.2777,0.9098,0.000276
33,0.0694,0.3356,0.8964,0.000272
34,0.0868,0.4861,0.8786,0.000267
35,0.0814,0.2799,0.9054,0.000262
36,0.0693,0.3805,0.9071,0.000257
37,0.0633,0.4060,0.8946,0.000251
38,0.0739,0.3336,0.9009,0.000246
39,0.0701,0.3813,0.8938,0.000241
40,0.0584,0.3941,0.8938,0.000236
41,0.0520,0.3691,0.8973,0.000230
42,0.0516,0.3308,0.9009,0.000225
43,0.0516,0.3973,0.8848,0.000219
44,0.0477,0.3829,0.8929,0.000214
