epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7759,0.4238,0.8385,0.000802,0.7124,0.8780,0.8176,0.9063,0.7252,0.8617,0.8389,0.8992
2,0.5759,0.6997,0.7153,0.000800,0.6418,0.8155,0.4752,0.7268,0.5045,0.8568,0.3175,1.0000
3,0.5221,0.3768,0.8540,0.000796,0.7576,0.8943,0.8069,0.9035,0.7252,0.8988,0.7725,0.9612
4,0.5013,0.5521,0.7710,0.000790,0.7183,0.8531,0.6801,0.7537,0.6261,0.8173,0.5592,0.9961
5,0.4462,0.3774,0.8513,0.000783,0.7585,0.8900,0.8051,0.9188,0.8559,0.8691,0.7536,0.8992
6,0.4750,0.4632,0.8257,0.000775,0.7301,0.8783,0.6748,0.9152,0.7432,0.9802,0.5261,0.8992
7,0.4577,0.4252,0.8212,0.000765,0.7169,0.8760,0.7038,0.8757,0.6216,0.9679,0.5687,0.9690
8,0.4277,0.3256,0.8631,0.000753,0.7591,0.9030,0.8249,0.9141,0.7027,0.9309,0.8483,0.9070
9,0.4537,0.3737,0.8549,0.000741,0.7570,0.8955,0.8062,0.9259,0.8559,0.8889,0.7393,0.8953
10,0.4131,0.3371,0.8677,0.000726,0.7828,0.9132,0.7989,0.9213,0.8198,0.9481,0.7156,0.9070
11,0.4065,0.3404,0.8540,0.000711,0.7566,0.8814,0.8333,0.9131,0.7703,0.8346,0.8531,0.9574
12,0.4383,0.3676,0.8467,0.000694,0.7807,0.9024,0.7668,0.8664,0.7297,0.9136,0.6777,0.9806
13,0.4049,0.3864,0.8367,0.000676,0.7537,0.8778,0.7246,0.9020,0.6892,0.9753,0.5924,0.9457
14,0.3958,0.3264,0.8631,0.000657,0.7824,0.9091,0.7948,0.9108,0.8018,0.9136,0.7251,0.9496
15,0.3717,0.3851,0.8330,0.000638,0.7480,0.8571,0.8279,0.8835,0.8559,0.7852,0.7867,0.9264
16,0.4124,0.3674,0.8531,0.000617,0.7922,0.9166,0.7155,0.8932,0.8243,0.9358,0.5782,0.9729
17,0.3495,0.3115,0.8704,0.000595,0.7851,0.9050,0.8289,0.9251,0.8063,0.8938,0.8152,0.9341
18,0.3725,0.3189,0.8732,0.000572,0.7909,0.9102,0.8314,0.9205,0.7838,0.8889,0.8531,0.9419
19,0.3574,0.3153,0.8650,0.000549,0.7876,0.9162,0.7769,0.9064,0.7432,0.9580,0.7014,0.9574
20,0.3492,0.3018,0.8796,0.000526,0.7876,0.9216,0.8364,0.9246,0.7432,0.9284,0.8720,0.9264
21,0.3612,0.3467,0.8641,0.000501,0.7883,0.8969,0.8152,0.9066,0.7297,0.9778,0.7630,0.8837
22,0.3429,0.3082,0.8768,0.000477,0.7971,0.9097,0.8244,0.9248,0.7432,0.9580,0.7678,0.9535
23,0.3377,0.2903,0.8796,0.000452,0.8010,0.9249,0.8201,0.9139,0.7252,0.9580,0.8104,0.9457
24,0.3513,0.3012,0.8668,0.000427,0.7838,0.9082,0.8155,0.9132,0.7838,0.9037,0.7962,0.9380
25,0.3224,0.3107,0.8695,0.000402,0.8000,0.9147,0.7947,0.9091,0.7928,0.9531,0.7156,0.9302
26,0.3111,0.2899,0.8850,0.000376,0.8108,0.9253,0.8404,0.9149,0.7432,0.9481,0.8483,0.9380
27,0.3211,0.3404,0.8595,0.000351,0.7771,0.8842,0.8482,0.9137,0.8874,0.8296,0.8341,0.9031
28,0.3170,0.3133,0.8704,0.000326,0.8035,0.9015,0.8288,0.9139,0.8378,0.8815,0.7915,0.9457
29,0.3109,0.2901,0.8777,0.000302,0.8115,0.9132,0.8232,0.9202,0.8243,0.9086,0.7725,0.9612
30,0.3086,0.2904,0.8841,0.000277,0.8151,0.9240,0.8226,0.9257,0.8243,0.9457,0.7583,0.9419
31,0.2994,0.2880,0.8814,0.000254,0.8000,0.9190,0.8264,0.9280,0.7477,0.9531,0.8009,0.9496
32,0.2881,0.2903,0.8732,0.000231,0.7932,0.9139,0.8124,0.9196,0.7342,0.9309,0.8104,0.9535
