epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.3439,0.5965,0.7810,0.002919,0.6667,0.8268,0.7576,0.8712,0.8874,0.7309,0.7109,0.8256
2,0.6748,0.5776,0.7728,0.002910,0.7692,0.8311,0.6842,0.7541,0.7432,0.7778,0.5545,0.9690
3,0.6266,0.4151,0.8540,0.002896,0.7790,0.8998,0.7822,0.9045,0.8018,0.9086,0.7488,0.8992
4,0.6227,0.5105,0.7911,0.002876,0.4311,0.8603,0.7564,0.8861,0.2748,0.9728,0.7725,0.9651
5,0.6045,0.4282,0.8339,0.002850,0.7470,0.8833,0.7700,0.8957,0.8514,0.8691,0.7299,0.8488
6,0.5806,0.4200,0.8522,0.002819,0.7415,0.8837,0.8289,0.9002,0.6396,0.9852,0.8152,0.8566
7,0.6006,0.4564,0.8394,0.002783,0.7578,0.8894,0.7880,0.8747,0.7613,0.9235,0.8104,0.7984
8,0.5527,0.4035,0.8577,0.002741,0.7807,0.8928,0.8040,0.9029,0.7297,0.9358,0.7678,0.9186
9,0.5698,0.4465,0.8577,0.002694,0.7700,0.9021,0.7848,0.9118,0.7387,0.9210,0.7346,0.9612
10,0.5127,0.3460,0.8805,0.002643,0.7990,0.9209,0.8279,0.9231,0.7342,0.9630,0.8436,0.9070
11,0.5369,0.4094,0.8595,0.002587,0.7822,0.8972,0.8069,0.9074,0.7928,0.8840,0.7725,0.9496
12,0.5035,0.3957,0.8677,0.002526,0.7907,0.9184,0.7792,0.9182,0.7658,0.9309,0.7441,0.9574
13,0.5308,0.3695,0.8577,0.002461,0.7709,0.8989,0.8131,0.9080,0.7883,0.9111,0.8246,0.8605
14,0.4886,0.3538,0.8741,0.002392,0.7875,0.9155,0.8215,0.9249,0.7928,0.9235,0.7962,0.9302
15,0.4673,0.4423,0.8385,0.002320,0.7538,0.8647,0.7907,0.9190,0.8829,0.8049,0.7251,0.9457
16,0.5079,0.3874,0.8440,0.002244,0.7840,0.9086,0.7163,0.8761,0.7928,0.9210,0.5924,0.9729
17,0.4590,0.3655,0.8777,0.002165,0.7913,0.9244,0.8222,0.9215,0.7342,0.9506,0.8768,0.8876
18,0.4747,0.3472,0.8796,0.002083,0.7940,0.9253,0.8210,0.9249,0.7117,0.9333,0.8910,0.9302
19,0.4414,0.3327,0.8750,0.001999,0.7732,0.9112,0.8153,0.9385,0.6757,0.9753,0.8057,0.9457
20,0.4327,0.3550,0.8759,0.001912,0.8028,0.9157,0.8180,0.9225,0.7883,0.9383,0.8199,0.8992
21,0.4478,0.3710,0.8768,0.001824,0.8019,0.9175,0.8326,0.9098,0.7477,0.9605,0.8720,0.8605
22,0.4142,0.3303,0.8777,0.001735,0.8037,0.9123,0.8238,0.9249,0.7748,0.9630,0.7867,0.9070
23,0.4131,0.3517,0.8859,0.001644,0.8079,0.9173,0.8476,0.9270,0.7387,0.9728,0.8436,0.9109
24,0.4141,0.3444,0.8777,0.001553,0.7801,0.9173,0.8357,0.9296,0.7432,0.9580,0.8436,0.8953
25,0.4281,0.3545,0.8814,0.001461,0.7962,0.9175,0.8382,0.9261,0.7568,0.9753,0.8104,0.8992
26,0.4084,0.3630,0.8732,0.001369,0.7933,0.9197,0.8136,0.9157,0.7523,0.9185,0.8483,0.9264
27,0.4070,0.3970,0.8558,0.001278,0.7787,0.8946,0.8222,0.9006,0.8559,0.8593,0.8436,0.8605
28,0.3910,0.3466,0.8896,0.001187,0.8184,0.9257,0.8350,0.9354,0.8018,0.9531,0.8152,0.9264
29,0.3707,0.3605,0.8805,0.001098,0.8000,0.9203,0.8315,0.9259,0.7568,0.9407,0.8768,0.8953
30,0.3826,0.3436,0.8887,0.001009,0.8180,0.9266,0.8421,0.9261,0.7793,0.9506,0.8720,0.8992
31,0.3781,0.3580,0.8814,0.000923,0.8045,0.9168,0.8321,0.9310,0.8063,0.9383,0.8104,0.9147
32,0.3667,0.3426,0.8878,0.000839,0.8157,0.9234,0.8409,0.9273,0.7477,0.9531,0.8768,0.9147
33,0.3802,0.3455,0.8741,0.000757,0.7973,0.9080,0.8386,0.9209,0.8063,0.9012,0.8863,0.8798
34,0.3470,0.3461,0.8796,0.000678,0.8027,0.9169,0.8330,0.9274,0.7973,0.9259,0.8626,0.8915
35,0.3545,0.3532,0.8878,0.000602,0.8246,0.9150,0.8531,0.9300,0.8468,0.9037,0.8531,0.9264
36,0.3500,0.3391,0.8823,0.000530,0.8104,0.9220,0.8359,0.9209,0.7703,0.9333,0.9052,0.8798
37,0.3326,0.3380,0.8841,0.000461,0.8122,0.9223,0.8433,0.9203,0.7793,0.9235,0.9052,0.8953
38,0.3455,0.3508,0.8786,0.000396,0.8064,0.9261,0.8315,0.9068,0.7973,0.9432,0.8768,0.8488
39,0.3402,0.3666,0.8668,0.000335,0.7991,0.9135,0.8227,0.8922,0.8243,0.9259,0.8578,0.8178
40,0.3215,0.3354,0.8878,0.000279,0.8192,0.9223,0.8519,0.9228,0.8063,0.9383,0.8863,0.8798
41,0.3226,0.3367,0.8878,0.000227,0.8107,0.9242,0.8512,0.9293,0.8198,0.9333,0.8673,0.8915
42,0.3089,0.3376,0.8814,0.000181,0.8073,0.9206,0.8416,0.9184,0.8018,0.9309,0.8815,0.8721
43,0.3245,0.3403,0.8777,0.000139,0.8092,0.9189,0.8311,0.9106,0.7928,0.9506,0.8626,0.8488
44,0.3025,0.3441,0.8823,0.000103,0.8089,0.9216,0.8440,0.9184,0.8198,0.9284,0.8720,0.8721
45,0.3227,0.3287,0.8859,0.000072,0.8086,0.9268,0.8403,0.9256,0.7613,0.9383,0.9100,0.8915
46,0.3109,0.3275,0.8850,0.000046,0.8132,0.9227,0.8426,0.9224,0.7748,0.9432,0.9005,0.8760
47,0.3103,0.3302,0.8887,0.000026,0.8249,0.9216,0.8513,0.9228,0.8063,0.9432,0.8815,0.8798
48,0.3112,0.3314,0.8841,0.000012,0.8157,0.9220,0.8394,0.9202,0.7973,0.9481,0.8673,0.8721
