epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.5427,0.5412,0.8139,0.003301,0.7108,0.8727,0.7167,0.8968,0.8468,0.8296,0.6114,0.9264
2,0.7281,0.5965,0.7637,0.003291,0.7264,0.8416,0.6358,0.7563,0.6577,0.8198,0.4882,0.9922
3,0.6966,0.5157,0.8066,0.003275,0.7050,0.8800,0.6606,0.8475,0.6351,0.9506,0.5118,0.9690
4,0.6832,0.4685,0.8148,0.003252,0.5751,0.8740,0.7837,0.8763,0.4054,0.9679,0.7725,0.9612
5,0.6492,0.4002,0.8568,0.003223,0.7746,0.8902,0.8159,0.9084,0.7973,0.9012,0.7773,0.9031
6,0.6532,0.4495,0.8449,0.003188,0.7310,0.8862,0.7820,0.9105,0.6486,0.9802,0.7393,0.8876
7,0.6434,0.5005,0.8276,0.003147,0.7368,0.8899,0.6505,0.9121,0.7568,0.9580,0.5071,0.9457
8,0.6432,0.3909,0.8677,0.003100,0.7661,0.9013,0.8353,0.9159,0.6712,0.9580,0.8531,0.9070
9,0.6048,0.4545,0.8622,0.003047,0.7667,0.9038,0.8269,0.9042,0.7477,0.9160,0.8152,0.9147
10,0.6095,0.3963,0.8622,0.002989,0.7643,0.9070,0.8169,0.9024,0.6937,0.9753,0.8246,0.8605
11,0.5715,0.4082,0.8668,0.002925,0.7513,0.9164,0.8218,0.9167,0.6532,0.9062,0.9289,0.9380
12,0.5934,0.4426,0.8549,0.002856,0.7864,0.8951,0.8050,0.8877,0.7793,0.8741,0.7630,0.9651
13,0.5632,0.4507,0.8266,0.002783,0.7218,0.8764,0.7126,0.8937,0.6486,0.9630,0.5877,0.9612
14,0.5388,0.4506,0.8184,0.002705,0.7423,0.8697,0.7163,0.8832,0.8694,0.8321,0.5924,0.9380
15,0.5500,0.4760,0.8412,0.002623,0.7712,0.8810,0.7918,0.8774,0.7973,0.8321,0.7299,0.9845
16,0.6236,0.4678,0.8440,0.002537,0.7525,0.8939,0.7990,0.8943,0.8559,0.8741,0.7630,0.8527
17,0.5532,0.4136,0.8613,0.002448,0.7835,0.9040,0.7969,0.9101,0.8153,0.9185,0.7251,0.9225
18,0.5721,0.3742,0.8777,0.002356,0.7972,0.9177,0.8221,0.9240,0.7613,0.9358,0.8104,0.9419
19,0.5346,0.3680,0.8668,0.002260,0.7791,0.9131,0.8130,0.9035,0.7387,0.9605,0.7725,0.9070
20,0.5079,0.3621,0.8732,0.002163,0.7832,0.9117,0.8314,0.9209,0.7568,0.9556,0.8294,0.8798
21,0.5124,0.3863,0.8622,0.002063,0.7871,0.8939,0.8191,0.9008,0.7162,0.9778,0.7725,0.8798
22,0.5063,0.3785,0.8768,0.001962,0.8066,0.9153,0.8103,0.9205,0.7703,0.9605,0.7488,0.9419
23,0.4874,0.3466,0.8723,0.001859,0.8084,0.9155,0.8130,0.9002,0.7793,0.9630,0.7725,0.8915
24,0.4914,0.3687,0.8796,0.001756,0.8158,0.9176,0.8365,0.9112,0.8378,0.9210,0.8246,0.8953
25,0.4450,0.3638,0.8796,0.001652,0.8132,0.9220,0.8133,0.9202,0.8333,0.9333,0.7536,0.9380
26,0.4680,0.3689,0.8759,0.001548,0.8010,0.9139,0.8333,0.9048,0.7252,0.9432,0.8057,0.9574
27,0.4594,0.4015,0.8577,0.001445,0.7741,0.9236,0.8028,0.8790,0.8333,0.9259,0.8199,0.8023
28,0.4635,0.3898,0.8723,0.001343,0.8009,0.9212,0.8128,0.8986,0.7613,0.9235,0.7820,0.9612
