epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7202,0.4381,0.8285,0.000423,0.7155,0.8713,0.7720,0.9077,0.7703,0.8691,0.7062,0.9147
2,0.5554,0.6700,0.7235,0.000422,0.6491,0.8267,0.5017,0.7332,0.5541,0.8420,0.3412,0.9961
3,0.4895,0.4156,0.8385,0.000420,0.7412,0.8734,0.8070,0.9087,0.8514,0.8519,0.7630,0.8682
4,0.4660,0.4680,0.8120,0.000417,0.7305,0.8586,0.7794,0.8279,0.6532,0.8173,0.7536,0.9884
5,0.4066,0.3836,0.8513,0.000413,0.7590,0.8992,0.7789,0.9192,0.8514,0.8815,0.7014,0.9264
6,0.4195,0.4240,0.8312,0.000409,0.7164,0.8599,0.7937,0.9012,0.6486,0.9778,0.7204,0.8488
7,0.4213,0.4426,0.8193,0.000403,0.7031,0.8729,0.7024,0.8818,0.6081,0.9753,0.5592,0.9690
8,0.4050,0.3378,0.8659,0.000397,0.7537,0.9086,0.8253,0.9231,0.6892,0.9210,0.8957,0.9070
9,0.4123,0.3891,0.8431,0.000390,0.7530,0.8968,0.8039,0.8782,0.8378,0.9012,0.7773,0.8101
10,0.3722,0.3281,0.8613,0.000383,0.7536,0.9007,0.8030,0.9293,0.7162,0.9407,0.7630,0.9419
11,0.3845,0.3906,0.8476,0.000375,0.7446,0.8676,0.8453,0.9115,0.7748,0.7926,0.9194,0.9380
12,0.3907,0.3637,0.8476,0.000366,0.7832,0.8994,0.7728,0.8730,0.7568,0.8938,0.7014,0.9729
13,0.3674,0.3559,0.8540,0.000357,0.7617,0.8917,0.7851,0.9111,0.6982,0.9556,0.7014,0.9535
14,0.3685,0.3441,0.8622,0.000347,0.7805,0.9054,0.8031,0.8993,0.7207,0.9333,0.7441,0.9690
15,0.3494,0.3897,0.8440,0.000336,0.7621,0.8687,0.8274,0.8989,0.8514,0.7926,0.8294,0.9302
16,0.3752,0.3979,0.8303,0.000325,0.7845,0.8933,0.6949,0.8562,0.8198,0.8889,0.5450,0.9806
17,0.3450,0.3272,0.8668,0.000314,0.7785,0.9007,0.8317,0.9207,0.8153,0.8963,0.7962,0.9225
18,0.3542,0.3165,0.8759,0.000302,0.7866,0.9125,0.8383,0.9219,0.7387,0.9136,0.8720,0.9380
19,0.3203,0.3430,0.8650,0.000290,0.7755,0.8999,0.8051,0.9168,0.6847,0.9654,0.7441,0.9612
20,0.3416,0.3212,0.8777,0.000277,0.7737,0.9272,0.8348,0.9215,0.7162,0.9432,0.9100,0.8876
21,0.3302,0.3468,0.8668,0.000264,0.7859,0.9024,0.8235,0.9069,0.7523,0.9704,0.7630,0.8876
22,0.3083,0.3057,0.8796,0.000251,0.7952,0.9169,0.8206,0.9331,0.7523,0.9531,0.7915,0.9457
23,0.3157,0.2965,0.8805,0.000238,0.7886,0.9212,0.8368,0.9276,0.7477,0.9383,0.8626,0.9186
24,0.3278,0.3021,0.8750,0.000225,0.7916,0.9155,0.8157,0.9245,0.7613,0.9358,0.7867,0.9496
25,0.2936,0.3235,0.8631,0.000212,0.7621,0.9061,0.8122,0.9162,0.7432,0.9531,0.7583,0.9109
26,0.2904,0.3106,0.8786,0.000198,0.7811,0.9235,0.8378,0.9178,0.7072,0.9383,0.8815,0.9302
27,0.3020,0.3199,0.8759,0.000185,0.8026,0.9082,0.8479,0.9162,0.8333,0.8790,0.8720,0.9109
28,0.2964,0.3090,0.8759,0.000172,0.8062,0.9091,0.8329,0.9165,0.8153,0.9012,0.7915,0.9574
29,0.2832,0.3133,0.8714,0.000159,0.7958,0.9145,0.8094,0.9195,0.8604,0.9111,0.7346,0.9302
30,0.2781,0.2986,0.8823,0.000146,0.8037,0.9225,0.8293,0.9267,0.7928,0.9556,0.8057,0.9070
31,0.2808,0.3036,0.8786,0.000134,0.7953,0.9153,0.8314,0.9269,0.7613,0.9333,0.8294,0.9341
32,0.2755,0.2930,0.8869,0.000122,0.8216,0.9194,0.8308,0.9308,0.7883,0.9580,0.7915,0.9380
33,0.2680,0.2992,0.8786,0.000110,0.8085,0.9109,0.8274,0.9308,0.8559,0.9086,0.7725,0.9380
34,0.2698,0.3189,0.8732,0.000098,0.7992,0.9186,0.8062,0.9218,0.8694,0.9333,0.7393,0.8915
35,0.2612,0.3239,0.8659,0.000087,0.7868,0.8952,0.8436,0.9077,0.8063,0.8543,0.8436,0.9535
36,0.2635,0.2975,0.8841,0.000077,0.8000,0.9167,0.8435,0.9346,0.7477,0.9235,0.8815,0.9419
37,0.2613,0.3140,0.8786,0.000067,0.7925,0.9202,0.8362,0.9243,0.7568,0.9111,0.9194,0.8992
38,0.2643,0.2884,0.8859,0.000057,0.8182,0.9200,0.8408,0.9280,0.8514,0.9086,0.8009,0.9496
39,0.2549,0.3046,0.8659,0.000049,0.7747,0.9057,0.8384,0.9131,0.8288,0.8889,0.8483,0.8760
40,0.2477,0.2870,0.8896,0.000040,0.8054,0.9252,0.8475,0.9400,0.8108,0.9309,0.8294,0.9419
41,0.2431,0.3073,0.8641,0.000033,0.7769,0.8974,0.8346,0.9178,0.8468,0.8642,0.8009,0.9302
42,0.2368,0.2832,0.8914,0.000026,0.8117,0.9273,0.8495,0.9369,0.8153,0.9284,0.8294,0.9496
43,0.2406,0.2856,0.8905,0.000020,0.8108,0.9259,0.8488,0.9359,0.8108,0.9407,0.8246,0.9341
44,0.2395,0.3026,0.8741,0.000015,0.7917,0.9144,0.8325,0.9219,0.8559,0.8963,0.8009,0.9147
45,0.2393,0.2924,0.8869,0.000010,0.8065,0.9199,0.8498,0.9328,0.7883,0.9210,0.8578,0.9419
46,0.2349,0.2831,0.8923,0.000007,0.8148,0.9261,0.8558,0.9344,0.7928,0.9284,0.8720,0.9380
47,0.2338,0.2817,0.8923,0.000004,0.8170,0.9240,0.8537,0.9382,0.8243,0.9309,0.8294,0.9419
48,0.2298,0.2850,0.8878,0.000002,0.8125,0.9259,0.8354,0.9339,0.8198,0.9407,0.8057,0.9302
49,0.2340,0.2928,0.8823,0.000000,0.8009,0.9158,0.8467,0.9302,0.8243,0.9136,0.8246,0.9302
50,0.2263,0.2930,0.8777,0.000000,0.7930,0.9148,0.8424,0.9255,0.8198,0.9012,0.8483,0.9147
