epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7684,0.4668,0.8376,0.000609,0.7265,0.8606,0.8349,0.9123,0.8018,0.8000,0.8626,0.9070
2,0.5974,0.5396,0.7637,0.000607,0.7007,0.8438,0.6000,0.7812,0.6486,0.8469,0.4408,0.9961
3,0.5086,0.3802,0.8476,0.000604,0.7479,0.8929,0.7745,0.9181,0.7883,0.9062,0.6919,0.9341
4,0.4883,0.5052,0.8047,0.000600,0.7477,0.8303,0.7685,0.8411,0.7477,0.7432,0.7630,0.9845
5,0.4150,0.3760,0.8586,0.000595,0.7686,0.8991,0.7969,0.9251,0.8378,0.8914,0.7251,0.9341
6,0.4405,0.4061,0.8412,0.000588,0.7423,0.8760,0.7742,0.9124,0.7072,0.9679,0.6825,0.8876
7,0.4360,0.3754,0.8403,0.000581,0.7065,0.8851,0.7730,0.9071,0.6126,0.9704,0.6777,0.9651
8,0.4241,0.3308,0.8686,0.000572,0.7692,0.9062,0.8294,0.9193,0.7207,0.9185,0.8294,0.9496
9,0.4414,0.3774,0.8513,0.000562,0.7619,0.9048,0.8124,0.8852,0.8288,0.9037,0.8104,0.8217
10,0.3970,0.3379,0.8659,0.000552,0.7809,0.8962,0.8120,0.9210,0.6982,0.9704,0.7678,0.9264
11,0.3962,0.3566,0.8504,0.000540,0.7615,0.8770,0.8286,0.9038,0.7838,0.8272,0.8246,0.9651
12,0.4202,0.3415,0.8595,0.000527,0.8045,0.9133,0.7548,0.8909,0.7973,0.9358,0.6493,0.9651
13,0.3793,0.3462,0.8577,0.000514,0.7780,0.8946,0.7838,0.9111,0.7342,0.9531,0.6872,0.9535
14,0.3739,0.3369,0.8531,0.000499,0.7786,0.9002,0.7760,0.8941,0.7523,0.9136,0.7062,0.9651
15,0.3606,0.4181,0.8358,0.000484,0.7510,0.8556,0.8238,0.9006,0.8829,0.7753,0.7867,0.9302
16,0.3995,0.3597,0.8495,0.000468,0.7841,0.8983,0.7563,0.8949,0.8423,0.8938,0.6398,0.9574
17,0.3493,0.3204,0.8750,0.000452,0.7840,0.9093,0.8409,0.9280,0.7928,0.8914,0.8389,0.9496
18,0.3718,0.3382,0.8631,0.000435,0.7770,0.9023,0.8322,0.9023,0.7613,0.8667,0.8815,0.9302
19,0.3355,0.3420,0.8622,0.000417,0.7869,0.9080,0.7760,0.9074,0.7568,0.9630,0.6730,0.9496
20,0.3516,0.2954,0.8814,0.000399,0.7922,0.9220,0.8349,0.9261,0.7297,0.9481,0.8626,0.9225
21,0.3350,0.3510,0.8595,0.000381,0.7723,0.9020,0.8032,0.9062,0.7793,0.9654,0.7156,0.8798
22,0.3269,0.3015,0.8777,0.000362,0.7833,0.9180,0.8224,0.9290,0.7162,0.9679,0.8009,0.9380
23,0.3355,0.2957,0.8841,0.000343,0.8085,0.9271,0.8218,0.9242,0.7703,0.9580,0.7867,0.9457
24,0.3302,0.3050,0.8732,0.000324,0.8009,0.9193,0.8050,0.9125,0.7883,0.9284,0.7630,0.9496
25,0.2946,0.3182,0.8750,0.000305,0.7956,0.9136,0.8158,0.9258,0.8153,0.9531,0.7346,0.9186
26,0.3051,0.3003,0.8814,0.000286,0.7876,0.9265,0.8352,0.9261,0.7432,0.9333,0.8768,0.9225
27,0.3128,0.3286,0.8622,0.000267,0.7918,0.8889,0.8431,0.9059,0.8739,0.8395,0.8531,0.8953
28,0.3097,0.3063,0.8786,0.000248,0.8065,0.9107,0.8413,0.9179,0.7883,0.9062,0.8294,0.9535
29,0.2987,0.3062,0.8759,0.000229,0.8139,0.9148,0.8203,0.9125,0.8468,0.9012,0.7678,0.9496
30,0.3008,0.2977,0.8878,0.000211,0.8194,0.9246,0.8378,0.9304,0.8378,0.9383,0.8199,0.9070
31,0.2987,0.2957,0.8850,0.000193,0.8103,0.9218,0.8357,0.9269,0.7793,0.9457,0.8199,0.9341
32,0.2884,0.2878,0.8841,0.000175,0.8104,0.9208,0.8345,0.9248,0.7703,0.9333,0.8246,0.9535
33,0.2897,0.3004,0.8723,0.000158,0.7957,0.8997,0.8398,0.9248,0.8423,0.8642,0.8199,0.9535
34,0.2779,0.3207,0.8741,0.000142,0.7967,0.9149,0.8217,0.9243,0.8829,0.9160,0.7536,0.8992
35,0.2735,0.3193,0.8704,0.000126,0.8053,0.9012,0.8301,0.9118,0.8288,0.8667,0.8104,0.9612
36,0.2739,0.2949,0.8869,0.000111,0.8121,0.9282,0.8364,0.9279,0.7883,0.9259,0.8720,0.9225
37,0.2687,0.3053,0.8786,0.000096,0.8000,0.9237,0.8330,0.9155,0.7838,0.9111,0.8863,0.9031
38,0.2842,0.2947,0.8796,0.000083,0.8176,0.9175,0.8229,0.9179,0.8378,0.9062,0.7820,0.9535
39,0.2622,0.2928,0.8869,0.000070,0.8214,0.9276,0.8384,0.9203,0.8288,0.9333,0.8483,0.8953
40,0.2623,0.2887,0.8859,0.000058,0.8143,0.9217,0.8438,0.9276,0.8198,0.9160,0.8578,0.9186
41,0.2614,0.3096,0.8695,0.000047,0.7933,0.9017,0.8341,0.9192,0.8559,0.8716,0.8104,0.9264
