epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7689,0.4498,0.8412,0.000610,0.7329,0.8727,0.8252,0.9098,0.7973,0.8296,0.8389,0.8992
2,0.5880,0.6873,0.7144,0.000609,0.6803,0.8067,0.5320,0.7088,0.5991,0.7728,0.3744,1.0000
3,0.5055,0.3765,0.8495,0.000608,0.7505,0.8886,0.7990,0.9194,0.8063,0.8864,0.7536,0.9070
4,0.4866,0.5330,0.7920,0.000607,0.7258,0.8626,0.7158,0.7908,0.6261,0.8296,0.6445,0.9961
5,0.4225,0.4037,0.8403,0.000606,0.7520,0.8922,0.7563,0.9038,0.8604,0.8889,0.6398,0.9109
6,0.4444,0.4565,0.8148,0.000604,0.6861,0.8541,0.7268,0.9109,0.6351,0.9827,0.6114,0.8721
7,0.4311,0.4048,0.8312,0.000602,0.7037,0.8820,0.7437,0.8913,0.5991,0.9778,0.6256,0.9690
8,0.4220,0.3288,0.8650,0.000600,0.7605,0.9069,0.8211,0.9160,0.6937,0.9259,0.8483,0.9302
9,0.4573,0.3896,0.8440,0.000598,0.7623,0.8979,0.7962,0.8776,0.8378,0.9012,0.7867,0.8062
10,0.3920,0.3347,0.8595,0.000595,0.7685,0.8971,0.7842,0.9242,0.7252,0.9580,0.7062,0.9457
11,0.3979,0.3426,0.8677,0.000592,0.7783,0.9098,0.8279,0.9032,0.7117,0.8963,0.8436,0.9767
12,0.4226,0.3556,0.8476,0.000588,0.7868,0.9049,0.7293,0.8869,0.8063,0.9160,0.6066,0.9729
13,0.3933,0.3817,0.8495,0.000585,0.6934,0.8917,0.8159,0.9084,0.5450,0.9556,0.8294,0.9612
14,0.3726,0.3403,0.8577,0.000581,0.7778,0.9089,0.7813,0.8929,0.7252,0.9358,0.7109,0.9690
15,0.3651,0.4182,0.8394,0.000577,0.7589,0.8525,0.8276,0.9051,0.8649,0.7704,0.7962,0.9612
16,0.4841,0.2945,0.8859,0.000572,0.8292,0.9229,0.8250,0.9216,0.8198,0.9309,0.7820,0.9574
17,0.3105,0.2984,0.8777,0.000567,0.8145,0.9173,0.8281,0.9091,0.8604,0.9309,0.7536,0.9109
18,0.2767,0.3245,0.8869,0.000562,0.8182,0.9117,0.8621,0.9373,0.9324,0.8667,0.8294,0.9264
19,0.2477,0.2627,0.8805,0.000557,0.8244,0.9370,0.8153,0.8905,0.7928,0.9358,0.8057,0.9302
20,0.2319,0.2608,0.9033,0.000552,0.8596,0.9312,0.8612,0.9326,0.8829,0.9185,0.8531,0.9380
21,0.2128,0.2904,0.8832,0.000546,0.8380,0.9279,0.8318,0.8974,0.8739,0.9210,0.8436,0.8643
22,0.1863,0.2639,0.9015,0.000540,0.8720,0.9282,0.8477,0.9219,0.8288,0.9901,0.7915,0.9147
23,0.1786,0.2912,0.8850,0.000534,0.8089,0.9308,0.8551,0.9130,0.8964,0.8963,0.8389,0.8953
24,0.1884,0.3075,0.8741,0.000527,0.8105,0.9191,0.8165,0.9112,0.8378,0.8840,0.8436,0.9147
25,0.1393,0.3455,0.8832,0.000520,0.8455,0.9213,0.7911,0.9222,0.9369,0.9111,0.6730,0.9651
26,0.1493,0.3121,0.9033,0.000514,0.8738,0.9346,0.8278,0.9326,0.8423,0.9704,0.7630,0.9651
27,0.1369,0.3455,0.8786,0.000507,0.8312,0.8966,0.8578,0.9144,0.8874,0.8346,0.9147,0.9109
28,0.2664,0.2691,0.8951,0.000499,0.8341,0.9413,0.8232,0.9304,0.8604,0.9704,0.7725,0.9070
29,0.2045,0.2694,0.9005,0.000492,0.8653,0.9340,0.8396,0.9297,0.8829,0.9259,0.8436,0.9225
30,0.1508,0.3069,0.9033,0.000484,0.8737,0.9295,0.8549,0.9245,0.9189,0.9284,0.7820,0.9496
31,0.1665,0.2770,0.9005,0.000476,0.8516,0.9302,0.8502,0.9393,0.8919,0.9210,0.8341,0.9302
32,0.1267,0.2469,0.9179,0.000468,0.8744,0.9580,0.8565,0.9374,0.8153,0.9852,0.8483,0.9574
33,0.1202,0.3832,0.8832,0.000460,0.8286,0.9320,0.8301,0.9032,0.9144,0.9136,0.8104,0.8682
34,0.1219,0.7486,0.8476,0.000452,0.7870,0.9185,0.6687,0.9165,0.9820,0.8765,0.5166,0.9574
35,0.1173,0.2984,0.8987,0.000443,0.8252,0.9348,0.8526,0.9427,0.7973,0.9210,0.8910,0.9574
36,0.1080,0.3154,0.8987,0.000435,0.8493,0.9312,0.8557,0.9269,0.9009,0.9185,0.8152,0.9341
37,0.0943,0.2844,0.9033,0.000426,0.8633,0.9406,0.8552,0.9228,0.8964,0.9185,0.8815,0.9031
38,0.1051,0.3347,0.8932,0.000417,0.8434,0.9281,0.8564,0.9147,0.9099,0.9086,0.8199,0.9147
39,0.0906,0.4403,0.8677,0.000408,0.8075,0.9014,0.8432,0.8984,0.9640,0.8691,0.7773,0.8566
40,0.0969,0.2866,0.8996,0.000399,0.8513,0.9315,0.8673,0.9174,0.8378,0.9062,0.8673,0.9690
41,0.0628,0.4150,0.8841,0.000390,0.8300,0.9374,0.8080,0.9063,0.8468,0.9432,0.7678,0.9186
42,0.0842,0.3021,0.9051,0.000381,0.8708,0.9397,0.8405,0.9325,0.9414,0.9432,0.7867,0.9109
43,0.0832,0.3123,0.9078,0.000371,0.8577,0.9335,0.8785,0.9393,0.9099,0.9012,0.8910,0.9302
44,0.0753,0.3320,0.9069,0.000362,0.8633,0.9393,0.8714,0.9246,0.8964,0.9358,0.8673,0.9031
45,0.0670,0.4375,0.8932,0.000353,0.8372,0.9325,0.8325,0.9293,0.8919,0.9556,0.7773,0.8915
46,0.0618,0.2978,0.9206,0.000343,0.8828,0.9518,0.8776,0.9398,0.8649,0.9506,0.9005,0.9380
47,0.0573,0.3467,0.9060,0.000334,0.8753,0.9332,0.8434,0.9380,0.9009,0.9481,0.7915,0.9380
48,0.0354,0.3801,0.9097,0.000324,0.8633,0.9384,0.8600,0.9441,0.8964,0.9407,0.8152,0.9496
49,0.0451,0.4778,0.9024,0.000314,0.8565,0.9394,0.8491,0.9266,0.9144,0.9383,0.7867,0.9302
