epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7689,0.4498,0.8412,0.000610,0.7329,0.8727,0.8252,0.9098,0.7973,0.8296,0.8389,0.8992
2,0.5880,0.6873,0.7144,0.000609,0.6803,0.8067,0.5320,0.7088,0.5991,0.7728,0.3744,1.0000
3,0.5055,0.3765,0.8495,0.000608,0.7505,0.8886,0.7990,0.9194,0.8063,0.8864,0.7536,0.9070
4,0.4866,0.5330,0.7920,0.000607,0.7258,0.8626,0.7158,0.7908,0.6261,0.8296,0.6445,0.9961
5,0.4225,0.4037,0.8403,0.000606,0.7520,0.8922,0.7563,0.9038,0.8604,0.8889,0.6398,0.9109
6,0.4444,0.4565,0.8148,0.000604,0.6861,0.8541,0.7268,0.9109,0.6351,0.9827,0.6114,0.8721
7,0.4311,0.4048,0.8312,0.000602,0.7037,0.8820,0.7437,0.8913,0.5991,0.9778,0.6256,0.9690
8,0.4220,0.3288,0.8650,0.000600,0.7605,0.9069,0.8211,0.9160,0.6937,0.9259,0.8483,0.9302
9,0.4573,0.3896,0.8440,0.000598,0.7623,0.8979,0.7962,0.8776,0.8378,0.9012,0.7867,0.8062
10,0.3920,0.3347,0.8595,0.000595,0.7685,0.8971,0.7842,0.9242,0.7252,0.9580,0.7062,0.9457
11,0.3979,0.3426,0.8677,0.000592,0.7783,0.9098,0.8279,0.9032,0.7117,0.8963,0.8436,0.9767
12,0.4226,0.3556,0.8476,0.000588,0.7868,0.9049,0.7293,0.8869,0.8063,0.9160,0.6066,0.9729
13,0.3933,0.3817,0.8495,0.000585,0.6934,0.8917,0.8159,0.9084,0.5450,0.9556,0.8294,0.9612
14,0.3726,0.3403,0.8577,0.000581,0.7778,0.9089,0.7813,0.8929,0.7252,0.9358,0.7109,0.9690
15,0.3651,0.4182,0.8394,0.000577,0.7589,0.8525,0.8276,0.9051,0.8649,0.7704,0.7962,0.9612
16,0.4128,0.3927,0.8321,0.000572,0.7807,0.9011,0.6888,0.8567,0.8018,0.9111,0.5403,0.9729
17,0.3565,0.3190,0.8759,0.000567,0.7894,0.9163,0.8349,0.9228,0.8018,0.9185,0.8389,0.9031
18,0.3766,0.3455,0.8695,0.000562,0.7957,0.8946,0.8478,0.9168,0.8423,0.8593,0.8578,0.9186
19,0.3455,0.3605,0.8495,0.000557,0.7674,0.8978,0.7443,0.9022,0.7207,0.9654,0.6209,0.9651
20,0.3701,0.3009,0.8796,0.000552,0.7802,0.9229,0.8330,0.9291,0.7117,0.9457,0.8863,0.9147
21,0.3519,0.3920,0.8650,0.000546,0.7800,0.8954,0.7956,0.9254,0.7027,0.9827,0.6919,0.9612
22,0.3658,0.3195,0.8750,0.000540,0.7864,0.9064,0.8235,0.9313,0.7297,0.9679,0.7630,0.9457
23,0.3574,0.3049,0.8832,0.000534,0.7668,0.9229,0.8502,0.9352,0.6667,0.9605,0.9147,0.9225
24,0.3478,0.3170,0.8668,0.000527,0.7974,0.9140,0.8010,0.9013,0.8153,0.9185,0.7346,0.9380
25,0.3236,0.4384,0.8330,0.000520,0.7212,0.8731,0.7393,0.9071,0.6351,0.9852,0.6114,0.9457
26,0.3346,0.3461,0.8631,0.000514,0.7716,0.8987,0.8500,0.9035,0.8063,0.8543,0.8863,0.9070
27,0.3321,0.3053,0.8768,0.000507,0.8150,0.9187,0.8084,0.9138,0.8333,0.9210,0.7299,0.9651
28,0.3330,0.3547,0.8650,0.000499,0.7862,0.9141,0.7658,0.9315,0.8694,0.9333,0.6588,0.9225
29,0.3267,0.3025,0.8786,0.000492,0.8115,0.9175,0.8123,0.9242,0.8243,0.9333,0.7488,0.9457
30,0.3296,0.3077,0.8723,0.000484,0.8017,0.9171,0.8010,0.9209,0.8378,0.9284,0.7630,0.9031
31,0.4621,0.3118,0.8659,0.000476,0.7868,0.9186,0.7965,0.9023,0.6982,0.9753,0.8626,0.8411
32,0.3114,0.2799,0.8832,0.000468,0.7742,0.9340,0.8238,0.9271,0.6486,0.9778,0.8531,0.9612
33,0.2668,0.2682,0.8896,0.000460,0.8303,0.9308,0.8341,0.9277,0.9144,0.9136,0.8104,0.8953
34,0.2536,0.2609,0.8942,0.000452,0.8337,0.9170,0.8608,0.9437,0.9369,0.8864,0.8057,0.9419
35,0.2283,0.2769,0.8942,0.000443,0.8186,0.9203,0.8682,0.9474,0.8739,0.8691,0.9052,0.9419
36,0.2148,0.2637,0.9015,0.000435,0.8326,0.9371,0.8660,0.9352,0.8514,0.9383,0.8578,0.9225
37,0.1909,0.2841,0.8796,0.000426,0.8120,0.9316,0.8042,0.9210,0.9144,0.9086,0.7299,0.9264
38,0.1904,0.2793,0.8777,0.000417,0.8245,0.9169,0.8226,0.9094,0.9099,0.8988,0.7583,0.9147
39,0.1490,0.2907,0.8942,0.000408,0.8433,0.9317,0.8571,0.9087,0.8243,0.9605,0.8957,0.8488
40,0.1632,0.2766,0.8987,0.000399,0.8392,0.9402,0.8504,0.9216,0.8108,0.9506,0.8483,0.9341
41,0.1388,0.3487,0.8805,0.000390,0.8094,0.9335,0.8148,0.9173,0.9279,0.9185,0.7299,0.9031
42,0.1189,0.3295,0.8978,0.000381,0.8527,0.9377,0.8253,0.9293,0.8739,0.9481,0.7725,0.9419
43,0.1284,0.3233,0.8832,0.000371,0.8026,0.9131,0.8571,0.9349,0.8423,0.8691,0.9100,0.9186
44,0.1197,0.2850,0.9170,0.000362,0.8722,0.9538,0.8687,0.9382,0.8919,0.9432,0.8626,0.9419
45,0.2582,0.3408,0.8704,0.000353,0.8156,0.9152,0.7937,0.9080,0.8964,0.9457,0.7109,0.8605
46,0.2024,0.3035,0.8905,0.000343,0.8632,0.9261,0.8077,0.9283,0.9234,0.8815,0.7962,0.9535
47,0.1605,0.2745,0.9033,0.000334,0.8465,0.9397,0.8620,0.9341,0.9189,0.9235,0.8436,0.9070
48,0.1364,0.2720,0.9033,0.000324,0.8660,0.9360,0.8482,0.9280,0.9459,0.9210,0.7678,0.9496
49,0.1319,0.3798,0.8796,0.000314,0.8498,0.9043,0.8551,0.8901,0.8919,0.8395,0.8673,0.9419
