epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8587,0.6336,0.7491,0.000239,0.4935,0.8333,0.6684,0.8074,0.3423,0.9259,0.6209,0.9264
2,0.5990,0.5335,0.7938,0.000238,0.6684,0.8393,0.7385,0.8507,0.5811,0.9605,0.6825,0.8062
3,0.5108,0.4684,0.8248,0.000237,0.6792,0.8729,0.7763,0.8902,0.5676,0.9407,0.8057,0.8798
4,0.4729,0.4616,0.8157,0.000235,0.7455,0.8622,0.7461,0.8522,0.7387,0.8420,0.6825,0.9496
5,0.4606,0.4660,0.8148,0.000233,0.7035,0.8590,0.7385,0.8774,0.6306,0.9556,0.6493,0.8876
6,0.4269,0.4259,0.8266,0.000230,0.7387,0.8670,0.7680,0.8803,0.7387,0.9012,0.7062,0.8837
7,0.4042,0.4451,0.8312,0.000227,0.7368,0.8844,0.7322,0.8859,0.6937,0.9630,0.6351,0.9031
8,0.3981,0.4071,0.8412,0.000224,0.7413,0.8948,0.7804,0.8898,0.7162,0.9136,0.7915,0.8760
9,0.3878,0.4372,0.8367,0.000220,0.7545,0.8818,0.7728,0.8793,0.7477,0.9580,0.7014,0.8333
10,0.3877,0.4682,0.8184,0.000216,0.6780,0.8626,0.7753,0.8697,0.5405,0.9457,0.7441,0.9186
11,0.3743,0.3791,0.8513,0.000211,0.7536,0.8939,0.8029,0.8988,0.7027,0.9358,0.7915,0.8953
12,0.3531,0.3934,0.8440,0.000206,0.7553,0.8916,0.7930,0.8871,0.7162,0.8938,0.8531,0.8682
13,0.3525,0.3942,0.8522,0.000201,0.7822,0.9000,0.7870,0.8867,0.7928,0.9333,0.7441,0.8643
14,0.3349,0.3628,0.8659,0.000196,0.8063,0.9071,0.8030,0.8998,0.8063,0.9160,0.7630,0.9225
15,0.3326,0.3890,0.8549,0.000190,0.7793,0.9001,0.7907,0.8902,0.7477,0.9457,0.7251,0.9109
16,0.3331,0.3724,0.8549,0.000183,0.7612,0.9113,0.7918,0.8959,0.7252,0.9259,0.8199,0.8837
17,0.3236,0.3766,0.8513,0.000177,0.7722,0.8981,0.7981,0.8911,0.8018,0.9136,0.7773,0.8566
18,0.3263,0.3640,0.8522,0.000170,0.7463,0.9080,0.7945,0.8929,0.6757,0.9506,0.8246,0.8721
19,0.3226,0.3874,0.8549,0.000163,0.7548,0.8989,0.8020,0.9034,0.7072,0.9654,0.7583,0.8876
20,0.2989,0.3614,0.8741,0.000156,0.7914,0.9106,0.8314,0.9167,0.7432,0.9556,0.8294,0.8953
21,0.3075,0.3800,0.8577,0.000149,0.7824,0.8954,0.8076,0.9066,0.8018,0.8988,0.8057,0.8837
22,0.3018,0.3875,0.8513,0.000142,0.7703,0.8963,0.8010,0.8839,0.7477,0.9605,0.7630,0.8411
23,0.2860,0.3568,0.8631,0.000134,0.7875,0.9095,0.8047,0.9054,0.7928,0.9185,0.8199,0.8721
24,0.2830,0.3894,0.8586,0.000127,0.7937,0.9040,0.7906,0.8893,0.7883,0.9531,0.7156,0.8876
25,0.2756,0.3727,0.8613,0.000119,0.8018,0.9006,0.7918,0.8989,0.7838,0.9284,0.7299,0.9302
26,0.2801,0.3650,0.8531,0.000112,0.7685,0.9017,0.7955,0.8982,0.7477,0.9062,0.8389,0.8721
27,0.2807,0.3680,0.8677,0.000104,0.7940,0.9020,0.8305,0.9119,0.8333,0.8864,0.8246,0.9031
28,0.2503,0.3543,0.8604,0.000097,0.7842,0.9032,0.8039,0.9002,0.7613,0.9333,0.7867,0.8915
29,0.2649,0.3531,0.8604,0.000090,0.7788,0.9091,0.7981,0.8972,0.7297,0.9259,0.7867,0.9302
30,0.2410,0.3514,0.8595,0.000083,0.7707,0.9064,0.8029,0.9029,0.7342,0.9210,0.8009,0.9186
31,0.2561,0.3472,0.8686,0.000075,0.8090,0.9111,0.7950,0.9087,0.8108,0.9235,0.7536,0.9264
32,0.2447,0.3462,0.8704,0.000069,0.7953,0.9126,0.8068,0.9140,0.7613,0.9407,0.7820,0.9264
33,0.2329,0.3521,0.8677,0.000062,0.7954,0.9113,0.8047,0.9116,0.7793,0.9259,0.8104,0.8992
34,0.2367,0.3445,0.8695,0.000055,0.7971,0.9065,0.8145,0.9122,0.7523,0.9333,0.8009,0.9264
35,0.2438,0.3608,0.8695,0.000049,0.8037,0.9093,0.8101,0.9038,0.7748,0.9531,0.7583,0.9109
36,0.2410,0.3466,0.8622,0.000043,0.7877,0.9102,0.7971,0.8990,0.7523,0.9259,0.7915,0.9147
37,0.2389,0.3488,0.8641,0.000038,0.7824,0.9149,0.7887,0.9080,0.7207,0.9556,0.7962,0.8992
38,0.2455,0.3515,0.8741,0.000032,0.8176,0.9163,0.8100,0.9025,0.7973,0.9457,0.7678,0.9147
39,0.2339,0.3486,0.8668,0.000027,0.8090,0.9111,0.7920,0.9032,0.8108,0.9235,0.7488,0.9225
40,0.2290,0.3471,0.8686,0.000023,0.8037,0.9113,0.8010,0.9084,0.7928,0.9259,0.7725,0.9225
