epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8144,0.5805,0.7755,0.000316,0.5064,0.8565,0.7124,0.8507,0.3559,0.9432,0.7630,0.8837
2,0.5743,0.5669,0.7692,0.000315,0.5602,0.8222,0.7268,0.8402,0.4189,0.9877,0.6872,0.7946
3,0.5044,0.4685,0.8157,0.000313,0.6425,0.8733,0.7689,0.8800,0.5180,0.9531,0.8199,0.8527
4,0.4634,0.4631,0.8111,0.000311,0.7465,0.8593,0.7325,0.8443,0.7162,0.8519,0.6682,0.9457
5,0.4527,0.4580,0.8266,0.000308,0.7350,0.8740,0.7560,0.8664,0.6622,0.9333,0.6682,0.9302
6,0.4187,0.4276,0.8294,0.000305,0.7335,0.8719,0.7664,0.8868,0.7252,0.9160,0.6919,0.8953
7,0.4068,0.4312,0.8367,0.000301,0.7558,0.8915,0.7425,0.8797,0.7387,0.9432,0.6493,0.9070
8,0.3944,0.4146,0.8330,0.000296,0.7325,0.8831,0.7740,0.8795,0.6847,0.9136,0.7630,0.8915
9,0.3901,0.4371,0.8385,0.000291,0.7613,0.8817,0.7684,0.8853,0.7613,0.9481,0.6919,0.8527
10,0.3756,0.4542,0.8257,0.000286,0.6978,0.8754,0.7792,0.8655,0.5721,0.9457,0.7441,0.9225
11,0.3692,0.4011,0.8476,0.000280,0.7389,0.8904,0.8115,0.8920,0.6757,0.9531,0.8057,0.8643
12,0.3466,0.4060,0.8376,0.000273,0.7263,0.8968,0.7843,0.8737,0.6396,0.9333,0.8531,0.8450
13,0.3503,0.3937,0.8549,0.000266,0.7804,0.8997,0.7833,0.8949,0.7523,0.9630,0.7109,0.8915
14,0.3342,0.3719,0.8558,0.000259,0.8018,0.9016,0.7813,0.8835,0.8018,0.9160,0.7109,0.9264
15,0.3250,0.4211,0.8513,0.000251,0.7757,0.9015,0.7763,0.8830,0.7477,0.9605,0.6825,0.9070
16,0.3412,0.3699,0.8522,0.000243,0.7644,0.9025,0.7799,0.8994,0.7162,0.9259,0.7725,0.9186
17,0.3185,0.3796,0.8531,0.000234,0.7895,0.8983,0.7850,0.8902,0.8108,0.9160,0.7441,0.8798
18,0.3240,0.3754,0.8385,0.000225,0.7139,0.8930,0.7783,0.8919,0.6126,0.9481,0.8152,0.8798
19,0.3187,0.3906,0.8531,0.000216,0.7585,0.8943,0.7990,0.9020,0.7072,0.9605,0.7536,0.8915
20,0.2986,0.3705,0.8622,0.000207,0.7576,0.9076,0.8134,0.9063,0.6757,0.9704,0.8057,0.8992
21,0.2903,0.3671,0.8586,0.000197,0.7760,0.8962,0.8103,0.9084,0.7568,0.9062,0.8199,0.9031
22,0.2927,0.3917,0.8449,0.000188,0.7710,0.8992,0.7677,0.8780,0.7658,0.9580,0.7204,0.8372
23,0.2848,0.3607,0.8586,0.000178,0.7724,0.9122,0.8009,0.8950,0.7568,0.9235,0.8199,0.8760
24,0.2881,0.4140,0.8403,0.000168,0.7735,0.8841,0.7906,0.8600,0.7613,0.9605,0.7156,0.8217
25,0.2708,0.3819,0.8549,0.000158,0.7918,0.9043,0.7769,0.8885,0.7793,0.9333,0.7346,0.8953
26,0.2666,0.3761,0.8595,0.000148,0.7850,0.9086,0.7991,0.8941,0.7568,0.9210,0.8199,0.8837
27,0.2745,0.3826,0.8522,0.000138,0.7771,0.8883,0.8182,0.8933,0.8243,0.8741,0.8104,0.8760
28,0.2468,0.3638,0.8677,0.000128,0.7955,0.9106,0.8099,0.9055,0.7883,0.9432,0.7773,0.8915
29,0.2558,0.3635,0.8622,0.000119,0.7905,0.9005,0.8059,0.9021,0.7477,0.9383,0.7773,0.9109
30,0.2436,0.3537,0.8686,0.000109,0.7943,0.9128,0.8058,0.9087,0.7568,0.9309,0.7962,0.9264
31,0.2533,0.3582,0.8704,0.000100,0.8100,0.9146,0.8040,0.9021,0.8063,0.9383,0.7583,0.9109
32,0.2404,0.3588,0.8686,0.000091,0.7990,0.9061,0.8173,0.9052,0.7523,0.9407,0.8057,0.9070
33,0.2270,0.3602,0.8659,0.000082,0.8028,0.9108,0.8019,0.8984,0.7793,0.9333,0.7962,0.8915
