epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7741,0.5770,0.7591,0.003310,0.6265,0.8198,0.6842,0.8235,0.6081,0.8988,0.6161,0.7868
2,0.5927,0.5056,0.8020,0.003301,0.6333,0.8610,0.7500,0.8571,0.5135,0.9407,0.7251,0.8953
3,0.5552,0.5755,0.7838,0.003284,0.6648,0.8323,0.7147,0.8296,0.5450,0.9926,0.6351,0.7829
4,0.5308,0.5043,0.8038,0.003262,0.7221,0.8550,0.7390,0.8515,0.8018,0.8519,0.6777,0.8333
5,0.4849,0.4830,0.8330,0.003233,0.7482,0.8781,0.7621,0.8795,0.7027,0.9605,0.7062,0.8488
6,0.4809,0.4848,0.8120,0.003197,0.7366,0.8508,0.7627,0.8658,0.8694,0.8025,0.6777,0.8876
7,0.4727,0.4453,0.8276,0.003156,0.7506,0.8865,0.7481,0.8534,0.7117,0.9259,0.6967,0.8798
8,0.4394,0.5482,0.7765,0.003109,0.6957,0.8384,0.6386,0.8556,0.8649,0.7877,0.5024,0.9070
9,0.4202,0.4594,0.8349,0.003056,0.7154,0.8912,0.7896,0.8655,0.6171,0.9605,0.7915,0.8605
10,0.4002,0.4463,0.8385,0.002997,0.7433,0.8876,0.7822,0.8805,0.6847,0.9358,0.7915,0.8566
11,0.4181,0.4650,0.8166,0.002933,0.7166,0.8679,0.7643,0.8560,0.6892,0.9086,0.7299,0.8527
12,0.3963,0.4295,0.8394,0.002865,0.7709,0.8864,0.7943,0.8642,0.7883,0.8667,0.7962,0.8760
13,0.3877,0.4528,0.8431,0.002791,0.7708,0.8768,0.8131,0.8810,0.8333,0.8790,0.7630,0.8605
14,0.3926,0.4229,0.8422,0.002713,0.7828,0.8785,0.7815,0.8834,0.8198,0.8840,0.7204,0.8953
15,0.3695,0.4632,0.8349,0.002631,0.7531,0.8868,0.7963,0.8458,0.6937,0.9481,0.8246,0.7868
16,0.3676,0.4476,0.8403,0.002545,0.7709,0.8889,0.7807,0.8635,0.7883,0.9580,0.6919,0.8217
17,0.3710,0.4196,0.8394,0.002455,0.7636,0.8761,0.8108,0.8723,0.7928,0.8815,0.7820,0.8605
18,0.3426,0.4458,0.8485,0.002362,0.7402,0.8918,0.8039,0.8973,0.6802,0.9358,0.7773,0.9147
19,0.3376,0.4655,0.8303,0.002267,0.7379,0.8746,0.7747,0.8720,0.6847,0.9556,0.7251,0.8450
20,0.3290,0.4242,0.8586,0.002169,0.7506,0.8990,0.8040,0.9159,0.6712,0.9778,0.7678,0.9070
21,0.3219,0.4510,0.8385,0.002069,0.7758,0.8847,0.7595,0.8784,0.7793,0.9185,0.7109,0.8682
22,0.3265,0.4703,0.8367,0.001967,0.7306,0.8844,0.7972,0.8694,0.6351,0.9630,0.8199,0.8256
23,0.3256,0.4386,0.8431,0.001864,0.7588,0.8815,0.8058,0.8737,0.6802,0.9556,0.7962,0.8450
24,0.3180,0.4005,0.8540,0.001761,0.7973,0.8982,0.7918,0.8786,0.8063,0.9259,0.7299,0.8837
25,0.3101,0.3955,0.8577,0.001657,0.8000,0.8978,0.8061,0.8802,0.7928,0.9432,0.7488,0.8682
26,0.3017,0.3991,0.8485,0.001553,0.7909,0.8897,0.7817,0.8818,0.7838,0.9062,0.7299,0.9109
27,0.2746,0.4096,0.8586,0.001449,0.7902,0.9010,0.8040,0.8846,0.7297,0.9556,0.7678,0.8915
28,0.2814,0.3845,0.8613,0.001346,0.7850,0.9028,0.8166,0.8924,0.7568,0.9407,0.7915,0.8837
29,0.2826,0.4066,0.8586,0.001245,0.7923,0.9076,0.7876,0.8933,0.8333,0.9333,0.7204,0.8760
30,0.3005,0.3679,0.8604,0.001145,0.7775,0.8976,0.8230,0.8994,0.7477,0.9309,0.8152,0.8837
31,0.2796,0.3777,0.8668,0.001047,0.7862,0.9071,0.8224,0.9080,0.7703,0.9160,0.8341,0.8992
32,0.2626,0.3934,0.8549,0.000951,0.7852,0.8966,0.8090,0.8862,0.8153,0.9210,0.7630,0.8605
33,0.2468,0.3855,0.8686,0.000859,0.8038,0.9033,0.8325,0.8946,0.7658,0.9457,0.8246,0.8721
34,0.2462,0.3735,0.8604,0.000769,0.7991,0.9011,0.8020,0.8915,0.7703,0.9333,0.7773,0.8915
35,0.2478,0.3907,0.8577,0.000683,0.8019,0.8986,0.7918,0.8854,0.7748,0.9630,0.7299,0.8682
36,0.2540,0.3735,0.8631,0.000601,0.7953,0.9097,0.8000,0.8919,0.7703,0.9580,0.7583,0.8798
37,0.2327,0.3662,0.8650,0.000523,0.7796,0.9093,0.8197,0.9032,0.7568,0.9407,0.8294,0.8682
38,0.2443,0.3754,0.8695,0.000449,0.7963,0.9093,0.8282,0.9014,0.7748,0.9407,0.8341,0.8682
39,0.2424,0.3904,0.8604,0.000380,0.7952,0.8940,0.8168,0.8920,0.7523,0.9580,0.7820,0.8643
40,0.2355,0.3770,0.8677,0.000316,0.7991,0.9001,0.8309,0.9018,0.7703,0.9457,0.8152,0.8721
41,0.2069,0.3727,0.8695,0.000258,0.7953,0.9097,0.8286,0.8990,0.7613,0.9457,0.8246,0.8798
42,0.2349,0.3707,0.8695,0.000205,0.7991,0.9069,0.8297,0.9008,0.7793,0.9383,0.8199,0.8798
43,0.2246,0.3680,0.8686,0.000158,0.7937,0.9067,0.8322,0.9026,0.7883,0.9235,0.8341,0.8798
44,0.2199,0.3717,0.8732,0.000116,0.8102,0.9065,0.8378,0.9004,0.7883,0.9457,0.8199,0.8760
45,0.2194,0.3683,0.8695,0.000081,0.7972,0.9063,0.8297,0.9026,0.7703,0.9432,0.8199,0.8798
46,0.2147,0.3720,0.8741,0.000052,0.8019,0.9102,0.8373,0.9058,0.7748,0.9506,0.8294,0.8760
47,0.2182,0.3712,0.8759,0.000029,0.8047,0.9112,0.8393,0.9080,0.7793,0.9506,0.8294,0.8798
48,0.2175,0.3709,0.8732,0.000013,0.7991,0.9091,0.8365,0.9062,0.7703,0.9506,0.8246,0.8798
49,0.2137,0.3710,0.8732,0.000003,0.7991,0.9091,0.8365,0.9062,0.7703,0.9506,0.8246,0.8798
50,0.2142,0.3708,0.8723,0.000000,0.7991,0.9091,0.8337,0.9044,0.7703,0.9506,0.8199,0.8798
