epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8143,0.6290,0.7536,0.000303,0.3958,0.8300,0.7002,0.8533,0.2523,0.9704,0.7251,0.8682
2,0.5765,0.5533,0.7737,0.000302,0.5757,0.8261,0.7300,0.8425,0.4369,0.9852,0.6919,0.7984
3,0.5031,0.4800,0.8130,0.000300,0.6364,0.8726,0.7642,0.8768,0.5045,0.9556,0.8294,0.8411
4,0.4655,0.4744,0.8066,0.000298,0.7472,0.8546,0.7154,0.8444,0.7523,0.8346,0.6256,0.9574
5,0.4567,0.4831,0.8120,0.000295,0.7171,0.8629,0.7049,0.8692,0.6622,0.9481,0.5829,0.9147
6,0.4200,0.4337,0.8339,0.000292,0.7477,0.8770,0.7579,0.8889,0.7207,0.9333,0.6825,0.8992
7,0.3951,0.4444,0.8239,0.000288,0.7246,0.8777,0.7273,0.8779,0.6757,0.9654,0.6256,0.8915
8,0.4016,0.4140,0.8385,0.000284,0.7476,0.8868,0.7770,0.8836,0.7072,0.9284,0.7678,0.8682
9,0.3868,0.4414,0.8394,0.000279,0.7580,0.8856,0.7792,0.8765,0.7477,0.9654,0.7109,0.8256
10,0.3849,0.4418,0.8294,0.000274,0.7131,0.8756,0.7792,0.8723,0.5991,0.9383,0.7441,0.9264
11,0.3677,0.3834,0.8476,0.000268,0.7463,0.8933,0.7920,0.8944,0.6892,0.9506,0.7488,0.9031
12,0.3533,0.3954,0.8412,0.000262,0.7208,0.8951,0.7885,0.8932,0.6396,0.9160,0.8483,0.8915
13,0.3502,0.4047,0.8449,0.000255,0.7714,0.8897,0.7769,0.8819,0.7523,0.9556,0.7014,0.8682
14,0.3357,0.3889,0.8504,0.000248,0.7775,0.8972,0.7800,0.8885,0.7477,0.9160,0.7393,0.9264
15,0.3311,0.4011,0.8458,0.000240,0.7578,0.8899,0.7918,0.8834,0.7117,0.9481,0.7299,0.8953
16,0.3330,0.3873,0.8485,0.000233,0.7482,0.9015,0.7849,0.8936,0.6892,0.9383,0.7867,0.8953
17,0.3154,0.3704,0.8568,0.000224,0.7946,0.9042,0.7871,0.8885,0.7928,0.9210,0.7536,0.8953
18,0.3171,0.3813,0.8449,0.000216,0.7325,0.9016,0.7882,0.8833,0.6351,0.9506,0.8199,0.8798
19,0.3184,0.3948,0.8568,0.000207,0.7731,0.9059,0.7899,0.8968,0.7523,0.9630,0.7393,0.8760
20,0.2958,0.3810,0.8513,0.000198,0.7574,0.8966,0.7904,0.8986,0.6892,0.9630,0.7773,0.8760
21,0.2899,0.3601,0.8604,0.000189,0.7788,0.8981,0.8150,0.9073,0.7613,0.9136,0.8246,0.8915
22,0.2901,0.3922,0.8485,0.000180,0.7714,0.8948,0.7817,0.8880,0.7523,0.9556,0.7299,0.8605
23,0.2922,0.3790,0.8540,0.000170,0.7727,0.9044,0.8027,0.8907,0.7658,0.9111,0.8578,0.8372
24,0.2777,0.4105,0.8467,0.000161,0.8018,0.8922,0.7721,0.8645,0.8198,0.9506,0.6825,0.8411
25,0.2812,0.3846,0.8540,0.000151,0.7898,0.9044,0.7778,0.8837,0.7703,0.9457,0.7299,0.8837
26,0.2654,0.3667,0.8613,0.000142,0.7832,0.9111,0.7971,0.8984,0.7568,0.9358,0.7915,0.8915
27,0.2739,0.3735,0.8577,0.000132,0.7809,0.8980,0.8077,0.9041,0.8108,0.8914,0.7962,0.8953
28,0.2481,0.3709,0.8613,0.000123,0.7937,0.9069,0.7949,0.8958,0.7973,0.9383,0.7346,0.8992
29,0.2540,0.3734,0.8595,0.000114,0.7800,0.9082,0.7891,0.8939,0.7027,0.9654,0.7536,0.9147
30,0.2521,0.3669,0.8586,0.000105,0.7740,0.9071,0.7864,0.9046,0.7252,0.9407,0.7678,0.9186
31,0.2553,0.3604,0.8732,0.000096,0.8172,0.9155,0.8030,0.9067,0.8153,0.9358,0.7536,0.9225
32,0.2451,0.3712,0.8631,0.000087,0.7835,0.9089,0.7942,0.9063,0.7252,0.9481,0.7773,0.9186
33,0.2261,0.3734,0.8604,0.000078,0.7897,0.9089,0.8019,0.8885,0.7613,0.9358,0.7962,0.8798
34,0.2349,0.3622,0.8704,0.000070,0.8047,0.9139,0.8000,0.9077,0.7703,0.9432,0.7583,0.9341
35,0.2443,0.3702,0.8650,0.000062,0.7991,0.9059,0.8051,0.8988,0.7793,0.9506,0.7536,0.8953
36,0.2392,0.3590,0.8641,0.000055,0.7896,0.9111,0.7932,0.9049,0.7523,0.9358,0.7725,0.9225
