epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.7652,0.5834,0.7774,0.000360,0.5143,0.8675,0.7203,0.8425,0.3649,0.9136,0.8483,0.8605
2,0.5543,0.5328,0.7765,0.000359,0.5824,0.8276,0.7444,0.8374,0.4459,0.9778,0.7109,0.7984
3,0.4875,0.4950,0.8093,0.000357,0.6059,0.8661,0.7696,0.8802,0.4640,0.9580,0.8152,0.8682
4,0.4427,0.4529,0.8212,0.000355,0.7477,0.8629,0.7629,0.8601,0.7477,0.8395,0.7014,0.9535
5,0.4332,0.4583,0.8212,0.000352,0.7376,0.8731,0.7308,0.8602,0.6712,0.9259,0.6303,0.9419
6,0.4034,0.4553,0.8193,0.000348,0.7373,0.8663,0.7278,0.8750,0.7207,0.9358,0.6398,0.8682
7,0.3844,0.4742,0.8184,0.000343,0.7332,0.8743,0.7052,0.8682,0.7117,0.9704,0.5782,0.8682
8,0.3855,0.4224,0.8321,0.000338,0.7566,0.8795,0.7700,0.8732,0.7703,0.9012,0.7536,0.8411
9,0.3828,0.4387,0.8349,0.000333,0.7506,0.8767,0.7652,0.8920,0.7658,0.9309,0.6872,0.8643
10,0.3537,0.4474,0.8312,0.000326,0.7104,0.8838,0.7934,0.8606,0.5856,0.9012,0.8009,0.9574
11,0.3504,0.3952,0.8495,0.000319,0.7322,0.8931,0.8068,0.9029,0.6712,0.9383,0.7820,0.9186
12,0.3268,0.4088,0.8412,0.000312,0.7340,0.8936,0.7905,0.8808,0.6712,0.9333,0.7867,0.8876
13,0.3353,0.3840,0.8504,0.000304,0.7613,0.9071,0.7807,0.8929,0.7613,0.9284,0.7678,0.8721
14,0.3150,0.3809,0.8568,0.000295,0.7783,0.9069,0.7877,0.8947,0.7748,0.9259,0.7299,0.9225
15,0.3070,0.4827,0.8330,0.000286,0.7589,0.8779,0.7380,0.8800,0.7162,0.9679,0.6209,0.8953
16,0.3094,0.3758,0.8558,0.000277,0.7648,0.9118,0.7925,0.8935,0.7252,0.9185,0.8057,0.9109
17,0.3001,0.3986,0.8558,0.000267,0.7890,0.9006,0.7950,0.8946,0.8423,0.9062,0.7536,0.8721
18,0.2969,0.3707,0.8504,0.000257,0.7524,0.9069,0.7897,0.8872,0.6982,0.9383,0.8009,0.8837
