epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,1.1496,0.7889,0.6515,0.001350,0.1181,0.7351,0.6342,0.7566,0.0631,0.9012,0.7109,0.7171
2,0.8051,0.8364,0.6852,0.001346,0.4752,0.7590,0.6985,0.6380,0.3243,0.9679,0.7630,0.4884
3,0.7637,0.7206,0.7327,0.001340,0.4658,0.8104,0.6899,0.7878,0.3063,0.9235,0.7962,0.7481
4,0.6896,0.6984,0.7527,0.001330,0.6441,0.8256,0.7062,0.7512,0.5991,0.9235,0.7346,0.6318
5,0.6946,0.6437,0.7546,0.001318,0.6099,0.8149,0.6817,0.8066,0.5000,0.8914,0.6445,0.8488
6,0.6479,0.6506,0.7637,0.001304,0.6400,0.8240,0.6941,0.8208,0.5766,0.8494,0.7204,0.8256
7,0.6310,0.6713,0.7692,0.001287,0.6683,0.8199,0.7228,0.8008,0.6171,0.8765,0.6919,0.7946
8,0.5957,0.7343,0.7546,0.001268,0.6471,0.8155,0.6934,0.8008,0.6441,0.8296,0.6967,0.7791
9,0.5781,0.6775,0.7564,0.001246,0.6596,0.8051,0.7213,0.7689,0.5586,0.9333,0.7299,0.6705
10,0.5726,0.7376,0.7336,0.001222,0.6585,0.8123,0.6887,0.7359,0.7252,0.7481,0.8389,0.6318
11,0.5516,0.6662,0.7765,0.001196,0.6425,0.8231,0.7208,0.8373,0.5586,0.8790,0.6730,0.8876
12,0.5118,0.6230,0.7737,0.001168,0.6464,0.8186,0.7290,0.8211,0.5270,0.8914,0.7204,0.8450
13,0.5004,0.6522,0.7555,0.001138,0.6409,0.8074,0.6987,0.8044,0.5225,0.8074,0.7915,0.8450
14,0.4802,0.6998,0.7874,0.001107,0.6992,0.8503,0.7375,0.7992,0.6126,0.8765,0.8389,0.7558
15,0.4952,0.6462,0.7965,0.001073,0.6615,0.8397,0.7544,0.8535,0.5721,0.8988,0.7062,0.9031
16,0.4896,0.5740,0.7901,0.001038,0.7162,0.8317,0.7198,0.8364,0.7387,0.8543,0.6209,0.8721
17,0.4295,0.6534,0.7883,0.001001,0.6954,0.8300,0.7557,0.8141,0.5811,0.8617,0.7915,0.8488
18,0.4431,0.6791,0.7828,0.000963,0.6961,0.8277,0.7143,0.8218,0.6036,0.8840,0.6635,0.8760
19,0.4051,0.6548,0.7856,0.000925,0.7206,0.8434,0.7226,0.8075,0.7027,0.8444,0.7962,0.7558
20,0.4158,0.7486,0.7929,0.000885,0.6611,0.8426,0.7591,0.8291,0.5315,0.8790,0.7915,0.8837
21,0.3969,0.6892,0.7765,0.000844,0.6180,0.8219,0.7512,0.8247,0.4955,0.9630,0.7156,0.7752
22,0.3945,0.6760,0.7874,0.000802,0.7042,0.8228,0.7500,0.8307,0.6757,0.7852,0.7678,0.9031
23,0.3648,0.6806,0.8038,0.000760,0.7259,0.8481,0.7366,0.8448,0.6622,0.8617,0.7156,0.9070
24,0.3485,0.7203,0.7984,0.000718,0.6933,0.8571,0.7459,0.8263,0.6261,0.9111,0.7583,0.8023
25,0.3612,0.7070,0.7883,0.000676,0.7012,0.8449,0.7335,0.8115,0.6712,0.8741,0.7109,0.8178
26,0.3277,0.7648,0.7974,0.000633,0.7176,0.8325,0.7488,0.8402,0.6351,0.8346,0.7630,0.9070
27,0.2875,0.7561,0.8002,0.000591,0.7222,0.8389,0.7512,0.8339,0.6441,0.8617,0.7299,0.8953
28,0.2816,0.8272,0.7984,0.000549,0.7010,0.8491,0.7392,0.8343,0.6441,0.9309,0.6919,0.8101
29,0.3031,0.9205,0.8002,0.000508,0.7027,0.8631,0.7450,0.8230,0.7027,0.9185,0.7062,0.7752
30,0.2700,0.8098,0.7819,0.000467,0.7077,0.8381,0.7189,0.8142,0.7252,0.8247,0.7393,0.7984
31,0.2682,0.9439,0.8038,0.000427,0.7366,0.8498,0.7452,0.8336,0.7117,0.8519,0.7346,0.8643
32,0.2570,0.8676,0.8075,0.000388,0.7368,0.8551,0.7506,0.8333,0.6937,0.8667,0.7346,0.8721
33,0.2628,0.7732,0.7901,0.000350,0.7146,0.8413,0.7348,0.8220,0.7387,0.8247,0.7156,0.8411
34,0.2487,0.8720,0.7993,0.000314,0.7217,0.8551,0.7470,0.8226,0.7477,0.8667,0.7346,0.7907
35,0.2403,0.8078,0.8011,0.000279,0.7304,0.8536,0.7392,0.8286,0.7568,0.8494,0.6919,0.8527
36,0.2303,0.7793,0.8057,0.000245,0.7422,0.8500,0.7597,0.8259,0.6937,0.8395,0.7867,0.8643
37,0.2174,0.8121,0.8038,0.000213,0.7376,0.8465,0.7630,0.8237,0.7027,0.8444,0.7630,0.8605
38,0.2089,0.8114,0.7901,0.000183,0.7059,0.8392,0.7363,0.8216,0.6757,0.8568,0.7014,0.8566
39,0.2307,0.7722,0.7929,0.000155,0.7172,0.8452,0.7335,0.8202,0.7027,0.8494,0.7109,0.8488
40,0.2040,0.8459,0.7938,0.000129,0.7072,0.8466,0.7389,0.8273,0.7072,0.8519,0.7109,0.8450
41,0.1916,0.8894,0.8011,0.000105,0.7165,0.8557,0.7400,0.8362,0.7342,0.8642,0.7014,0.8411
42,0.1954,0.8484,0.7938,0.000084,0.7146,0.8453,0.7322,0.8324,0.7387,0.8296,0.7062,0.8566
43,0.1785,0.8572,0.7929,0.000064,0.7152,0.8471,0.7355,0.8226,0.7523,0.8346,0.6919,0.8450
44,0.1718,0.8482,0.7938,0.000047,0.7094,0.8529,0.7291,0.8273,0.7477,0.8444,0.6825,0.8450
45,0.1773,0.8584,0.7974,0.000033,0.7112,0.8575,0.7313,0.8324,0.7432,0.8543,0.6967,0.8372
46,0.1893,0.8516,0.8029,0.000021,0.7156,0.8568,0.7500,0.8356,0.7252,0.8642,0.7251,0.8372
47,0.1691,0.8519,0.8002,0.000012,0.7105,0.8589,0.7382,0.8346,0.7297,0.8642,0.7014,0.8411
48,0.1883,0.8532,0.8002,0.000005,0.7095,0.8599,0.7382,0.8324,0.7207,0.8716,0.7014,0.8372
49,0.1918,0.8491,0.7974,0.000001,0.7093,0.8554,0.7368,0.8298,0.7252,0.8617,0.6967,0.8411
50,0.1882,0.8488,0.7965,0.000000,0.7064,0.8554,0.7350,0.8298,0.7207,0.8617,0.6967,0.8411
