epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8310,0.6030,0.7838,0.000216,0.6897,0.8179,0.7469,0.8300,0.6306,0.8815,0.7204,0.8140
2,0.5846,0.5692,0.7819,0.000215,0.6916,0.8307,0.7440,0.8153,0.6667,0.8296,0.8057,0.7868
3,0.5016,0.6745,0.7454,0.000214,0.4128,0.8191,0.7198,0.8214,0.2613,0.8889,0.8341,0.8643
4,0.4638,0.6695,0.7454,0.000213,0.7112,0.7507,0.7084,0.7965,0.7432,0.6395,0.7773,0.8876
5,0.4064,0.5971,0.7901,0.000211,0.6952,0.8453,0.7330,0.8221,0.6216,0.8840,0.7678,0.8062
6,0.3806,0.6204,0.7692,0.000208,0.7186,0.8133,0.7124,0.7887,0.7477,0.7531,0.6398,0.9186
7,0.3417,0.6210,0.7838,0.000206,0.7311,0.8226,0.7333,0.8102,0.7838,0.7901,0.6777,0.8605
8,0.3189,0.6127,0.7993,0.000203,0.7453,0.8364,0.7481,0.8205,0.7117,0.8963,0.6967,0.8062
9,0.2871,0.6610,0.7984,0.000199,0.7183,0.8558,0.7348,0.8212,0.6892,0.8938,0.7156,0.8101
10,0.2735,0.6237,0.7947,0.000195,0.7200,0.8467,0.7494,0.8028,0.6081,0.8593,0.7583,0.8837
11,0.2333,0.6941,0.7956,0.000191,0.7252,0.8382,0.7361,0.8340,0.7072,0.8444,0.7204,0.8566
12,0.2450,0.6467,0.8011,0.000187,0.7463,0.8426,0.7198,0.8413,0.6892,0.8988,0.7062,0.8217
13,0.1975,0.7134,0.7737,0.000182,0.7046,0.8150,0.7188,0.8137,0.7252,0.8049,0.6967,0.8295
14,0.2113,0.6875,0.7920,0.000177,0.7113,0.8441,0.7010,0.8417,0.6937,0.8889,0.6445,0.8450
15,0.1878,0.7281,0.7965,0.000172,0.7190,0.8455,0.7232,0.8451,0.7432,0.8444,0.6872,0.8566
16,0.1879,0.7760,0.7774,0.000166,0.6978,0.8381,0.6833,0.8216,0.7748,0.8691,0.5829,0.7946
17,0.1672,0.7938,0.7938,0.000160,0.7361,0.8432,0.7037,0.8259,0.7162,0.8765,0.6303,0.8643
18,0.1668,0.7049,0.7929,0.000154,0.6921,0.8512,0.7393,0.8317,0.6937,0.8617,0.7393,0.8140
19,0.1476,0.7925,0.7801,0.000148,0.7165,0.8317,0.6705,0.8239,0.7342,0.8420,0.5545,0.9070
20,0.1348,0.7761,0.7974,0.000141,0.7269,0.8387,0.7506,0.8305,0.7072,0.8346,0.7630,0.8450
