epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.9077,0.6545,0.7646,0.000590,0.6977,0.7918,0.7466,0.8007,0.7432,0.7185,0.7820,0.8411
2,0.6516,0.5701,0.7984,0.000589,0.7192,0.8483,0.7438,0.8277,0.6577,0.8494,0.7773,0.8566
3,0.5707,0.6438,0.7628,0.000586,0.5229,0.8274,0.7216,0.8327,0.3604,0.8938,0.8294,0.8488
4,0.5045,0.6444,0.7445,0.000582,0.7095,0.7452,0.7027,0.8041,0.7703,0.6247,0.7393,0.9147
5,0.4380,0.6569,0.7701,0.000577,0.6366,0.8114,0.7309,0.8187,0.5090,0.8765,0.7014,0.8837
6,0.4273,0.6597,0.7619,0.000570,0.6908,0.7929,0.7380,0.8098,0.8604,0.7185,0.6540,0.8333
7,0.3858,0.7163,0.7664,0.000563,0.6955,0.8052,0.7162,0.8087,0.7613,0.7704,0.6398,0.8682
8,0.3929,0.6592,0.7746,0.000554,0.7004,0.8208,0.6931,0.8288,0.7477,0.8370,0.6209,0.8256
9,0.3680,0.5830,0.7929,0.000545,0.7126,0.8469,0.7299,0.8237,0.6757,0.8469,0.7299,0.8605
10,0.3313,0.5985,0.8084,0.000535,0.7566,0.8477,0.7692,0.8202,0.7072,0.8519,0.7820,0.8488
11,0.2851,0.7483,0.7810,0.000523,0.7375,0.8247,0.6723,0.8219,0.7658,0.8247,0.5640,0.9031
12,0.2888,0.6497,0.7947,0.000511,0.7114,0.8422,0.7549,0.8206,0.6441,0.8370,0.8246,0.8333
13,0.2740,0.6378,0.7847,0.000498,0.7118,0.8303,0.7368,0.8178,0.7342,0.7975,0.7299,0.8527
14,0.2752,0.7286,0.7892,0.000484,0.7299,0.8375,0.7027,0.8171,0.6937,0.9160,0.6161,0.8140
15,0.2372,0.8371,0.7783,0.000469,0.6925,0.8420,0.7024,0.8240,0.7658,0.8222,0.6825,0.7984
16,0.2337,0.7348,0.7856,0.000454,0.7137,0.8391,0.7006,0.8303,0.8198,0.8691,0.5877,0.7868
17,0.2143,0.9919,0.7911,0.000438,0.6976,0.8440,0.7183,0.8294,0.6441,0.9284,0.6588,0.8101
18,0.2216,0.7823,0.7892,0.000421,0.7016,0.8397,0.7355,0.8382,0.7838,0.8148,0.6919,0.8333
19,0.1908,0.6992,0.7965,0.000404,0.7193,0.8518,0.6942,0.8451,0.7387,0.8938,0.5972,0.8566
20,0.1822,0.8125,0.8093,0.000387,0.7263,0.8565,0.7596,0.8387,0.6396,0.8765,0.8009,0.8566
21,0.1799,0.9729,0.7664,0.000369,0.6993,0.8011,0.7273,0.8073,0.6757,0.7259,0.8341,0.8527
22,0.1646,0.8644,0.8029,0.000351,0.7314,0.8652,0.7406,0.8142,0.7297,0.9037,0.7441,0.7558
23,0.1625,0.8028,0.8157,0.000333,0.7557,0.8706,0.7389,0.8395,0.7523,0.8889,0.7109,0.8411
24,0.1407,0.9936,0.7956,0.000314,0.7273,0.8555,0.6971,0.8229,0.7027,0.9136,0.6161,0.8372
25,0.1304,1.1276,0.8029,0.000296,0.7289,0.8508,0.7406,0.8356,0.7207,0.8938,0.6967,0.8178
26,0.1298,0.9404,0.8148,0.000277,0.7459,0.8713,0.7434,0.8377,0.7207,0.9111,0.7346,0.8101
27,0.1072,0.8275,0.8029,0.000258,0.7414,0.8571,0.7167,0.8372,0.7297,0.8741,0.7014,0.8372
28,0.1108,0.9418,0.7993,0.000240,0.7336,0.8536,0.7255,0.8308,0.7568,0.8494,0.7014,0.8372
29,0.0938,1.1150,0.8066,0.000222,0.7399,0.8503,0.7436,0.8343,0.6982,0.9259,0.6872,0.8101
30,0.0989,0.9804,0.8020,0.000204,0.7427,0.8525,0.7147,0.8333,0.7477,0.8988,0.6351,0.8333
31,0.0808,0.9806,0.8102,0.000187,0.7517,0.8652,0.7177,0.8358,0.7297,0.9037,0.6445,0.8682
32,0.0851,0.9842,0.7993,0.000170,0.7265,0.8506,0.7249,0.8372,0.7477,0.8716,0.6682,0.8372
33,0.0841,0.9137,0.8111,0.000153,0.7347,0.8592,0.7494,0.8459,0.7297,0.8741,0.7014,0.8721
34,0.0720,1.0625,0.7901,0.000137,0.7093,0.8456,0.7336,0.8219,0.7252,0.8519,0.7441,0.7868
35,0.0784,1.0853,0.8084,0.000122,0.7366,0.8604,0.7481,0.8274,0.7117,0.9358,0.7109,0.7713
36,0.0632,1.0212,0.8130,0.000107,0.7347,0.8627,0.7494,0.8494,0.7297,0.8840,0.7156,0.8527
37,0.0663,0.9824,0.8166,0.000093,0.7500,0.8609,0.7570,0.8479,0.7568,0.8790,0.7014,0.8643
38,0.0608,1.0136,0.8184,0.000080,0.7439,0.8719,0.7494,0.8491,0.7523,0.9160,0.7014,0.8178
39,0.0576,0.9779,0.8084,0.000068,0.7406,0.8571,0.7566,0.8327,0.7523,0.8593,0.7441,0.8295
40,0.0569,0.9626,0.8130,0.000056,0.7467,0.8603,0.7519,0.8409,0.7568,0.8741,0.6967,0.8605
41,0.0564,1.0208,0.8093,0.000046,0.7304,0.8596,0.7581,0.8398,0.7568,0.8691,0.7204,0.8333
42,0.0516,1.0106,0.8102,0.000037,0.7439,0.8564,0.7500,0.8393,0.7523,0.8691,0.6967,0.8605
43,0.0450,1.0475,0.8120,0.000028,0.7438,0.8616,0.7469,0.8405,0.7387,0.8914,0.7062,0.8372
44,0.0372,1.0594,0.8111,0.000021,0.7500,0.8578,0.7512,0.8346,0.7432,0.8790,0.7156,0.8411
45,0.0443,1.0501,0.8139,0.000014,0.7506,0.8568,0.7569,0.8419,0.7387,0.8790,0.7156,0.8566
46,0.0366,1.0608,0.8102,0.000009,0.7438,0.8565,0.7574,0.8340,0.7387,0.8765,0.7251,0.8372
47,0.0444,1.0585,0.8084,0.000005,0.7416,0.8575,0.7481,0.8340,0.7432,0.8765,0.7109,0.8372
48,0.0418,1.0600,0.8093,0.000002,0.7444,0.8575,0.7500,0.8340,0.7477,0.8765,0.7109,0.8372
49,0.0420,1.0588,0.8084,0.000001,0.7416,0.8575,0.7481,0.8340,0.7432,0.8765,0.7109,0.8372
50,0.0494,1.0582,0.8084,0.000000,0.7416,0.8575,0.7481,0.8340,0.7432,0.8765,0.7109,0.8372
