epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8890,0.6596,0.7637,0.000557,0.6680,0.8167,0.7366,0.7955,0.7477,0.8469,0.7156,0.6860
2,0.6105,0.5903,0.7828,0.000555,0.7005,0.8290,0.7420,0.8115,0.6216,0.7901,0.8246,0.8760
3,0.5374,0.6129,0.7619,0.000552,0.5524,0.8145,0.7321,0.8177,0.3919,0.9432,0.7251,0.8256
4,0.4813,0.6559,0.7217,0.000548,0.6585,0.7452,0.6413,0.8076,0.8423,0.6247,0.5592,0.9031
5,0.4187,0.6280,0.7765,0.000544,0.6301,0.8352,0.7373,0.8201,0.4910,0.8444,0.8910,0.8217
6,0.4065,0.5481,0.7920,0.000538,0.7176,0.8517,0.7056,0.8268,0.7613,0.8790,0.6303,0.8140
7,0.3560,0.6851,0.7792,0.000531,0.7061,0.8293,0.7154,0.8182,0.7793,0.8099,0.6493,0.8372
8,0.3243,0.7161,0.7673,0.000523,0.7103,0.8042,0.7040,0.8117,0.8063,0.7605,0.6256,0.8605
9,0.3014,0.6562,0.7956,0.000514,0.7277,0.8543,0.7018,0.8309,0.7523,0.8543,0.6303,0.8760
10,0.2821,0.5826,0.7965,0.000504,0.7183,0.8468,0.7459,0.8168,0.6261,0.8395,0.7583,0.9070
11,0.2347,0.6509,0.7984,0.000493,0.7028,0.8551,0.7315,0.8425,0.6712,0.8741,0.7488,0.8295
12,0.2565,0.7131,0.8075,0.000482,0.7383,0.8499,0.7557,0.8433,0.7117,0.8247,0.7915,0.8760
13,0.2245,0.7770,0.7491,0.000469,0.6544,0.8064,0.6967,0.8081,0.8018,0.7506,0.6588,0.7752
14,0.2249,0.7050,0.8029,0.000456,0.7361,0.8520,0.7109,0.8480,0.7477,0.8741,0.6351,0.8760
15,0.1849,0.9536,0.7783,0.000442,0.6983,0.8442,0.6807,0.8139,0.7297,0.8963,0.6114,0.7713
16,0.2004,0.7768,0.8057,0.000428,0.7361,0.8618,0.7309,0.8303,0.7162,0.9086,0.7014,0.8062
17,0.1701,0.7239,0.8020,0.000413,0.7300,0.8541,0.7444,0.8158,0.6577,0.9037,0.7109,0.8411
18,0.1640,0.7862,0.7901,0.000397,0.7269,0.8535,0.6878,0.8147,0.7252,0.8988,0.6161,0.8178
19,0.1401,0.7660,0.7865,0.000381,0.6945,0.8295,0.7506,0.8327,0.7117,0.7926,0.7773,0.8488
20,0.1465,0.8636,0.7993,0.000365,0.7214,0.8538,0.7390,0.8202,0.6532,0.9086,0.7583,0.7868
21,0.1410,0.8219,0.7664,0.000348,0.6928,0.8037,0.7156,0.8275,0.7973,0.7432,0.7156,0.8178
22,0.1349,0.8341,0.7883,0.000331,0.7231,0.8449,0.6967,0.8288,0.7117,0.8543,0.6967,0.8256
23,0.1182,0.7820,0.7956,0.000313,0.7210,0.8505,0.7241,0.8333,0.7568,0.8568,0.6967,0.8140
24,0.1010,1.0293,0.7828,0.000296,0.7039,0.8255,0.7192,0.8374,0.7387,0.8000,0.6919,0.8682
25,0.1048,1.0555,0.7901,0.000279,0.7143,0.8474,0.7146,0.8221,0.6982,0.8914,0.7062,0.7791
26,0.0925,0.9413,0.7911,0.000261,0.7249,0.8428,0.7190,0.8255,0.7658,0.8272,0.6730,0.8527
27,0.0852,0.8937,0.7929,0.000244,0.7173,0.8426,0.7347,0.8285,0.7658,0.8395,0.6825,0.8333
28,0.0909,0.8992,0.8057,0.000226,0.7294,0.8623,0.7301,0.8346,0.7162,0.8889,0.6730,0.8605
29,0.0765,0.9707,0.7901,0.000209,0.7293,0.8410,0.7124,0.8190,0.7523,0.8617,0.6398,0.8333
30,0.0642,1.0173,0.8020,0.000192,0.7240,0.8544,0.7530,0.8247,0.7207,0.8765,0.7441,0.8023
31,0.0629,1.0525,0.8120,0.000176,0.7383,0.8666,0.7411,0.8427,0.7117,0.9062,0.7393,0.8101
32,0.0512,1.0414,0.7874,0.000160,0.6960,0.8444,0.7258,0.8337,0.7838,0.8444,0.6588,0.8062
33,0.0718,0.9004,0.8066,0.000144,0.7414,0.8619,0.7186,0.8395,0.7297,0.8938,0.6777,0.8411
34,0.0523,1.0305,0.8093,0.000129,0.7333,0.8605,0.7350,0.8439,0.6937,0.9062,0.6967,0.8488
35,0.0539,0.9531,0.8139,0.000115,0.7409,0.8704,0.7438,0.8396,0.7342,0.9037,0.7156,0.8217
36,0.0419,1.0256,0.8148,0.000101,0.7500,0.8638,0.7342,0.8482,0.7162,0.9160,0.6872,0.8450
37,0.0482,0.9589,0.8093,0.000088,0.7452,0.8631,0.7268,0.8439,0.7838,0.8716,0.6682,0.8488
