epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.9554,0.7079,0.7327,0.000597,0.6053,0.7914,0.6761,0.7860,0.5631,0.8198,0.6825,0.7829
2,0.6692,0.6358,0.7564,0.000596,0.6298,0.7987,0.7082,0.8076,0.5135,0.8914,0.6730,0.8217
3,0.5886,0.7616,0.6907,0.000593,0.2703,0.7621,0.6714,0.7769,0.1577,0.8346,0.6730,0.9380
4,0.5598,0.5753,0.7956,0.000588,0.7084,0.8411,0.7431,0.8312,0.6622,0.8691,0.7062,0.8682
5,0.5059,0.6438,0.7418,0.000583,0.5209,0.8009,0.7202,0.7949,0.3649,0.8395,0.8294,0.8411
6,0.5108,0.5694,0.7828,0.000577,0.6830,0.8451,0.7065,0.8139,0.6261,0.8889,0.6445,0.8643
7,0.4556,0.6481,0.7655,0.000569,0.6240,0.8205,0.6761,0.8349,0.5495,0.9309,0.5687,0.8527
8,0.4437,0.6785,0.7838,0.000561,0.6931,0.8342,0.7477,0.8058,0.6306,0.8198,0.7725,0.8682
9,0.4339,0.6817,0.7582,0.000551,0.6417,0.8248,0.7422,0.7315,0.5405,0.9531,0.7915,0.6124
10,0.3894,0.6221,0.7938,0.000541,0.7118,0.8431,0.7512,0.8122,0.6396,0.8494,0.7441,0.8798
11,0.4033,0.6156,0.7901,0.000529,0.7143,0.8402,0.6931,0.8346,0.6532,0.9086,0.6209,0.8605
12,0.3859,0.5950,0.8093,0.000517,0.7236,0.8650,0.7648,0.8247,0.6486,0.8938,0.8246,0.8023
13,0.3572,0.5974,0.8029,0.000504,0.7119,0.8638,0.7560,0.8242,0.6847,0.8691,0.8152,0.7907
14,0.3559,0.8046,0.7646,0.000489,0.6775,0.8414,0.6497,0.7982,0.7523,0.9235,0.5450,0.7054
15,0.3472,0.6899,0.7783,0.000475,0.6746,0.8427,0.6859,0.8216,0.6396,0.9259,0.6209,0.7946
16,0.3392,0.8331,0.7536,0.000459,0.6911,0.8263,0.6866,0.7517,0.7658,0.8519,0.7062,0.6279
17,0.3438,0.7174,0.7929,0.000443,0.7031,0.8498,0.7358,0.8279,0.7252,0.8519,0.7062,0.8295
18,0.3196,0.7068,0.7911,0.000426,0.7080,0.8441,0.7224,0.8343,0.7207,0.8420,0.6967,0.8488
19,0.2994,0.6817,0.7819,0.000409,0.7200,0.8397,0.6827,0.8094,0.6892,0.8667,0.6066,0.8721
20,0.2983,0.7393,0.8020,0.000391,0.7243,0.8505,0.7434,0.8350,0.6982,0.8988,0.7346,0.7946
21,0.2903,0.7353,0.7956,0.000373,0.7261,0.8534,0.7153,0.8276,0.7342,0.8840,0.6967,0.7907
22,0.2761,0.7470,0.7792,0.000355,0.6994,0.8393,0.6877,0.8284,0.7703,0.8444,0.6209,0.8140
23,0.2677,0.6699,0.7938,0.000336,0.7039,0.8454,0.7264,0.8317,0.6532,0.9111,0.6919,0.8140
24,0.2431,0.8305,0.7819,0.000318,0.6957,0.8419,0.6935,0.8132,0.6486,0.8938,0.6114,0.8605
25,0.2529,0.7913,0.7965,0.000299,0.7189,0.8461,0.7361,0.8300,0.7027,0.8889,0.7204,0.7946
26,0.2451,0.7460,0.7920,0.000280,0.7045,0.8494,0.7255,0.8298,0.6982,0.8494,0.7204,0.8411
27,0.2030,0.9428,0.7892,0.000261,0.7129,0.8551,0.6851,0.8333,0.8108,0.8667,0.5877,0.8140
28,0.2154,0.8636,0.7974,0.000243,0.7219,0.8561,0.7338,0.8273,0.7658,0.8519,0.7251,0.7984
29,0.2079,0.8112,0.8038,0.000225,0.7146,0.8642,0.7356,0.8350,0.6937,0.9111,0.7251,0.7946
30,0.2004,0.9010,0.7920,0.000207,0.7163,0.8387,0.7286,0.8273,0.6937,0.8667,0.6872,0.8450
31,0.1998,0.8614,0.8084,0.000189,0.7335,0.8672,0.7255,0.8421,0.7252,0.9111,0.7014,0.8062
32,0.1993,0.8231,0.7901,0.000172,0.7173,0.8333,0.7435,0.8304,0.7658,0.8025,0.7488,0.8256
