epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,0.9065,0.6404,0.7500,0.9955,0.000100
2,0.6056,0.5954,0.7562,0.9911,0.000100
3,0.5400,0.5208,0.7929,0.9964,0.000099
4,0.4876,0.5284,0.7866,0.9929,0.000098
5,0.4512,0.4532,0.8071,0.9973,0.000098
6,0.4417,0.4257,0.8455,0.9955,0.000096
7,0.4448,0.4319,0.8286,0.9964,0.000095
8,0.4246,0.4371,0.8232,0.9982,0.000094
9,0.4272,0.4188,0.8339,0.9955,0.000092
10,0.4214,0.4550,0.8152,0.9955,0.000090
11,0.4067,0.3903,0.8527,0.9973,0.000089
12,0.4012,0.4049,0.8348,0.9973,0.000086
13,0.3913,0.3859,0.8464,0.9991,0.000084
14,0.3919,0.4073,0.8420,0.9955,0.000082
15,0.3839,0.3780,0.8518,0.9964,0.000079
16,0.3901,0.3924,0.8473,0.9964,0.000077
17,0.3850,0.3798,0.8536,0.9973,0.000074
18,0.3855,0.3663,0.8571,0.9964,0.000071
19,0.3710,0.3705,0.8545,0.9982,0.000068
20,0.3915,0.3777,0.8536,0.9982,0.000065
21,0.3565,0.3803,0.8554,0.9973,0.000062
22,0.3802,0.4055,0.8339,0.9973,0.000059
23,0.3634,0.3655,0.8571,0.9973,0.000056
24,0.3648,0.3631,0.8545,0.9982,0.000053
25,0.3561,0.3646,0.8589,0.9991,0.000050
26,0.3593,0.3742,0.8518,0.9964,0.000047
27,0.3632,0.3883,0.8464,0.9982,0.000044
28,0.3483,0.3654,0.8562,0.9973,0.000041
29,0.3563,0.3674,0.8545,0.9964,0.000038
30,0.3419,0.3584,0.8625,0.9973,0.000035
31,0.3321,0.3557,0.8652,0.9973,0.000032
32,0.3519,0.3556,0.8670,0.9955,0.000029
33,0.3551,0.3616,0.8616,0.9964,0.000026
34,0.3428,0.3502,0.8607,0.9982,0.000023
35,0.3511,0.3653,0.8607,0.9964,0.000021
36,0.3366,0.3441,0.8714,0.9973,0.000018
37,0.3413,0.3470,0.8696,0.9964,0.000016
38,0.3338,0.3429,0.8643,0.9973,0.000014
39,0.3277,0.3437,0.8670,0.9982,0.000011
40,0.3295,0.3441,0.8714,0.9964,0.000010
41,0.3334,0.3477,0.8679,0.9964,0.000008
42,0.3337,0.3496,0.8643,0.9973,0.000006
43,0.3270,0.3459,0.8696,0.9955,0.000005
44,0.3195,0.3451,0.8705,0.9973,0.000004
45,0.3329,0.3482,0.8670,0.9955,0.000002
46,0.3148,0.3469,0.8723,0.9991,0.000002
47,0.3261,0.3496,0.8661,0.9973,0.000001
48,0.3265,0.3439,0.8661,0.9982,0.000000
49,0.3159,0.3501,0.8634,0.9964,0.000000
50,0.3387,0.3545,0.8598,0.9991,0.000000
