epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,0.9033,0.7593,0.7259,0.9857,0.000100
2,0.5983,0.6462,0.7679,0.9938,0.000100
3,0.5269,0.5946,0.7741,0.9929,0.000099
4,0.4850,0.5656,0.7893,0.9920,0.000098
5,0.4650,0.5416,0.7920,0.9946,0.000098
6,0.4406,0.5401,0.8000,0.9946,0.000096
7,0.4312,0.5222,0.7964,0.9955,0.000095
8,0.4278,0.5107,0.8054,0.9973,0.000094
9,0.4109,0.5113,0.7955,0.9964,0.000092
10,0.3927,0.4841,0.8134,0.9973,0.000090
11,0.4142,0.4789,0.8152,1.0000,0.000089
12,0.3940,0.4746,0.8223,0.9964,0.000086
13,0.3743,0.4765,0.8205,0.9955,0.000084
14,0.3771,0.4711,0.8205,0.9991,0.000082
15,0.3780,0.4665,0.8179,1.0000,0.000079
16,0.3533,0.4559,0.8232,1.0000,0.000077
17,0.3562,0.4631,0.8223,0.9982,0.000074
18,0.3492,0.4546,0.8241,1.0000,0.000071
19,0.3378,0.4563,0.8268,0.9982,0.000068
20,0.3284,0.4570,0.8304,0.9982,0.000065
21,0.3417,0.4434,0.8241,0.9973,0.000062
22,0.3393,0.4476,0.8277,0.9991,0.000059
23,0.3418,0.4499,0.8232,0.9982,0.000056
24,0.3322,0.4471,0.8196,1.0000,0.000053
25,0.3202,0.4444,0.8250,0.9991,0.000050
26,0.3293,0.4418,0.8277,0.9991,0.000047
27,0.3273,0.4408,0.8232,0.9991,0.000044
28,0.3158,0.4365,0.8277,0.9982,0.000041
29,0.3264,0.4390,0.8295,0.9991,0.000038
30,0.3168,0.4365,0.8295,1.0000,0.000035
31,0.3284,0.4327,0.8321,0.9973,0.000032
32,0.3054,0.4302,0.8286,0.9973,0.000029
33,0.3228,0.4350,0.8330,0.9955,0.000026
34,0.3114,0.4336,0.8268,0.9991,0.000023
35,0.3084,0.4338,0.8304,1.0000,0.000021
36,0.3084,0.4300,0.8286,0.9991,0.000018
37,0.3113,0.4310,0.8357,0.9991,0.000016
38,0.3051,0.4270,0.8366,0.9982,0.000014
39,0.3155,0.4267,0.8357,0.9991,0.000011
40,0.2999,0.4276,0.8375,0.9973,0.000010
41,0.3090,0.4256,0.8366,0.9982,0.000008
42,0.2941,0.4256,0.8348,0.9982,0.000006
43,0.3002,0.4257,0.8348,0.9991,0.000005
44,0.3046,0.4247,0.8339,0.9991,0.000004
45,0.3088,0.4247,0.8348,1.0000,0.000002
46,0.3109,0.4245,0.8348,1.0000,0.000002
47,0.2970,0.4248,0.8330,1.0000,0.000001
48,0.2946,0.4247,0.8348,1.0000,0.000000
49,0.3017,0.4247,0.8348,1.0000,0.000000
50,0.3076,0.4247,0.8348,1.0000,0.000000
