epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,0.8636,0.7336,0.7328,0.9891,0.000100
2,0.5639,0.6286,0.7754,0.9909,0.000100
3,0.5136,0.5773,0.7862,0.9928,0.000100
4,0.4687,0.5590,0.7926,0.9928,0.000100
5,0.4549,0.5345,0.8025,0.9946,0.000099
6,0.4437,0.5282,0.8134,0.9955,0.000099
7,0.4316,0.5065,0.8071,0.9955,0.000099
8,0.4008,0.4941,0.8179,0.9991,0.000098
9,0.4027,0.4943,0.8071,0.9982,0.000098
10,0.3928,0.4811,0.8216,0.9973,0.000098
11,0.3818,0.4731,0.8265,0.9991,0.000097
12,0.3852,0.4750,0.8179,0.9991,0.000096
13,0.3774,0.4728,0.8234,0.9973,0.000096
14,0.3579,0.4645,0.8243,0.9991,0.000095
15,0.3506,0.4668,0.8247,1.0000,0.000095
16,0.3540,0.4671,0.8216,1.0000,0.000094
17,0.3397,0.4617,0.8188,1.0000,0.000093
18,0.3393,0.4492,0.8225,0.9973,0.000092
19,0.3481,0.4576,0.8243,0.9991,0.000091
20,0.3145,0.5121,0.7912,0.9946,0.000090
21,0.3315,0.4470,0.8207,1.0000,0.000090
22,0.3274,0.4317,0.8243,0.9991,0.000089
23,0.3094,0.4345,0.8315,0.9991,0.000088
24,0.3402,0.4346,0.8351,1.0000,0.000086
25,0.3174,0.4308,0.8333,1.0000,0.000085
26,0.3176,0.4258,0.8297,0.9991,0.000084
27,0.3162,0.4388,0.8320,0.9955,0.000083
28,0.3005,0.4316,0.8306,0.9973,0.000082
29,0.3118,0.4268,0.8383,0.9991,0.000081
30,0.2981,0.4344,0.8270,1.0000,0.000079
31,0.2948,0.4154,0.8315,0.9991,0.000078
32,0.2926,0.4175,0.8361,0.9991,0.000077
33,0.2901,0.4250,0.8356,0.9982,0.000075
34,0.2883,0.4194,0.8388,0.9973,0.000074
35,0.2995,0.4128,0.8388,1.0000,0.000073
36,0.2866,0.4084,0.8415,0.9973,0.000071
37,0.2828,0.4137,0.8261,0.9982,0.000070
38,0.2729,0.4159,0.8351,0.9991,0.000068
39,0.2685,0.4139,0.8329,0.9982,0.000067
40,0.2832,0.4151,0.8320,0.9973,0.000065
41,0.2698,0.4136,0.8351,0.9982,0.000064
42,0.2728,0.4084,0.8451,0.9973,0.000062
43,0.2817,0.4154,0.8374,0.9991,0.000061
44,0.2634,0.4070,0.8351,1.0000,0.000059
45,0.2639,0.4097,0.8361,1.0000,0.000058
46,0.2669,0.4038,0.8406,1.0000,0.000056
47,0.2719,0.4001,0.8442,1.0000,0.000055
48,0.2653,0.4051,0.8351,1.0000,0.000053
49,0.2663,0.4037,0.8406,1.0000,0.000052
50,0.2551,0.4084,0.8415,0.9991,0.000050
51,0.2590,0.4063,0.8406,1.0000,0.000048
52,0.2595,0.4024,0.8460,0.9991,0.000047
53,0.2491,0.4079,0.8361,1.0000,0.000045
54,0.2492,0.4121,0.8397,1.0000,0.000044
55,0.2514,0.4015,0.8469,0.9991,0.000042
56,0.2493,0.4049,0.8442,0.9991,0.000041
57,0.2558,0.3956,0.8487,0.9982,0.000039
58,0.2549,0.3945,0.8460,1.0000,0.000038
59,0.2495,0.3937,0.8478,1.0000,0.000036
60,0.2474,0.3933,0.8501,1.0000,0.000035
61,0.2551,0.3929,0.8456,1.0000,0.000033
62,0.2442,0.3963,0.8469,0.9991,0.000032
63,0.2463,0.4001,0.8447,1.0000,0.000030
64,0.2489,0.3942,0.8447,0.9991,0.000029
65,0.2463,0.3951,0.8456,0.9991,0.000027
66,0.2377,0.3908,0.8465,0.9991,0.000026
67,0.2417,0.3940,0.8474,1.0000,0.000025
68,0.2362,0.3960,0.8483,0.9991,0.000023
69,0.2428,0.3943,0.8474,0.9991,0.000022
70,0.2503,0.3185,0.8804,1.0000,0.000021
71,0.1958,0.2938,0.8904,1.0000,0.000019
72,0.1781,0.2795,0.8986,0.9991,0.000018
73,0.1586,0.2843,0.8958,1.0000,0.000017
74,0.1497,0.2821,0.8967,0.9982,0.000016
75,0.1470,0.2801,0.9022,0.9991,0.000015
76,0.1323,0.2621,0.9130,0.9991,0.000014
77,0.1283,0.2440,0.9149,1.0000,0.000012
78,0.1148,0.2884,0.8999,0.9982,0.000011
79,0.1068,0.2817,0.9035,0.9982,0.000010
80,0.1080,0.2582,0.9049,1.0000,0.000010
81,0.1034,0.2776,0.8931,1.0000,0.000009
82,0.1069,0.2536,0.9067,1.0000,0.000008
83,0.0884,0.2644,0.9031,0.9991,0.000007
84,0.0894,0.2713,0.8986,0.9991,0.000006
85,0.0893,0.2699,0.9026,1.0000,0.000005
86,0.0864,0.2666,0.9076,0.9991,0.000005
87,0.0845,0.2945,0.8986,0.9991,0.000004
88,0.0806,0.2788,0.9008,1.0000,0.000004
89,0.0762,0.2809,0.9013,1.0000,0.000003
90,0.0796,0.2820,0.9004,0.9991,0.000002
91,0.0704,0.2848,0.9031,0.9991,0.000002
92,0.0784,0.2813,0.9008,0.9991,0.000002
93,0.0722,0.2855,0.9022,0.9991,0.000001
94,0.0705,0.2788,0.9049,0.9991,0.000001
95,0.0675,0.2840,0.9022,0.9991,0.000001
96,0.0718,0.2834,0.9049,0.9991,0.000000
97,0.0684,0.2848,0.9031,0.9991,0.000000
