epoch,train_loss,val_loss,val_acc_top1,val_acc_top3,lr
1,0.7775,0.8652,0.6777,0.9732,0.000100
2,0.5330,0.7129,0.7179,0.9804,0.000100
3,0.5035,0.6432,0.7411,0.9920,0.000099
4,0.4514,0.5508,0.7830,0.9946,0.000098
5,0.4274,0.5415,0.7884,0.9920,0.000098
6,0.3983,0.5432,0.7902,0.9902,0.000096
7,0.4035,0.5675,0.7688,0.9893,0.000095
8,0.3547,0.5212,0.8036,0.9902,0.000094
9,0.3613,0.5482,0.7991,0.9929,0.000092
10,0.3422,0.5267,0.8125,0.9938,0.000090
11,0.3358,0.5126,0.7991,0.9946,0.000089
12,0.3088,0.5698,0.7964,0.9911,0.000086
13,0.3101,0.5467,0.8009,0.9920,0.000084
14,0.3049,0.5220,0.8009,0.9946,0.000082
15,0.2896,0.5181,0.8045,0.9955,0.000079
16,0.2761,0.5741,0.8054,0.9955,0.000077
17,0.2734,0.5350,0.8009,0.9946,0.000074
18,0.2593,0.5394,0.8071,0.9911,0.000071
19,0.2509,0.6204,0.7786,0.9938,0.000068
20,0.2544,0.5735,0.7982,0.9920,0.000065
21,0.2351,0.5991,0.7884,0.9938,0.000062
22,0.2370,0.5878,0.8054,0.9911,0.000059
23,0.2148,0.6367,0.7964,0.9911,0.000056
24,0.2099,0.6119,0.8089,0.9911,0.000053
25,0.2126,0.6108,0.7982,0.9920,0.000050
26,0.2095,0.5854,0.8125,0.9911,0.000047
27,0.1845,0.6021,0.7982,0.9902,0.000044
28,0.1907,0.5990,0.8161,0.9884,0.000041
29,0.1870,0.5952,0.8250,0.9902,0.000038
30,0.1737,0.6125,0.8223,0.9920,0.000035
31,0.1813,0.5998,0.8089,0.9938,0.000032
32,0.1604,0.6210,0.8241,0.9920,0.000029
33,0.1713,0.6416,0.8018,0.9946,0.000026
34,0.1442,0.6665,0.8098,0.9902,0.000023
35,0.1514,0.6579,0.8196,0.9911,0.000021
36,0.1422,0.6858,0.8179,0.9911,0.000018
37,0.1506,0.6935,0.8170,0.9893,0.000016
38,0.1410,0.6895,0.8196,0.9902,0.000014
39,0.1392,0.6805,0.8089,0.9911,0.000011
40,0.1366,0.6806,0.8170,0.9938,0.000010
41,0.1381,0.6764,0.8134,0.9902,0.000008
42,0.1196,0.6838,0.8134,0.9938,0.000006
43,0.1432,0.6829,0.8125,0.9911,0.000005
44,0.1331,0.6791,0.8179,0.9911,0.000004
45,0.1203,0.6810,0.8179,0.9911,0.000002
46,0.1213,0.6813,0.8196,0.9911,0.000002
47,0.1348,0.6805,0.8170,0.9911,0.000001
48,0.1281,0.6794,0.8196,0.9911,0.000000
49,0.1161,0.6800,0.8187,0.9911,0.000000
