epoch,train_loss,val_loss,val_acc_top1,lr,val_f1_blurry,val_f1_good,val_f1_opaque,val_f1_yellow,val_acc_blurry,val_acc_good,val_acc_opaque,val_acc_yellow
1,0.8043,0.6441,0.7564,0.000100,0.6541,0.7913,0.6476,0.8800,0.7838,0.7679,0.5355,0.8953
2,0.4951,0.5729,0.7783,0.000100,0.6876,0.7871,0.7143,0.9040,0.8378,0.7210,0.6398,0.9302
3,0.4343,0.4910,0.8120,0.000099,0.7198,0.8463,0.7163,0.9056,0.7523,0.8840,0.6161,0.9109
4,0.3882,0.4699,0.8120,0.000098,0.7224,0.8379,0.7494,0.9030,0.7973,0.7975,0.7014,0.9380
5,0.3521,0.4960,0.7947,0.000098,0.7054,0.8265,0.7139,0.8976,0.8468,0.8000,0.6209,0.8837
6,0.3450,0.4719,0.8066,0.000096,0.7248,0.8303,0.7248,0.9061,0.8423,0.7852,0.6303,0.9535
7,0.3312,0.4684,0.8111,0.000095,0.7280,0.8412,0.7298,0.9046,0.8559,0.8173,0.6209,0.9186
8,0.3214,0.4649,0.8102,0.000094,0.7269,0.8481,0.6994,0.9067,0.8514,0.8272,0.5735,0.9419
9,0.3019,0.4123,0.8339,0.000092,0.7490,0.8648,0.7708,0.9153,0.8063,0.8765,0.7251,0.8798
10,0.2928,0.4969,0.8066,0.000090,0.7187,0.8401,0.7049,0.9178,0.8919,0.7975,0.5829,0.9302
11,0.2768,0.4071,0.8422,0.000089,0.7787,0.8750,0.7560,0.9091,0.8243,0.8988,0.6682,0.9109
12,0.2586,0.4562,0.8102,0.000086,0.7283,0.8205,0.7656,0.9088,0.8694,0.7506,0.6967,0.9457
13,0.2564,0.4081,0.8303,0.000084,0.7562,0.8600,0.7676,0.9002,0.8243,0.8642,0.6967,0.8915
14,0.2545,0.4132,0.8257,0.000082,0.7450,0.8582,0.7664,0.8984,0.8423,0.8444,0.6919,0.8915
15,0.2585,0.4375,0.8230,0.000079,0.7342,0.8455,0.7744,0.9165,0.8649,0.7975,0.7156,0.9147
16,0.2373,0.4128,0.8330,0.000077,0.7500,0.8648,0.7873,0.9051,0.8514,0.8370,0.7630,0.8682
17,0.2329,0.3781,0.8522,0.000074,0.7795,0.8819,0.7891,0.9171,0.7883,0.8938,0.7536,0.9225
18,0.2169,0.4058,0.8449,0.000071,0.7677,0.8709,0.7970,0.9185,0.8559,0.8494,0.7630,0.8953
19,0.2221,0.4013,0.8376,0.000068,0.7670,0.8775,0.7433,0.9091,0.8378,0.8840,0.6588,0.9109
20,0.2200,0.3831,0.8458,0.000065,0.7840,0.8801,0.7740,0.8969,0.7928,0.9062,0.7062,0.9109
21,0.2144,0.4526,0.8139,0.000062,0.7330,0.8508,0.7357,0.9002,0.8964,0.8099,0.6398,0.8915
22,0.2070,0.4333,0.8239,0.000059,0.7481,0.8601,0.7479,0.9006,0.8964,0.8346,0.6398,0.8953
23,0.2016,0.3858,0.8403,0.000056,0.7673,0.8685,0.7807,0.9130,0.8243,0.8395,0.7678,0.9147
24,0.1968,0.3782,0.8449,0.000053,0.7822,0.8804,0.7649,0.9060,0.8333,0.8815,0.7014,0.9147
25,0.1871,0.4641,0.8093,0.000050,0.7273,0.8309,0.7507,0.9094,0.9189,0.7580,0.6635,0.9147
26,0.1801,0.4002,0.8376,0.000047,0.7680,0.8698,0.7688,0.9070,0.8649,0.8494,0.7014,0.9070
27,0.1816,0.3995,0.8458,0.000044,0.7769,0.8804,0.7688,0.9105,0.8468,0.8815,0.6777,0.9264
28,0.1782,0.3829,0.8467,0.000041,0.7799,0.8803,0.7755,0.9098,0.8378,0.8716,0.7204,0.9186
29,0.1817,0.4283,0.8248,0.000038,0.7453,0.8504,0.7664,0.9126,0.8964,0.8000,0.6919,0.9109
30,0.1739,0.3909,0.8458,0.000035,0.7798,0.8776,0.7763,0.9122,0.8694,0.8494,0.7156,0.9264
31,0.1666,0.3904,0.8440,0.000032,0.7748,0.8803,0.7684,0.9091,0.8604,0.8716,0.6919,0.9109
32,0.1691,0.3744,0.8485,0.000029,0.7808,0.8791,0.7797,0.9160,0.8423,0.8617,0.7299,0.9302
33,0.1619,0.4125,0.8303,0.000026,0.7481,0.8652,0.7581,0.9130,0.8829,0.8321,0.6682,0.9147
34,0.1648,0.4009,0.8367,0.000023,0.7641,0.8661,0.7692,0.9154,0.8829,0.8222,0.7109,0.9225
35,0.1553,0.3771,0.8485,0.000021,0.7860,0.8858,0.7712,0.9077,0.8604,0.8716,0.7109,0.9147
36,0.1690,0.4026,0.8403,0.000018,0.7701,0.8726,0.7676,0.9140,0.8829,0.8370,0.6967,0.9264
37,0.1536,0.3845,0.8467,0.000016,0.7816,0.8821,0.7772,0.9073,0.8784,0.8593,0.7109,0.9109
